2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:57 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,499,39.92
ACT,318,Bean,93925,Belconnen BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,751,60.08
ACT,318,Bean,11877,Bonython,41682,PRICE,Jessie,2,N,N,IND,Independent,613,53.54
ACT,318,Bean,11877,Bonython,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,532,46.46
ACT,318,Bean,11452,Calwell,41682,PRICE,Jessie,2,N,N,IND,Independent,894,51.41
ACT,318,Bean,11452,Calwell,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,845,48.59
ACT,318,Bean,8761,Chapman,41682,PRICE,Jessie,2,N,N,IND,Independent,1115,53.12
ACT,318,Bean,8761,Chapman,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,984,46.88
ACT,318,Bean,8763,Chisholm,41682,PRICE,Jessie,2,N,N,IND,Independent,742,49.5
ACT,318,Bean,8763,Chisholm,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,757,50.5
ACT,318,Bean,93916,City (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,15,22.06
ACT,318,Bean,93916,City (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,53,77.94
ACT,318,Bean,93922,City BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,686,44.87
ACT,318,Bean,93922,City BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,843,55.13
ACT,318,Bean,124111,City North (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,22,36.07
ACT,318,Bean,124111,City North (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,39,63.93
ACT,318,Bean,124103,City North BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,255,45.95
ACT,318,Bean,124103,City North BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,300,54.05
ACT,318,Bean,31298,Conder,41682,PRICE,Jessie,2,N,N,IND,Independent,884,48.31
ACT,318,Bean,31298,Conder,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,946,51.69
ACT,318,Bean,83835,Conder North,41682,PRICE,Jessie,2,N,N,IND,Independent,552,53.85
ACT,318,Bean,83835,Conder North,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,473,46.15
ACT,318,Bean,82523,Coombs,41682,PRICE,Jessie,2,N,N,IND,Independent,1042,44.93
ACT,318,Bean,82523,Coombs,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,1277,55.07
ACT,318,Bean,93906,Curtin (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,101,43.72
ACT,318,Bean,93906,Curtin (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,130,56.28
ACT,318,Bean,108985,Denman Prospect,41682,PRICE,Jessie,2,N,N,IND,Independent,602,44.93
ACT,318,Bean,108985,Denman Prospect,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,738,55.07
ACT,318,Bean,8767,Duffy,41682,PRICE,Jessie,2,N,N,IND,Independent,881,50.69
ACT,318,Bean,8767,Duffy,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,857,49.31
ACT,318,Bean,93927,EAV Bean PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,7,43.75
ACT,318,Bean,93927,EAV Bean PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,9,56.25
ACT,318,Bean,8768,Fadden,41682,PRICE,Jessie,2,N,N,IND,Independent,778,50.95
ACT,318,Bean,8768,Fadden,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,749,49.05
ACT,318,Bean,8769,Farrer,41682,PRICE,Jessie,2,N,N,IND,Independent,900,50.85
ACT,318,Bean,8769,Farrer,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,870,49.15
ACT,318,Bean,93913,Garran (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,257,47.95
ACT,318,Bean,93913,Garran (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,279,52.05
ACT,318,Bean,8771,Gilmore,41682,PRICE,Jessie,2,N,N,IND,Independent,594,50.17
ACT,318,Bean,8771,Gilmore,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,590,49.83
ACT,318,Bean,12072,Gordon,41682,PRICE,Jessie,2,N,N,IND,Independent,1038,46.76
ACT,318,Bean,12072,Gordon,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,1182,53.24
ACT,318,Bean,83837,Gordon North,41682,PRICE,Jessie,2,N,N,IND,Independent,233,51.21
ACT,318,Bean,83837,Gordon North,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,222,48.79
