2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"ACT","101","Canberra","0","ABSENT","0","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Preference Count","322"
"ACT","101","Canberra","0","ABSENT","0","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Preference Percent","22.240"
"ACT","101","Canberra","0","ABSENT","0","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","0","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","0","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","31"
"ACT","101","Canberra","0","ABSENT","0","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","2.140"
"ACT","101","Canberra","0","ABSENT","0","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","0","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","0","3","41696","MILES","Claire Louise","IND","Independent","N","Preference Count","184"
"ACT","101","Canberra","0","ABSENT","0","3","41696","MILES","Claire Louise","IND","Independent","N","Preference Percent","12.710"
"ACT","101","Canberra","0","ABSENT","0","3","41696","MILES","Claire Louise","IND","Independent","N","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","0","3","41696","MILES","Claire Louise","IND","Independent","N","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","0","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Preference Count","241"
"ACT","101","Canberra","0","ABSENT","0","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","16.640"
"ACT","101","Canberra","0","ABSENT","0","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","0","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","0","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","629"
"ACT","101","Canberra","0","ABSENT","0","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","43.440"
"ACT","101","Canberra","0","ABSENT","0","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","0","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","0","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Preference Count","41"
"ACT","101","Canberra","0","ABSENT","0","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Preference Percent","2.830"
"ACT","101","Canberra","0","ABSENT","0","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","0","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","1","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Preference Count","326"
"ACT","101","Canberra","0","ABSENT","1","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Preference Percent","22.510"
"ACT","101","Canberra","0","ABSENT","1","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Transfer Count","4"
"ACT","101","Canberra","0","ABSENT","1","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Transfer Percent","12.900"
"ACT","101","Canberra","0","ABSENT","1","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","0"
"ACT","101","Canberra","0","ABSENT","1","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","0.000"
"ACT","101","Canberra","0","ABSENT","1","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","-31"
"ACT","101","Canberra","0","ABSENT","1","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","-100.000"
"ACT","101","Canberra","0","ABSENT","1","3","41696","MILES","Claire Louise","IND","Independent","N","Preference Count","200"
"ACT","101","Canberra","0","ABSENT","1","3","41696","MILES","Claire Louise","IND","Independent","N","Preference Percent","13.810"
"ACT","101","Canberra","0","ABSENT","1","3","41696","MILES","Claire Louise","IND","Independent","N","Transfer Count","16"
"ACT","101","Canberra","0","ABSENT","1","3","41696","MILES","Claire Louise","IND","Independent","N","Transfer Percent","51.610"
"ACT","101","Canberra","0","ABSENT","1","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Preference Count","246"
"ACT","101","Canberra","0","ABSENT","1","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","16.990"
"ACT","101","Canberra","0","ABSENT","1","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","5"
"ACT","101","Canberra","0","ABSENT","1","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","16.130"
"ACT","101","Canberra","0","ABSENT","1","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","634"
"ACT","101","Canberra","0","ABSENT","1","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","43.780"
"ACT","101","Canberra","0","ABSENT","1","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","5"
"ACT","101","Canberra","0","ABSENT","1","5","40677","PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","16.130"
"ACT","101","Canberra","0","ABSENT","1","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Preference Count","42"
"ACT","101","Canberra","0","ABSENT","1","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Preference Percent","2.900"
"ACT","101","Canberra","0","ABSENT","1","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Transfer Count","1"
"ACT","101","Canberra","0","ABSENT","1","6","41706","McTAGGART","Teresa Jane","AJP","Animal Justice Party","N","Transfer Percent","3.230"
"ACT","101","Canberra","0","ABSENT","2","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Preference Count","338"
"ACT","101","Canberra","0","ABSENT","2","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Preference Percent","23.340"
"ACT","101","Canberra","0","ABSENT","2","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Transfer Count","12"
"ACT","101","Canberra","0","ABSENT","2","1","41390","MUDFORD","Isabel Meredith","GRN","Australian Greens","N","Transfer Percent","28.570"
"ACT","101","Canberra","0","ABSENT","2","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","0"
"ACT","101","Canberra","0","ABSENT","2","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","0.000"
"ACT","101","Canberra","0","ABSENT","2","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","0"
"ACT","101","Canberra","0","ABSENT","2","2","41742","LIDDICOAT","Mary-Jane Robyn","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","0.000"
"ACT","101","Canberra","0","ABSENT","2","3","41696","MILES","Claire Louise","IND","Independent","N","Preference Count","211"
"ACT","101","Canberra","0","ABSENT","2","3","41696","MILES","Claire Louise","IND","Independent","N","Preference Percent","14.570"
"ACT","101","Canberra","0","ABSENT","2","3","41696","MILES","Claire Louise","IND","Independent","N","Transfer Count","11"
"ACT","101","Canberra","0","ABSENT","2","3","41696","MILES","Claire Louise","IND","Independent","N","Transfer Percent","26.190"
"ACT","101","Canberra","0","ABSENT","2","4","41077","ROCHE","William Michael","LP","Liberal Party of Australia - ACT Division","N","Preference Count","251"
