2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"ACT","102","Fenner","0","ABSENT","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Count","390"
"ACT","102","Fenner","0","ABSENT","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","20.930"
"ACT","102","Fenner","0","ABSENT","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","0"
"ACT","102","Fenner","0","ABSENT","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","0.000"
"ACT","102","Fenner","0","ABSENT","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Count","170"
"ACT","102","Fenner","0","ABSENT","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Percent","9.130"
"ACT","102","Fenner","0","ABSENT","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Count","0"
"ACT","102","Fenner","0","ABSENT","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"ACT","102","Fenner","0","ABSENT","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","897"
"ACT","102","Fenner","0","ABSENT","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","48.150"
"ACT","102","Fenner","0","ABSENT","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","0"
"ACT","102","Fenner","0","ABSENT","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","0.000"
"ACT","102","Fenner","0","ABSENT","0","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Count","406"
"ACT","102","Fenner","0","ABSENT","0","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Percent","21.790"
"ACT","102","Fenner","0","ABSENT","0","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Transfer Count","0"
"ACT","102","Fenner","0","ABSENT","0","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Transfer Percent","0.000"
"ACT","102","Fenner","0","ABSENT","1","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Count","464"
"ACT","102","Fenner","0","ABSENT","1","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","24.910"
"ACT","102","Fenner","0","ABSENT","1","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","74"
"ACT","102","Fenner","0","ABSENT","1","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","43.530"
"ACT","102","Fenner","0","ABSENT","1","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Count","0"
"ACT","102","Fenner","0","ABSENT","1","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"ACT","102","Fenner","0","ABSENT","1","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Count","-170"
"ACT","102","Fenner","0","ABSENT","1","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"ACT","102","Fenner","0","ABSENT","1","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","948"
"ACT","102","Fenner","0","ABSENT","1","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","50.890"
"ACT","102","Fenner","0","ABSENT","1","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","51"
"ACT","102","Fenner","0","ABSENT","1","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","30.000"
"ACT","102","Fenner","0","ABSENT","1","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Count","451"
"ACT","102","Fenner","0","ABSENT","1","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Percent","24.210"
"ACT","102","Fenner","0","ABSENT","1","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Transfer Count","45"
"ACT","102","Fenner","0","ABSENT","1","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Transfer Percent","26.470"
"ACT","102","Fenner","0","ABSENT","2","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Count","537"
"ACT","102","Fenner","0","ABSENT","2","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","28.820"
"ACT","102","Fenner","0","ABSENT","2","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","73"
"ACT","102","Fenner","0","ABSENT","2","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","16.190"
"ACT","102","Fenner","0","ABSENT","2","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Count","0"
"ACT","102","Fenner","0","ABSENT","2","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"ACT","102","Fenner","0","ABSENT","2","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Count","0"
"ACT","102","Fenner","0","ABSENT","2","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"ACT","102","Fenner","0","ABSENT","2","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","1326"
"ACT","102","Fenner","0","ABSENT","2","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","71.180"
"ACT","102","Fenner","0","ABSENT","2","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","378"
"ACT","102","Fenner","0","ABSENT","2","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","83.810"
"ACT","102","Fenner","0","ABSENT","2","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Count","0"
"ACT","102","Fenner","0","ABSENT","2","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Percent","0.000"
"ACT","102","Fenner","0","ABSENT","2","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Transfer Count","-451"
"ACT","102","Fenner","0","ABSENT","2","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Transfer Percent","-100.000"
"ACT","102","Fenner","0","POSTAL","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Count","1791"
"ACT","102","Fenner","0","POSTAL","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","27.010"
"ACT","102","Fenner","0","POSTAL","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","0"
"ACT","102","Fenner","0","POSTAL","0","1","41079","OLATUNBOSUN","Bola Oluseye","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","0.000"
"ACT","102","Fenner","0","POSTAL","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Count","544"
"ACT","102","Fenner","0","POSTAL","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Preference Percent","8.210"
"ACT","102","Fenner","0","POSTAL","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Count","0"
"ACT","102","Fenner","0","POSTAL","0","2","41713","KIKKERT","Elisapeta Kilinganoa","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"ACT","102","Fenner","0","POSTAL","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","3400"
"ACT","102","Fenner","0","POSTAL","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","51.280"
"ACT","102","Fenner","0","POSTAL","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","0"
"ACT","102","Fenner","0","POSTAL","0","3","40678","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","0.000"
"ACT","102","Fenner","0","POSTAL","0","4","41398","HUNTERFORD","Dani","GRN","Australian Greens","N","Preference Count","895"
