2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","107","Blaxland","0","ABSENT","0","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Preference Count","788"
"NSW","107","Blaxland","0","ABSENT","0","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","22.950"
"NSW","107","Blaxland","0","ABSENT","0","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","0","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1412"
"NSW","107","Blaxland","0","ABSENT","0","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.120"
"NSW","107","Blaxland","0","ABSENT","0","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","0","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Preference Count","180"
"NSW","107","Blaxland","0","ABSENT","0","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Preference Percent","5.240"
"NSW","107","Blaxland","0","ABSENT","0","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","0","4","41578","SAKR","Omar Jevdat","GRN","The Greens NSW","N","Preference Count","421"
"NSW","107","Blaxland","0","ABSENT","0","4","41578","SAKR","Omar Jevdat","GRN","The Greens NSW","N","Preference Percent","12.260"
"NSW","107","Blaxland","0","ABSENT","0","4","41578","SAKR","Omar Jevdat","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","4","41578","SAKR","Omar Jevdat","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","0","5","41850","LUO","Mike","LTP","Libertarian Party","N","Preference Count","74"
"NSW","107","Blaxland","0","ABSENT","0","5","41850","LUO","Mike","LTP","Libertarian Party","N","Preference Percent","2.150"
"NSW","107","Blaxland","0","ABSENT","0","5","41850","LUO","Mike","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","5","41850","LUO","Mike","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","0","6","41786","DI GIROLAMO","Jennifer","FFPA","Family First Party Australia","N","Preference Count","120"
"NSW","107","Blaxland","0","ABSENT","0","6","41786","DI GIROLAMO","Jennifer","FFPA","Family First Party Australia","N","Preference Percent","3.490"
"NSW","107","Blaxland","0","ABSENT","0","6","41786","DI GIROLAMO","Jennifer","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","6","41786","DI GIROLAMO","Jennifer","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","0","7","41982","OUF","Ahmed Ibrahim Ali","IND","Independent","N","Preference Count","439"
"NSW","107","Blaxland","0","ABSENT","0","7","41982","OUF","Ahmed Ibrahim Ali","IND","Independent","N","Preference Percent","12.780"
"NSW","107","Blaxland","0","ABSENT","0","7","41982","OUF","Ahmed Ibrahim Ali","IND","Independent","N","Transfer Count","0"
"NSW","107","Blaxland","0","ABSENT","0","7","41982","OUF","Ahmed Ibrahim Ali","IND","Independent","N","Transfer Percent","0.000"
"NSW","107","Blaxland","0","ABSENT","1","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Preference Count","812"
"NSW","107","Blaxland","0","ABSENT","1","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.650"
"NSW","107","Blaxland","0","ABSENT","1","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","24"
"NSW","107","Blaxland","0","ABSENT","1","1","41478","NGUYEN","Courtney","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","20.000"
"NSW","107","Blaxland","0","ABSENT","1","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1433"
"NSW","107","Blaxland","0","ABSENT","1","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.730"
"NSW","107","Blaxland","0","ABSENT","1","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","21"
"NSW","107","Blaxland","0","ABSENT","1","2","41316","CLARE","Jason Dean","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","17.500"
"NSW","107","Blaxland","0","ABSENT","1","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Preference Count","204"
"NSW","107","Blaxland","0","ABSENT","1","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Preference Percent","5.940"
"NSW","107","Blaxland","0","ABSENT","1","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Transfer Count","24"
"NSW","107","Blaxland","0","ABSENT","1","3","41888","KLIEVENS","Mitchell Steven","ON","Pauline Hanson's One Nation","N","Transfer Percent","20.000"
