2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","111","Chifley","0","ABSENT","0","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Preference Count","402"
"NSW","111","Chifley","0","ABSENT","0","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Preference Percent","11.390"
"NSW","111","Chifley","0","ABSENT","0","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","2","40694","BURNS","Leigh Anne","IND","Independent","N","Preference Count","85"
"NSW","111","Chifley","0","ABSENT","0","2","40694","BURNS","Leigh Anne","IND","Independent","N","Preference Percent","2.410"
"NSW","111","Chifley","0","ABSENT","0","2","40694","BURNS","Leigh Anne","IND","Independent","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","2","40694","BURNS","Leigh Anne","IND","Independent","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Preference Count","410"
"NSW","111","Chifley","0","ABSENT","0","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Preference Percent","11.610"
"NSW","111","Chifley","0","ABSENT","0","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1518"
"NSW","111","Chifley","0","ABSENT","0","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","43.000"
"NSW","111","Chifley","0","ABSENT","0","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Preference Count","651"
"NSW","111","Chifley","0","ABSENT","0","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","18.440"
"NSW","111","Chifley","0","ABSENT","0","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Preference Count","249"
"NSW","111","Chifley","0","ABSENT","0","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","7.050"
"NSW","111","Chifley","0","ABSENT","0","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Preference Count","123"
"NSW","111","Chifley","0","ABSENT","0","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Preference Percent","3.480"
"NSW","111","Chifley","0","ABSENT","0","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","0","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Preference Count","92"
"NSW","111","Chifley","0","ABSENT","0","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Preference Percent","2.610"
"NSW","111","Chifley","0","ABSENT","0","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Transfer Count","0"
"NSW","111","Chifley","0","ABSENT","0","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"NSW","111","Chifley","0","ABSENT","1","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Preference Count","429"
"NSW","111","Chifley","0","ABSENT","1","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Preference Percent","12.150"
"NSW","111","Chifley","0","ABSENT","1","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Transfer Count","27"
"NSW","111","Chifley","0","ABSENT","1","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Transfer Percent","31.760"
"NSW","111","Chifley","0","ABSENT","1","2","40694","BURNS","Leigh Anne","IND","Independent","N","Preference Count","0"
"NSW","111","Chifley","0","ABSENT","1","2","40694","BURNS","Leigh Anne","IND","Independent","N","Preference Percent","0.000"
"NSW","111","Chifley","0","ABSENT","1","2","40694","BURNS","Leigh Anne","IND","Independent","N","Transfer Count","-85"
"NSW","111","Chifley","0","ABSENT","1","2","40694","BURNS","Leigh Anne","IND","Independent","N","Transfer Percent","-100.000"
"NSW","111","Chifley","0","ABSENT","1","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Preference Count","419"
"NSW","111","Chifley","0","ABSENT","1","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Preference Percent","11.870"
"NSW","111","Chifley","0","ABSENT","1","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Transfer Count","9"
"NSW","111","Chifley","0","ABSENT","1","3","41527","SINGH","Sukhjinder Pal","GRN","The Greens NSW","N","Transfer Percent","10.590"
"NSW","111","Chifley","0","ABSENT","1","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1532"
"NSW","111","Chifley","0","ABSENT","1","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","43.400"
"NSW","111","Chifley","0","ABSENT","1","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","14"
"NSW","111","Chifley","0","ABSENT","1","4","41323","HUSIC","Edham Nurredin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","16.470"
"NSW","111","Chifley","0","ABSENT","1","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Preference Count","664"
"NSW","111","Chifley","0","ABSENT","1","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","18.810"
"NSW","111","Chifley","0","ABSENT","1","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","13"
"NSW","111","Chifley","0","ABSENT","1","5","41599","GREEN","Allan Victor","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","15.290"
"NSW","111","Chifley","0","ABSENT","1","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Preference Count","259"
"NSW","111","Chifley","0","ABSENT","1","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","7.340"
"NSW","111","Chifley","0","ABSENT","1","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","10"
"NSW","111","Chifley","0","ABSENT","1","6","41906","NIKOLIC","Tony Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","11.760"
"NSW","111","Chifley","0","ABSENT","1","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Preference Count","129"
"NSW","111","Chifley","0","ABSENT","1","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Preference Percent","3.650"
"NSW","111","Chifley","0","ABSENT","1","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Transfer Count","6"
"NSW","111","Chifley","0","ABSENT","1","7","41748","ARCHER","Ryan David","CYA","Trumpet of Patriots","N","Transfer Percent","7.060"
"NSW","111","Chifley","0","ABSENT","1","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Preference Count","98"
"NSW","111","Chifley","0","ABSENT","1","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Preference Percent","2.780"
"NSW","111","Chifley","0","ABSENT","1","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Transfer Count","6"
"NSW","111","Chifley","0","ABSENT","1","8","40874","LAXMANALAL","Rohan","AJP","Animal Justice Party","N","Transfer Percent","7.060"
"NSW","111","Chifley","0","ABSENT","2","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Preference Count","460"
"NSW","111","Chifley","0","ABSENT","2","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Preference Percent","13.030"
"NSW","111","Chifley","0","ABSENT","2","1","41791","GREEN","Jamie Raymond","FFPA","Family First Party Australia","N","Transfer Count","31"
