2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","114","Cunningham","0","ABSENT","0","1","41343","BYRNES","Alison Joy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1006"
"NSW","114","Cunningham","0","ABSENT","0","1","41343","BYRNES","Alison Joy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","38.590"
"NSW","114","Cunningham","0","ABSENT","0","1","41343","BYRNES","Alison Joy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","114","Cunningham","0","ABSENT","0","1","41343","BYRNES","Alison Joy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","114","Cunningham","0","ABSENT","0","2","40873","GARNAUT-MILLER","Alexis Charlotte","CEC","Australian Citizens Party","N","Preference Count","69"
"NSW","114","Cunningham","0","ABSENT","0","2","40873","GARNAUT-MILLER","Alexis Charlotte","CEC","Australian Citizens Party","N","Preference Percent","2.650"
"NSW","114","Cunningham","0","ABSENT","0","2","40873","GARNAUT-MILLER","Alexis Charlotte","CEC","Australian Citizens Party","N","Transfer Count","0"
"NSW","114","Cunningham","0","ABSENT","0","2","40873","GARNAUT-MILLER","Alexis Charlotte","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"NSW","114","Cunningham","0","ABSENT","0","3","41453","IVANEZA","Amanda Lee","LP","Liberal Party of Australia, NSW Division","N","Preference Count","525"
"NSW","114","Cunningham","0","ABSENT","0","3","41453","IVANEZA","Amanda Lee","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","20.140"
"NSW","114","Cunningham","0","ABSENT","0","3","41453","IVANEZA","Amanda Lee","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","114","Cunningham","0","ABSENT","0","3","41453","IVANEZA","Amanda Lee","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","114","Cunningham","0","ABSENT","0","4","41924","FULLER","John Gary","ON","Pauline Hanson's One Nation","N","Preference Count","255"
"NSW","114","Cunningham","0","ABSENT","0","4","41924","FULLER","John Gary","ON","Pauline Hanson's One Nation","N","Preference Percent","9.780"
"NSW","114","Cunningham","0","ABSENT","0","4","41924","FULLER","John Gary","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","114","Cunningham","0","ABSENT","0","4","41924","FULLER","John Gary","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","114","Cunningham","0","ABSENT","0","5","40878","LAVERS","Timothy Gordon","AJP","Animal Justice Party","N","Preference Count","94"
"NSW","114","Cunningham","0","ABSENT","0","5","40878","LAVERS","Timothy Gordon","AJP","Animal Justice Party","N","Preference Percent","3.610"
"NSW","114","Cunningham","0","ABSENT","0","5","40878","LAVERS","Timothy Gordon","AJP","Animal Justice Party","N","Transfer Count","0"
"NSW","114","Cunningham","0","ABSENT","0","5","40878","LAVERS","Timothy Gordon","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"NSW","114","Cunningham","0","ABSENT","0","6","41568","WHITTAKER","Jessica","GRN","The Greens NSW","N","Preference Count","658"
"NSW","114","Cunningham","0","ABSENT","0","6","41568","WHITTAKER","Jessica","GRN","The Greens NSW","N","Preference Percent","25.240"
"NSW","114","Cunningham","0","ABSENT","0","6","41568","WHITTAKER","Jessica","GRN","The Greens NSW","N","Transfer Count","0"
