2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","115","Dobell","0","ABSENT","0","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Preference Count","520"
"NSW","115","Dobell","0","ABSENT","0","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Preference Percent","16.620"
"NSW","115","Dobell","0","ABSENT","0","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Preference Count","674"
"NSW","115","Dobell","0","ABSENT","0","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","21.540"
"NSW","115","Dobell","0","ABSENT","0","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Preference Count","318"
"NSW","115","Dobell","0","ABSENT","0","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Preference Percent","10.160"
"NSW","115","Dobell","0","ABSENT","0","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Preference Count","120"
"NSW","115","Dobell","0","ABSENT","0","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Preference Percent","3.840"
"NSW","115","Dobell","0","ABSENT","0","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","5","41933","CLAYDON","Timothy William","HMP","Legalise Cannabis Australia","N","Preference Count","341"
"NSW","115","Dobell","0","ABSENT","0","5","41933","CLAYDON","Timothy William","HMP","Legalise Cannabis Australia","N","Preference Percent","10.900"
"NSW","115","Dobell","0","ABSENT","0","5","41933","CLAYDON","Timothy William","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","5","41933","CLAYDON","Timothy William","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","6","40879","MURPHY","Patrick","AJP","Animal Justice Party","N","Preference Count","71"
"NSW","115","Dobell","0","ABSENT","0","6","40879","MURPHY","Patrick","AJP","Animal Justice Party","N","Preference Percent","2.270"
"NSW","115","Dobell","0","ABSENT","0","6","40879","MURPHY","Patrick","AJP","Animal Justice Party","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","6","40879","MURPHY","Patrick","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","7","41854","CHALIK","Isaac","LTP","Libertarian Party","N","Preference Count","64"
"NSW","115","Dobell","0","ABSENT","0","7","41854","CHALIK","Isaac","LTP","Libertarian Party","N","Preference Percent","2.050"
"NSW","115","Dobell","0","ABSENT","0","7","41854","CHALIK","Isaac","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","7","41854","CHALIK","Isaac","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","0","8","41358","McBRIDE","Emma Margaret","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1021"
"NSW","115","Dobell","0","ABSENT","0","8","41358","McBRIDE","Emma Margaret","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","32.630"
"NSW","115","Dobell","0","ABSENT","0","8","41358","McBRIDE","Emma Margaret","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","115","Dobell","0","ABSENT","0","8","41358","McBRIDE","Emma Margaret","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","115","Dobell","0","ABSENT","1","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Preference Count","527"
"NSW","115","Dobell","0","ABSENT","1","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Preference Percent","16.840"
"NSW","115","Dobell","0","ABSENT","1","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Transfer Count","7"
"NSW","115","Dobell","0","ABSENT","1","1","41558","COOPER","Simon George","GRN","The Greens NSW","N","Transfer Percent","10.940"
"NSW","115","Dobell","0","ABSENT","1","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Preference Count","687"
"NSW","115","Dobell","0","ABSENT","1","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","21.960"
"NSW","115","Dobell","0","ABSENT","1","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","13"
"NSW","115","Dobell","0","ABSENT","1","2","41469","SMALL","Brendan Keith","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","20.310"
"NSW","115","Dobell","0","ABSENT","1","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Preference Count","334"
"NSW","115","Dobell","0","ABSENT","1","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Preference Percent","10.670"
"NSW","115","Dobell","0","ABSENT","1","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Transfer Count","16"
"NSW","115","Dobell","0","ABSENT","1","3","41919","STEVENSON","Martin John","ON","Pauline Hanson's One Nation","N","Transfer Percent","25.000"
"NSW","115","Dobell","0","ABSENT","1","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Preference Count","129"
"NSW","115","Dobell","0","ABSENT","1","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Preference Percent","4.120"
"NSW","115","Dobell","0","ABSENT","1","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Transfer Count","9"
"NSW","115","Dobell","0","ABSENT","1","4","41784","TAWAF","Anthony","CYA","Trumpet of Patriots","N","Transfer Percent","14.060"
"NSW","115","Dobell","0","ABSENT","1","5","41933","CLAYDON","Timothy William","HMP","Legalise Cannabis Australia","N","Preference Count","350"
