2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","117","Eden-Monaro","0","ABSENT","0","1","37724","THALER","Andrew Evan","IND","Independent","N","Preference Count","52"
"NSW","117","Eden-Monaro","0","ABSENT","0","1","37724","THALER","Andrew Evan","IND","Independent","N","Preference Percent","3.860"
"NSW","117","Eden-Monaro","0","ABSENT","0","1","37724","THALER","Andrew Evan","IND","Independent","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","1","37724","THALER","Andrew Evan","IND","Independent","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Preference Count","61"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Preference Percent","4.530"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","24"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","1.780"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Preference Count","319"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.660"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","5","41188","FISHER","Brian Stanley","IND","Independent","N","Preference Count","42"
"NSW","117","Eden-Monaro","0","ABSENT","0","5","41188","FISHER","Brian Stanley","IND","Independent","N","Preference Percent","3.120"
"NSW","117","Eden-Monaro","0","ABSENT","0","5","41188","FISHER","Brian Stanley","IND","Independent","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","5","41188","FISHER","Brian Stanley","IND","Independent","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","516"
"NSW","117","Eden-Monaro","0","ABSENT","0","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","38.280"
"NSW","117","Eden-Monaro","0","ABSENT","0","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","7","41557","GOWARD","Emma","GRN","The Greens NSW","N","Preference Count","202"
"NSW","117","Eden-Monaro","0","ABSENT","0","7","41557","GOWARD","Emma","GRN","The Greens NSW","N","Preference Percent","14.990"
"NSW","117","Eden-Monaro","0","ABSENT","0","7","41557","GOWARD","Emma","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","7","41557","GOWARD","Emma","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","8","41921","GRAHAM","Richard","ON","Pauline Hanson's One Nation","N","Preference Count","132"
"NSW","117","Eden-Monaro","0","ABSENT","0","8","41921","GRAHAM","Richard","ON","Pauline Hanson's One Nation","N","Preference Percent","9.790"
"NSW","117","Eden-Monaro","0","ABSENT","0","8","41921","GRAHAM","Richard","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","8","41921","GRAHAM","Richard","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","1","37724","THALER","Andrew Evan","IND","Independent","N","Preference Count","68"
"NSW","117","Eden-Monaro","0","ABSENT","1","1","37724","THALER","Andrew Evan","IND","Independent","N","Preference Percent","5.040"
"NSW","117","Eden-Monaro","0","ABSENT","1","1","37724","THALER","Andrew Evan","IND","Independent","N","Transfer Count","16"
"NSW","117","Eden-Monaro","0","ABSENT","1","1","37724","THALER","Andrew Evan","IND","Independent","N","Transfer Percent","38.100"
"NSW","117","Eden-Monaro","0","ABSENT","1","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Preference Count","62"
"NSW","117","Eden-Monaro","0","ABSENT","1","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Preference Percent","4.600"
"NSW","117","Eden-Monaro","0","ABSENT","1","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Transfer Count","1"
"NSW","117","Eden-Monaro","0","ABSENT","1","2","41711","COX","Wade Ewart","CYA","Trumpet of Patriots","N","Transfer Percent","2.380"
"NSW","117","Eden-Monaro","0","ABSENT","1","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","25"
"NSW","117","Eden-Monaro","0","ABSENT","1","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","1.850"
"NSW","117","Eden-Monaro","0","ABSENT","1","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","1"
"NSW","117","Eden-Monaro","0","ABSENT","1","3","42072","BUCHANAN","Fraser","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","2.380"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Preference Count","323"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.960"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","4"
"NSW","117","Eden-Monaro","0","ABSENT","1","4","41454","van der PLAAT","Joanne Patricia","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","9.520"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","41188","FISHER","Brian Stanley","IND","Independent","N","Preference Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","41188","FISHER","Brian Stanley","IND","Independent","N","Preference Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","41188","FISHER","Brian Stanley","IND","Independent","N","Transfer Count","-42"
"NSW","117","Eden-Monaro","0","ABSENT","1","5","41188","FISHER","Brian Stanley","IND","Independent","N","Transfer Percent","-100.000"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","528"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","39.170"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","12"
"NSW","117","Eden-Monaro","0","ABSENT","1","6","41737","McBAIN","Kristy Louise","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","28.570"
"NSW","117","Eden-Monaro","0","ABSENT","1","7","41557","GOWARD","Emma","GRN","The Greens NSW","N","Preference Count","208"
