2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","118","Farrer","0","ABSENT","0","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","344"
"NSW","118","Farrer","0","ABSENT","0","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","35.140"
"NSW","118","Farrer","0","ABSENT","0","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","186"
"NSW","118","Farrer","0","ABSENT","0","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","19.000"
"NSW","118","Farrer","0","ABSENT","0","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Count","96"
"NSW","118","Farrer","0","ABSENT","0","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Percent","9.810"
"NSW","118","Farrer","0","ABSENT","0","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Count","110"
"NSW","118","Farrer","0","ABSENT","0","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Percent","11.240"
"NSW","118","Farrer","0","ABSENT","0","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Count","81"
"NSW","118","Farrer","0","ABSENT","0","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Percent","8.270"
"NSW","118","Farrer","0","ABSENT","0","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","70"
"NSW","118","Farrer","0","ABSENT","0","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","7.150"
"NSW","118","Farrer","0","ABSENT","0","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Count","23"
"NSW","118","Farrer","0","ABSENT","0","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Percent","2.350"
"NSW","118","Farrer","0","ABSENT","0","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Count","37"
"NSW","118","Farrer","0","ABSENT","0","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Percent","3.780"
"NSW","118","Farrer","0","ABSENT","0","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","0","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Count","32"
"NSW","118","Farrer","0","ABSENT","0","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Percent","3.270"
"NSW","118","Farrer","0","ABSENT","0","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","0","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","1","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","347"
"NSW","118","Farrer","0","ABSENT","1","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","35.440"
"NSW","118","Farrer","0","ABSENT","1","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","3"
"NSW","118","Farrer","0","ABSENT","1","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","13.040"
"NSW","118","Farrer","0","ABSENT","1","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","186"
"NSW","118","Farrer","0","ABSENT","1","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","19.000"
"NSW","118","Farrer","0","ABSENT","1","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","1","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","1","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Count","98"
"NSW","118","Farrer","0","ABSENT","1","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Percent","10.010"
"NSW","118","Farrer","0","ABSENT","1","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Count","2"
"NSW","118","Farrer","0","ABSENT","1","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Percent","8.700"
"NSW","118","Farrer","0","ABSENT","1","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Count","111"
"NSW","118","Farrer","0","ABSENT","1","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Percent","11.340"
"NSW","118","Farrer","0","ABSENT","1","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Count","1"
"NSW","118","Farrer","0","ABSENT","1","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Percent","4.350"
"NSW","118","Farrer","0","ABSENT","1","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Count","86"
"NSW","118","Farrer","0","ABSENT","1","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Percent","8.780"
"NSW","118","Farrer","0","ABSENT","1","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Count","5"
"NSW","118","Farrer","0","ABSENT","1","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Percent","21.740"
"NSW","118","Farrer","0","ABSENT","1","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","72"
"NSW","118","Farrer","0","ABSENT","1","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","7.350"
"NSW","118","Farrer","0","ABSENT","1","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","2"
"NSW","118","Farrer","0","ABSENT","1","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","8.700"
"NSW","118","Farrer","0","ABSENT","1","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Count","0"
"NSW","118","Farrer","0","ABSENT","1","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Percent","0.000"
"NSW","118","Farrer","0","ABSENT","1","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Count","-23"
"NSW","118","Farrer","0","ABSENT","1","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Percent","-100.000"
"NSW","118","Farrer","0","ABSENT","1","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Count","42"
"NSW","118","Farrer","0","ABSENT","1","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Percent","4.290"
"NSW","118","Farrer","0","ABSENT","1","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Count","5"
"NSW","118","Farrer","0","ABSENT","1","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Percent","21.740"
"NSW","118","Farrer","0","ABSENT","1","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Count","37"
"NSW","118","Farrer","0","ABSENT","1","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Percent","3.780"
"NSW","118","Farrer","0","ABSENT","1","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Count","5"
"NSW","118","Farrer","0","ABSENT","1","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Percent","21.740"
"NSW","118","Farrer","0","ABSENT","2","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","353"
"NSW","118","Farrer","0","ABSENT","2","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","36.060"
"NSW","118","Farrer","0","ABSENT","2","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","6"
"NSW","118","Farrer","0","ABSENT","2","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","16.220"
"NSW","118","Farrer","0","ABSENT","2","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","188"
"NSW","118","Farrer","0","ABSENT","2","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","19.200"
"NSW","118","Farrer","0","ABSENT","2","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","2"
"NSW","118","Farrer","0","ABSENT","2","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","5.410"
"NSW","118","Farrer","0","ABSENT","2","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Count","101"
"NSW","118","Farrer","0","ABSENT","2","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Percent","10.320"
"NSW","118","Farrer","0","ABSENT","2","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Count","3"
"NSW","118","Farrer","0","ABSENT","2","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Percent","8.110"
"NSW","118","Farrer","0","ABSENT","2","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Count","113"
"NSW","118","Farrer","0","ABSENT","2","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Percent","11.540"
"NSW","118","Farrer","0","ABSENT","2","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Count","2"
"NSW","118","Farrer","0","ABSENT","2","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Percent","5.410"
"NSW","118","Farrer","0","ABSENT","2","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Count","95"
"NSW","118","Farrer","0","ABSENT","2","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Percent","9.700"
"NSW","118","Farrer","0","ABSENT","2","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Count","9"
"NSW","118","Farrer","0","ABSENT","2","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Percent","24.320"
"NSW","118","Farrer","0","ABSENT","2","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","80"
"NSW","118","Farrer","0","ABSENT","2","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","8.170"
"NSW","118","Farrer","0","ABSENT","2","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","8"
"NSW","118","Farrer","0","ABSENT","2","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","21.620"
"NSW","118","Farrer","0","ABSENT","2","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Count","0"
"NSW","118","Farrer","0","ABSENT","2","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Percent","0.000"
"NSW","118","Farrer","0","ABSENT","2","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","2","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","2","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Count","49"
"NSW","118","Farrer","0","ABSENT","2","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Percent","5.010"
"NSW","118","Farrer","0","ABSENT","2","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Count","7"
"NSW","118","Farrer","0","ABSENT","2","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Percent","18.920"
"NSW","118","Farrer","0","ABSENT","2","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","118","Farrer","0","ABSENT","2","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","118","Farrer","0","ABSENT","2","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Count","-37"
"NSW","118","Farrer","0","ABSENT","2","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","118","Farrer","0","ABSENT","3","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","359"
"NSW","118","Farrer","0","ABSENT","3","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","36.670"
"NSW","118","Farrer","0","ABSENT","3","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","6"
"NSW","118","Farrer","0","ABSENT","3","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","12.240"
"NSW","118","Farrer","0","ABSENT","3","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","190"
"NSW","118","Farrer","0","ABSENT","3","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","19.410"
"NSW","118","Farrer","0","ABSENT","3","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","2"
"NSW","118","Farrer","0","ABSENT","3","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","4.080"
"NSW","118","Farrer","0","ABSENT","3","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Count","107"
"NSW","118","Farrer","0","ABSENT","3","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Percent","10.930"
"NSW","118","Farrer","0","ABSENT","3","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Count","6"
"NSW","118","Farrer","0","ABSENT","3","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Percent","12.240"
"NSW","118","Farrer","0","ABSENT","3","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Count","116"
"NSW","118","Farrer","0","ABSENT","3","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Percent","11.850"
"NSW","118","Farrer","0","ABSENT","3","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Count","3"
"NSW","118","Farrer","0","ABSENT","3","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Transfer Percent","6.120"
"NSW","118","Farrer","0","ABSENT","3","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Count","110"
"NSW","118","Farrer","0","ABSENT","3","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Preference Percent","11.240"
"NSW","118","Farrer","0","ABSENT","3","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Count","15"
"NSW","118","Farrer","0","ABSENT","3","5","41959","HICKS","Emma","ON","Pauline Hanson's One Nation","N","Transfer Percent","30.610"
"NSW","118","Farrer","0","ABSENT","3","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","97"
"NSW","118","Farrer","0","ABSENT","3","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","9.910"
"NSW","118","Farrer","0","ABSENT","3","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","17"
"NSW","118","Farrer","0","ABSENT","3","6","41644","SINCLAIR","Peter John","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","34.690"
"NSW","118","Farrer","0","ABSENT","3","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Count","0"
"NSW","118","Farrer","0","ABSENT","3","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Preference Percent","0.000"
"NSW","118","Farrer","0","ABSENT","3","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","3","7","42016","O'REILLY","David Laurance","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","3","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Count","0"
"NSW","118","Farrer","0","ABSENT","3","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"NSW","118","Farrer","0","ABSENT","3","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Count","-49"
"NSW","118","Farrer","0","ABSENT","3","8","41793","SCRIVEN","Rebecca Louise","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"NSW","118","Farrer","0","ABSENT","3","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","118","Farrer","0","ABSENT","3","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","118","Farrer","0","ABSENT","3","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","118","Farrer","0","ABSENT","3","9","41707","HARGRAVES","Tanya","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","118","Farrer","0","ABSENT","4","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","372"
"NSW","118","Farrer","0","ABSENT","4","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","38.000"
"NSW","118","Farrer","0","ABSENT","4","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","13"
"NSW","118","Farrer","0","ABSENT","4","1","41463","LEY","Sussan","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","13.400"
"NSW","118","Farrer","0","ABSENT","4","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","205"
"NSW","118","Farrer","0","ABSENT","4","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","20.940"
"NSW","118","Farrer","0","ABSENT","4","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","15"
"NSW","118","Farrer","0","ABSENT","4","2","41352","HYDE","Christopher Glen","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","15.460"
"NSW","118","Farrer","0","ABSENT","4","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Count","123"
"NSW","118","Farrer","0","ABSENT","4","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Preference Percent","12.560"
"NSW","118","Farrer","0","ABSENT","4","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Count","16"
"NSW","118","Farrer","0","ABSENT","4","3","40627","MILTHORPE","Michelle Marie","IND","Independent","N","Transfer Percent","16.490"
"NSW","118","Farrer","0","ABSENT","4","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Count","128"
"NSW","118","Farrer","0","ABSENT","4","4","41559","HENDRIE","Richard August","GRN","The Greens NSW","N","Preference Percent","13.070"
