2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","119","Fowler","0","ABSENT","0","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Preference Count","251"
"NSW","119","Fowler","0","ABSENT","0","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Preference Percent","8.050"
"NSW","119","Fowler","0","ABSENT","0","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","0","2","41641","TEY","Victor Kah-Xu","LTP","Libertarian Party","N","Preference Count","90"
"NSW","119","Fowler","0","ABSENT","0","2","41641","TEY","Victor Kah-Xu","LTP","Libertarian Party","N","Preference Percent","2.890"
"NSW","119","Fowler","0","ABSENT","0","2","41641","TEY","Victor Kah-Xu","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","2","41641","TEY","Victor Kah-Xu","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","0","3","36240","LE","Dai Trang","IND","Independent","Y","Preference Count","506"
"NSW","119","Fowler","0","ABSENT","0","3","36240","LE","Dai Trang","IND","Independent","Y","Preference Percent","16.220"
"NSW","119","Fowler","0","ABSENT","0","3","36240","LE","Dai Trang","IND","Independent","Y","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","3","36240","LE","Dai Trang","IND","Independent","Y","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","0","4","41556","HOWARD","Avery Jacob","GRN","The Greens NSW","N","Preference Count","473"
"NSW","119","Fowler","0","ABSENT","0","4","41556","HOWARD","Avery Jacob","GRN","The Greens NSW","N","Preference Percent","15.170"
"NSW","119","Fowler","0","ABSENT","0","4","41556","HOWARD","Avery Jacob","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","4","41556","HOWARD","Avery Jacob","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","0","5","41956","MARGOS","Tony","ON","Pauline Hanson's One Nation","N","Preference Count","186"
"NSW","119","Fowler","0","ABSENT","0","5","41956","MARGOS","Tony","ON","Pauline Hanson's One Nation","N","Preference Percent","5.960"
"NSW","119","Fowler","0","ABSENT","0","5","41956","MARGOS","Tony","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","5","41956","MARGOS","Tony","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","0","6","41357","LE","Nguyen-Tu","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","1080"
"NSW","119","Fowler","0","ABSENT","0","6","41357","LE","Nguyen-Tu","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","34.630"
"NSW","119","Fowler","0","ABSENT","0","6","41357","LE","Nguyen-Tu","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","6","41357","LE","Nguyen-Tu","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","0","7","41460","SINGHA","Vivek","LP","Liberal Party of Australia, NSW Division","N","Preference Count","533"
"NSW","119","Fowler","0","ABSENT","0","7","41460","SINGHA","Vivek","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","17.090"
"NSW","119","Fowler","0","ABSENT","0","7","41460","SINGHA","Vivek","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","119","Fowler","0","ABSENT","0","7","41460","SINGHA","Vivek","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","119","Fowler","0","ABSENT","1","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Preference Count","283"
"NSW","119","Fowler","0","ABSENT","1","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Preference Percent","9.070"
"NSW","119","Fowler","0","ABSENT","1","1","41806","ATHAVLE","Jared Phillip Dinkar","FFPA","Family First Party Australia","N","Transfer Count","32"
