2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","122","Greenway","0","ABSENT","0","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Count","169"
"NSW","122","Greenway","0","ABSENT","0","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Percent","4.710"
"NSW","122","Greenway","0","ABSENT","0","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","0","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Count","89"
"NSW","122","Greenway","0","ABSENT","0","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Percent","2.480"
"NSW","122","Greenway","0","ABSENT","0","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","0","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Count","555"
"NSW","122","Greenway","0","ABSENT","0","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Percent","15.480"
"NSW","122","Greenway","0","ABSENT","0","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","0","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Count","895"
"NSW","122","Greenway","0","ABSENT","0","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","24.970"
"NSW","122","Greenway","0","ABSENT","0","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","0","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1529"
"NSW","122","Greenway","0","ABSENT","0","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","42.650"
"NSW","122","Greenway","0","ABSENT","0","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","0","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Preference Count","140"
"NSW","122","Greenway","0","ABSENT","0","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Preference Percent","3.910"
"NSW","122","Greenway","0","ABSENT","0","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","0","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Preference Count","208"
"NSW","122","Greenway","0","ABSENT","0","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Preference Percent","5.800"
"NSW","122","Greenway","0","ABSENT","0","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","0","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","1","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Count","186"
"NSW","122","Greenway","0","ABSENT","1","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Percent","5.190"
"NSW","122","Greenway","0","ABSENT","1","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Count","17"
"NSW","122","Greenway","0","ABSENT","1","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Percent","19.100"
"NSW","122","Greenway","0","ABSENT","1","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Count","0"
"NSW","122","Greenway","0","ABSENT","1","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","122","Greenway","0","ABSENT","1","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Count","-89"
"NSW","122","Greenway","0","ABSENT","1","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"NSW","122","Greenway","0","ABSENT","1","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Count","569"
"NSW","122","Greenway","0","ABSENT","1","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Percent","15.870"
"NSW","122","Greenway","0","ABSENT","1","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Count","14"
"NSW","122","Greenway","0","ABSENT","1","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Percent","15.730"
"NSW","122","Greenway","0","ABSENT","1","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Count","913"
"NSW","122","Greenway","0","ABSENT","1","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.470"
"NSW","122","Greenway","0","ABSENT","1","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","18"
"NSW","122","Greenway","0","ABSENT","1","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","20.220"
"NSW","122","Greenway","0","ABSENT","1","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1536"
"NSW","122","Greenway","0","ABSENT","1","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","42.850"
"NSW","122","Greenway","0","ABSENT","1","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","7"
"NSW","122","Greenway","0","ABSENT","1","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","7.870"
"NSW","122","Greenway","0","ABSENT","1","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Preference Count","148"
"NSW","122","Greenway","0","ABSENT","1","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Preference Percent","4.130"
"NSW","122","Greenway","0","ABSENT","1","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Transfer Count","8"
"NSW","122","Greenway","0","ABSENT","1","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Transfer Percent","8.990"
"NSW","122","Greenway","0","ABSENT","1","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Preference Count","233"
"NSW","122","Greenway","0","ABSENT","1","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Preference Percent","6.500"
"NSW","122","Greenway","0","ABSENT","1","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Transfer Count","25"
"NSW","122","Greenway","0","ABSENT","1","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Transfer Percent","28.090"
"NSW","122","Greenway","0","ABSENT","2","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Count","218"
"NSW","122","Greenway","0","ABSENT","2","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Percent","6.080"
"NSW","122","Greenway","0","ABSENT","2","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Count","32"
"NSW","122","Greenway","0","ABSENT","2","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Percent","21.620"
"NSW","122","Greenway","0","ABSENT","2","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Count","0"
"NSW","122","Greenway","0","ABSENT","2","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","122","Greenway","0","ABSENT","2","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","2","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","2","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Count","582"
"NSW","122","Greenway","0","ABSENT","2","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Percent","16.230"
"NSW","122","Greenway","0","ABSENT","2","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Count","13"
"NSW","122","Greenway","0","ABSENT","2","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Percent","8.780"
"NSW","122","Greenway","0","ABSENT","2","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Count","928"
"NSW","122","Greenway","0","ABSENT","2","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.890"
"NSW","122","Greenway","0","ABSENT","2","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","15"
"NSW","122","Greenway","0","ABSENT","2","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","10.140"
"NSW","122","Greenway","0","ABSENT","2","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1555"
"NSW","122","Greenway","0","ABSENT","2","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","43.380"
"NSW","122","Greenway","0","ABSENT","2","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","19"
"NSW","122","Greenway","0","ABSENT","2","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","12.840"
"NSW","122","Greenway","0","ABSENT","2","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","122","Greenway","0","ABSENT","2","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","122","Greenway","0","ABSENT","2","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Transfer Count","-148"
"NSW","122","Greenway","0","ABSENT","2","6","41705","MULLIGAN","Justin Lee","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","122","Greenway","0","ABSENT","2","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Preference Count","302"
"NSW","122","Greenway","0","ABSENT","2","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Preference Percent","8.420"
"NSW","122","Greenway","0","ABSENT","2","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Transfer Count","69"
"NSW","122","Greenway","0","ABSENT","2","7","41934","SWANN","Edwin Paul","ON","Pauline Hanson's One Nation","N","Transfer Percent","46.620"
"NSW","122","Greenway","0","ABSENT","3","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Count","0"
"NSW","122","Greenway","0","ABSENT","3","1","41729","STUCKEY","Robert William","IND","Independent","N","Preference Percent","0.000"
"NSW","122","Greenway","0","ABSENT","3","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Count","-218"
"NSW","122","Greenway","0","ABSENT","3","1","41729","STUCKEY","Robert William","IND","Independent","N","Transfer Percent","-100.000"
"NSW","122","Greenway","0","ABSENT","3","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Count","0"
"NSW","122","Greenway","0","ABSENT","3","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","122","Greenway","0","ABSENT","3","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","122","Greenway","0","ABSENT","3","2","41857","REX","Mark Andrew","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","122","Greenway","0","ABSENT","3","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Count","676"
"NSW","122","Greenway","0","ABSENT","3","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Preference Percent","18.860"
"NSW","122","Greenway","0","ABSENT","3","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Count","94"
"NSW","122","Greenway","0","ABSENT","3","3","41572","SUBRAMANIAN","Palaniappan","GRN","The Greens NSW","N","Transfer Percent","43.120"
"NSW","122","Greenway","0","ABSENT","3","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Count","959"
"NSW","122","Greenway","0","ABSENT","3","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.750"
"NSW","122","Greenway","0","ABSENT","3","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","31"
"NSW","122","Greenway","0","ABSENT","3","4","41474","VIRK","Rattan Deep Kaur","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","14.220"
"NSW","122","Greenway","0","ABSENT","3","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1598"
"NSW","122","Greenway","0","ABSENT","3","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","44.570"
"NSW","122","Greenway","0","ABSENT","3","5","41399","ROWLAND","Michelle Anne","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","43"
