2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","124","Hughes","0","ABSENT","0","1","41400","MONCRIEFF","Sidney David","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1332"
"NSW","124","Hughes","0","ABSENT","0","1","41400","MONCRIEFF","Sidney David","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","38.960"
"NSW","124","Hughes","0","ABSENT","0","1","41400","MONCRIEFF","Sidney David","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","124","Hughes","0","ABSENT","0","1","41400","MONCRIEFF","Sidney David","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","124","Hughes","0","ABSENT","0","2","41579","DYSON","Catherine Elizabeth","GRN","The Greens NSW","N","Preference Count","612"
"NSW","124","Hughes","0","ABSENT","0","2","41579","DYSON","Catherine Elizabeth","GRN","The Greens NSW","N","Preference Percent","17.900"
"NSW","124","Hughes","0","ABSENT","0","2","41579","DYSON","Catherine Elizabeth","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","124","Hughes","0","ABSENT","0","2","41579","DYSON","Catherine Elizabeth","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","124","Hughes","0","ABSENT","0","3","41866","SINOSIC","Elvis","LTP","Libertarian Party","N","Preference Count","87"
"NSW","124","Hughes","0","ABSENT","0","3","41866","SINOSIC","Elvis","LTP","Libertarian Party","N","Preference Percent","2.540"
"NSW","124","Hughes","0","ABSENT","0","3","41866","SINOSIC","Elvis","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","124","Hughes","0","ABSENT","0","3","41866","SINOSIC","Elvis","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","124","Hughes","0","ABSENT","0","4","41703","SCARFONE","Alex","CYA","Trumpet of Patriots","N","Preference Count","130"
"NSW","124","Hughes","0","ABSENT","0","4","41703","SCARFONE","Alex","CYA","Trumpet of Patriots","N","Preference Percent","3.800"
"NSW","124","Hughes","0","ABSENT","0","4","41703","SCARFONE","Alex","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","124","Hughes","0","ABSENT","0","4","41703","SCARFONE","Alex","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","124","Hughes","0","ABSENT","0","5","41826","MARSH","Nathaniel David","FFPA","Family First Party Australia","N","Preference Count","110"
"NSW","124","Hughes","0","ABSENT","0","5","41826","MARSH","Nathaniel David","FFPA","Family First Party Australia","N","Preference Percent","3.220"
"NSW","124","Hughes","0","ABSENT","0","5","41826","MARSH","Nathaniel David","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","124","Hughes","0","ABSENT","0","5","41826","MARSH","Nathaniel David","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","124","Hughes","0","ABSENT","0","6","41467","WARE","Jennifer Lesley","LP","Liberal Party of Australia, NSW Division","N","Preference Count","905"
"NSW","124","Hughes","0","ABSENT","0","6","41467","WARE","Jennifer Lesley","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.470"
"NSW","124","Hughes","0","ABSENT","0","6","41467","WARE","Jennifer Lesley","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
