2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","128","Lindsay","0","ABSENT","0","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","968"
"NSW","128","Lindsay","0","ABSENT","0","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","32.140"
"NSW","128","Lindsay","0","ABSENT","0","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Preference Count","110"
"NSW","128","Lindsay","0","ABSENT","0","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Preference Percent","3.650"
"NSW","128","Lindsay","0","ABSENT","0","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","99"
"NSW","128","Lindsay","0","ABSENT","0","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","3.290"
"NSW","128","Lindsay","0","ABSENT","0","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","4","41971","SALEAM","James","IND","Independent","N","Preference Count","37"
"NSW","128","Lindsay","0","ABSENT","0","4","41971","SALEAM","James","IND","Independent","N","Preference Percent","1.230"
"NSW","128","Lindsay","0","ABSENT","0","4","41971","SALEAM","James","IND","Independent","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","4","41971","SALEAM","James","IND","Independent","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Preference Count","75"
"NSW","128","Lindsay","0","ABSENT","0","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Preference Percent","2.490"
"NSW","128","Lindsay","0","ABSENT","0","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","275"
"NSW","128","Lindsay","0","ABSENT","0","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","9.130"
"NSW","128","Lindsay","0","ABSENT","0","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","40"
"NSW","128","Lindsay","0","ABSENT","0","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","1.330"
"NSW","128","Lindsay","0","ABSENT","0","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Preference Count","422"
"NSW","128","Lindsay","0","ABSENT","0","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Preference Percent","14.010"
"NSW","128","Lindsay","0","ABSENT","0","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","867"
"NSW","128","Lindsay","0","ABSENT","0","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","28.780"
"NSW","128","Lindsay","0","ABSENT","0","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","0","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Preference Count","119"
"NSW","128","Lindsay","0","ABSENT","0","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Preference Percent","3.950"
"NSW","128","Lindsay","0","ABSENT","0","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","0","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","1","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","971"
"NSW","128","Lindsay","0","ABSENT","1","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","32.240"
"NSW","128","Lindsay","0","ABSENT","1","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","3"
"NSW","128","Lindsay","0","ABSENT","1","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","8.110"
"NSW","128","Lindsay","0","ABSENT","1","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Preference Count","115"
"NSW","128","Lindsay","0","ABSENT","1","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Preference Percent","3.820"
"NSW","128","Lindsay","0","ABSENT","1","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Transfer Count","5"
"NSW","128","Lindsay","0","ABSENT","1","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Transfer Percent","13.510"
"NSW","128","Lindsay","0","ABSENT","1","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","107"
"NSW","128","Lindsay","0","ABSENT","1","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","3.550"
"NSW","128","Lindsay","0","ABSENT","1","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","8"
"NSW","128","Lindsay","0","ABSENT","1","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","21.620"
"NSW","128","Lindsay","0","ABSENT","1","4","41971","SALEAM","James","IND","Independent","N","Preference Count","0"
"NSW","128","Lindsay","0","ABSENT","1","4","41971","SALEAM","James","IND","Independent","N","Preference Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","1","4","41971","SALEAM","James","IND","Independent","N","Transfer Count","-37"
"NSW","128","Lindsay","0","ABSENT","1","4","41971","SALEAM","James","IND","Independent","N","Transfer Percent","-100.000"
"NSW","128","Lindsay","0","ABSENT","1","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Preference Count","80"
"NSW","128","Lindsay","0","ABSENT","1","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Preference Percent","2.660"
"NSW","128","Lindsay","0","ABSENT","1","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Transfer Count","5"
"NSW","128","Lindsay","0","ABSENT","1","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Transfer Percent","13.510"
"NSW","128","Lindsay","0","ABSENT","1","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","277"
"NSW","128","Lindsay","0","ABSENT","1","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","9.200"
"NSW","128","Lindsay","0","ABSENT","1","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","2"
"NSW","128","Lindsay","0","ABSENT","1","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","5.410"
"NSW","128","Lindsay","0","ABSENT","1","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","43"
"NSW","128","Lindsay","0","ABSENT","1","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","1.430"
"NSW","128","Lindsay","0","ABSENT","1","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","3"
"NSW","128","Lindsay","0","ABSENT","1","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","8.110"
"NSW","128","Lindsay","0","ABSENT","1","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Preference Count","427"
"NSW","128","Lindsay","0","ABSENT","1","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Preference Percent","14.180"
"NSW","128","Lindsay","0","ABSENT","1","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Transfer Count","5"
"NSW","128","Lindsay","0","ABSENT","1","8","41594","McALLISTER","Aaron David","GRN","The Greens NSW","N","Transfer Percent","13.510"
"NSW","128","Lindsay","0","ABSENT","1","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","872"
"NSW","128","Lindsay","0","ABSENT","1","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","28.950"
"NSW","128","Lindsay","0","ABSENT","1","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","5"
"NSW","128","Lindsay","0","ABSENT","1","9","41383","McLEAN","Hollie Josephine","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","13.510"
"NSW","128","Lindsay","0","ABSENT","1","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Preference Count","120"
"NSW","128","Lindsay","0","ABSENT","1","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Preference Percent","3.980"
"NSW","128","Lindsay","0","ABSENT","1","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Transfer Count","1"
"NSW","128","Lindsay","0","ABSENT","1","10","41772","O'CONNOR","Joseph Oscar","CYA","Trumpet of Patriots","N","Transfer Percent","2.700"
"NSW","128","Lindsay","0","ABSENT","2","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","974"
"NSW","128","Lindsay","0","ABSENT","2","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","32.340"
"NSW","128","Lindsay","0","ABSENT","2","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","3"
"NSW","128","Lindsay","0","ABSENT","2","1","41480","McINTOSH","Melissa Iris","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","6.980"
"NSW","128","Lindsay","0","ABSENT","2","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Preference Count","124"
"NSW","128","Lindsay","0","ABSENT","2","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Preference Percent","4.120"
"NSW","128","Lindsay","0","ABSENT","2","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Transfer Count","9"
"NSW","128","Lindsay","0","ABSENT","2","2","41952","EMMANUEL","Antony Victor","FFPA","Family First Party Australia","N","Transfer Percent","20.930"
"NSW","128","Lindsay","0","ABSENT","2","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","108"
"NSW","128","Lindsay","0","ABSENT","2","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","3.590"
"NSW","128","Lindsay","0","ABSENT","2","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","1"
"NSW","128","Lindsay","0","ABSENT","2","3","41650","HALLEY","Carl","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","2.330"
"NSW","128","Lindsay","0","ABSENT","2","4","41971","SALEAM","James","IND","Independent","N","Preference Count","0"
"NSW","128","Lindsay","0","ABSENT","2","4","41971","SALEAM","James","IND","Independent","N","Preference Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","2","4","41971","SALEAM","James","IND","Independent","N","Transfer Count","0"
"NSW","128","Lindsay","0","ABSENT","2","4","41971","SALEAM","James","IND","Independent","N","Transfer Percent","0.000"
"NSW","128","Lindsay","0","ABSENT","2","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Preference Count","84"
"NSW","128","Lindsay","0","ABSENT","2","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Preference Percent","2.790"
"NSW","128","Lindsay","0","ABSENT","2","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Transfer Count","4"
"NSW","128","Lindsay","0","ABSENT","2","5","40863","BLAZI","Vanessa Katarina","AJP","Animal Justice Party","N","Transfer Percent","9.300"
"NSW","128","Lindsay","0","ABSENT","2","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","296"
"NSW","128","Lindsay","0","ABSENT","2","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","9.830"
"NSW","128","Lindsay","0","ABSENT","2","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","19"
"NSW","128","Lindsay","0","ABSENT","2","6","41961","BUCKLEY","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","44.190"
"NSW","128","Lindsay","0","ABSENT","2","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","0"
"NSW","128","Lindsay","0","ABSENT","2","7","41988","PALMER","Michelle Therese","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","0.000"
