2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","132","Mackellar","0","ABSENT","0","1","41968","COTTON","Anita Lisa","IND","Independent","N","Preference Count","119"
"NSW","132","Mackellar","0","ABSENT","0","1","41968","COTTON","Anita Lisa","IND","Independent","N","Preference Percent","4.060"
"NSW","132","Mackellar","0","ABSENT","0","1","41968","COTTON","Anita Lisa","IND","Independent","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","1","41968","COTTON","Anita Lisa","IND","Independent","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Preference Count","117"
"NSW","132","Mackellar","0","ABSENT","0","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Preference Percent","4.000"
"NSW","132","Mackellar","0","ABSENT","0","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Preference Count","407"
"NSW","132","Mackellar","0","ABSENT","0","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Preference Percent","13.900"
"NSW","132","Mackellar","0","ABSENT","0","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Preference Count","80"
"NSW","132","Mackellar","0","ABSENT","0","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Preference Percent","2.730"
"NSW","132","Mackellar","0","ABSENT","0","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Preference Count","70"
"NSW","132","Mackellar","0","ABSENT","0","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Preference Percent","2.390"
"NSW","132","Mackellar","0","ABSENT","0","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Preference Count","755"
"NSW","132","Mackellar","0","ABSENT","0","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.790"
"NSW","132","Mackellar","0","ABSENT","0","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","7","40647","SINGH","Mandeep","IND","Independent","N","Preference Count","25"
"NSW","132","Mackellar","0","ABSENT","0","7","40647","SINGH","Mandeep","IND","Independent","N","Preference Percent","0.850"
"NSW","132","Mackellar","0","ABSENT","0","7","40647","SINGH","Mandeep","IND","Independent","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","7","40647","SINGH","Mandeep","IND","Independent","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Preference Count","856"
"NSW","132","Mackellar","0","ABSENT","0","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Preference Percent","29.230"
"NSW","132","Mackellar","0","ABSENT","0","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","0","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","499"
"NSW","132","Mackellar","0","ABSENT","0","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","17.040"
"NSW","132","Mackellar","0","ABSENT","0","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","0","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","1","1","41968","COTTON","Anita Lisa","IND","Independent","N","Preference Count","123"
"NSW","132","Mackellar","0","ABSENT","1","1","41968","COTTON","Anita Lisa","IND","Independent","N","Preference Percent","4.200"
"NSW","132","Mackellar","0","ABSENT","1","1","41968","COTTON","Anita Lisa","IND","Independent","N","Transfer Count","4"
"NSW","132","Mackellar","0","ABSENT","1","1","41968","COTTON","Anita Lisa","IND","Independent","N","Transfer Percent","16.000"
"NSW","132","Mackellar","0","ABSENT","1","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Preference Count","117"
"NSW","132","Mackellar","0","ABSENT","1","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Preference Percent","4.000"
"NSW","132","Mackellar","0","ABSENT","1","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","132","Mackellar","0","ABSENT","1","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","1","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Preference Count","412"
"NSW","132","Mackellar","0","ABSENT","1","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Preference Percent","14.070"
"NSW","132","Mackellar","0","ABSENT","1","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Transfer Count","5"
"NSW","132","Mackellar","0","ABSENT","1","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Transfer Percent","20.000"
"NSW","132","Mackellar","0","ABSENT","1","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Preference Count","81"
"NSW","132","Mackellar","0","ABSENT","1","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Preference Percent","2.770"
"NSW","132","Mackellar","0","ABSENT","1","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Transfer Count","1"
"NSW","132","Mackellar","0","ABSENT","1","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Transfer Percent","4.000"
"NSW","132","Mackellar","0","ABSENT","1","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Preference Count","72"
"NSW","132","Mackellar","0","ABSENT","1","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Preference Percent","2.460"
"NSW","132","Mackellar","0","ABSENT","1","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Transfer Count","2"
"NSW","132","Mackellar","0","ABSENT","1","5","41702","ROBERTSON","Amber","CYA","Trumpet of Patriots","N","Transfer Percent","8.000"
"NSW","132","Mackellar","0","ABSENT","1","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Preference Count","756"
"NSW","132","Mackellar","0","ABSENT","1","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.820"
"NSW","132","Mackellar","0","ABSENT","1","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","1"
"NSW","132","Mackellar","0","ABSENT","1","6","41830","BROWN","James Alexander","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","4.000"
"NSW","132","Mackellar","0","ABSENT","1","7","40647","SINGH","Mandeep","IND","Independent","N","Preference Count","0"
"NSW","132","Mackellar","0","ABSENT","1","7","40647","SINGH","Mandeep","IND","Independent","N","Preference Percent","0.000"
"NSW","132","Mackellar","0","ABSENT","1","7","40647","SINGH","Mandeep","IND","Independent","N","Transfer Count","-25"
"NSW","132","Mackellar","0","ABSENT","1","7","40647","SINGH","Mandeep","IND","Independent","N","Transfer Percent","-100.000"
"NSW","132","Mackellar","0","ABSENT","1","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Preference Count","867"
"NSW","132","Mackellar","0","ABSENT","1","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Preference Percent","29.610"
"NSW","132","Mackellar","0","ABSENT","1","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Transfer Count","11"
"NSW","132","Mackellar","0","ABSENT","1","8","37450","SCAMPS","Sophie Anna","IND","Independent","Y","Transfer Percent","44.000"
"NSW","132","Mackellar","0","ABSENT","1","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","500"
"NSW","132","Mackellar","0","ABSENT","1","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","17.080"
"NSW","132","Mackellar","0","ABSENT","1","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","1"
"NSW","132","Mackellar","0","ABSENT","1","9","41402","QUINN","Jeffrey Raymond","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","4.000"
"NSW","132","Mackellar","0","ABSENT","2","1","41968","COTTON","Anita Lisa","IND","Independent","N","Preference Count","125"
"NSW","132","Mackellar","0","ABSENT","2","1","41968","COTTON","Anita Lisa","IND","Independent","N","Preference Percent","4.270"
"NSW","132","Mackellar","0","ABSENT","2","1","41968","COTTON","Anita Lisa","IND","Independent","N","Transfer Count","2"
"NSW","132","Mackellar","0","ABSENT","2","1","41968","COTTON","Anita Lisa","IND","Independent","N","Transfer Percent","2.780"
"NSW","132","Mackellar","0","ABSENT","2","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Preference Count","140"
"NSW","132","Mackellar","0","ABSENT","2","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Preference Percent","4.780"
"NSW","132","Mackellar","0","ABSENT","2","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Transfer Count","23"
"NSW","132","Mackellar","0","ABSENT","2","2","42046","HAYMAN","Brad Ronald","ON","Pauline Hanson's One Nation","N","Transfer Percent","31.940"
"NSW","132","Mackellar","0","ABSENT","2","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Preference Count","418"
"NSW","132","Mackellar","0","ABSENT","2","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Preference Percent","14.280"
"NSW","132","Mackellar","0","ABSENT","2","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Transfer Count","6"
"NSW","132","Mackellar","0","ABSENT","2","3","41629","HRNJAK","Ethan Khye","GRN","The Greens NSW","N","Transfer Percent","8.330"
"NSW","132","Mackellar","0","ABSENT","2","4","41863","ADDISON","Justin Phillip","LTP","Libertarian Party","N","Preference Count","87"
