2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","133","Macquarie","0","ABSENT","0","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Preference Count","401"
"NSW","133","Macquarie","0","ABSENT","0","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Preference Percent","15.180"
"NSW","133","Macquarie","0","ABSENT","0","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","0","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","0","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Preference Count","691"
"NSW","133","Macquarie","0","ABSENT","0","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.150"
"NSW","133","Macquarie","0","ABSENT","0","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","0","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","0","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Preference Count","55"
"NSW","133","Macquarie","0","ABSENT","0","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Preference Percent","2.080"
"NSW","133","Macquarie","0","ABSENT","0","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","0","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","0","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Preference Count","469"
"NSW","133","Macquarie","0","ABSENT","0","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Preference Percent","17.750"
"NSW","133","Macquarie","0","ABSENT","0","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","0","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","0","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","891"
"NSW","133","Macquarie","0","ABSENT","0","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","33.720"
"NSW","133","Macquarie","0","ABSENT","0","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","0","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","0","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Preference Count","135"
"NSW","133","Macquarie","0","ABSENT","0","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Preference Percent","5.110"
"NSW","133","Macquarie","0","ABSENT","0","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","0","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","1","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Preference Count","426"
"NSW","133","Macquarie","0","ABSENT","1","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Preference Percent","16.120"
"NSW","133","Macquarie","0","ABSENT","1","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Transfer Count","25"
"NSW","133","Macquarie","0","ABSENT","1","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Transfer Percent","45.450"
"NSW","133","Macquarie","0","ABSENT","1","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Preference Count","696"
"NSW","133","Macquarie","0","ABSENT","1","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.340"
"NSW","133","Macquarie","0","ABSENT","1","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","5"
"NSW","133","Macquarie","0","ABSENT","1","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","9.090"
"NSW","133","Macquarie","0","ABSENT","1","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Preference Count","0"
"NSW","133","Macquarie","0","ABSENT","1","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","1","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Transfer Count","-55"
"NSW","133","Macquarie","0","ABSENT","1","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"NSW","133","Macquarie","0","ABSENT","1","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Preference Count","478"
"NSW","133","Macquarie","0","ABSENT","1","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Preference Percent","18.090"
"NSW","133","Macquarie","0","ABSENT","1","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Transfer Count","9"
"NSW","133","Macquarie","0","ABSENT","1","4","41602","MORGAN","Terence","GRN","The Greens NSW","N","Transfer Percent","16.360"
"NSW","133","Macquarie","0","ABSENT","1","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","897"
"NSW","133","Macquarie","0","ABSENT","1","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","33.950"
"NSW","133","Macquarie","0","ABSENT","1","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","6"
"NSW","133","Macquarie","0","ABSENT","1","5","41425","TEMPLEMAN","Susan Raye","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","10.910"
"NSW","133","Macquarie","0","ABSENT","1","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Preference Count","145"
"NSW","133","Macquarie","0","ABSENT","1","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Preference Percent","5.490"
"NSW","133","Macquarie","0","ABSENT","1","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Transfer Count","10"
"NSW","133","Macquarie","0","ABSENT","1","6","41801","BOWEN","Roger Gerard","FFPA","Family First Party Australia","N","Transfer Percent","18.180"
"NSW","133","Macquarie","0","ABSENT","2","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Preference Count","500"
"NSW","133","Macquarie","0","ABSENT","2","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Preference Percent","18.930"
"NSW","133","Macquarie","0","ABSENT","2","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Transfer Count","74"
"NSW","133","Macquarie","0","ABSENT","2","1","41882","JACOBSON","Matthew Russell","ON","Pauline Hanson's One Nation","N","Transfer Percent","51.030"
"NSW","133","Macquarie","0","ABSENT","2","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Preference Count","716"
"NSW","133","Macquarie","0","ABSENT","2","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","27.100"
"NSW","133","Macquarie","0","ABSENT","2","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","20"
"NSW","133","Macquarie","0","ABSENT","2","2","41490","CREED","Michael Anthony","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","13.790"
"NSW","133","Macquarie","0","ABSENT","2","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Preference Count","0"
"NSW","133","Macquarie","0","ABSENT","2","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","133","Macquarie","0","ABSENT","2","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","133","Macquarie","0","ABSENT","2","3","41873","DE LIMA","Joaquim Eduardo","LTP","Libertarian Party","N","Transfer Percent","0.000"
