2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","134","Mitchell","0","ABSENT","0","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Count","642"
"NSW","134","Mitchell","0","ABSENT","0","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Percent","19.310"
"NSW","134","Mitchell","0","ABSENT","0","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","0","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","0","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","1267"
"NSW","134","Mitchell","0","ABSENT","0","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","38.120"
"NSW","134","Mitchell","0","ABSENT","0","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","0","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","0","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Count","233"
"NSW","134","Mitchell","0","ABSENT","0","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Percent","7.010"
"NSW","134","Mitchell","0","ABSENT","0","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","0","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","0","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","1059"
"NSW","134","Mitchell","0","ABSENT","0","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","31.860"
"NSW","134","Mitchell","0","ABSENT","0","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","0","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","0","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Preference Count","123"
"NSW","134","Mitchell","0","ABSENT","0","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Preference Percent","3.700"
"NSW","134","Mitchell","0","ABSENT","0","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","0","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","1","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Count","658"
"NSW","134","Mitchell","0","ABSENT","1","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Percent","19.800"
"NSW","134","Mitchell","0","ABSENT","1","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Count","16"
"NSW","134","Mitchell","0","ABSENT","1","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Percent","13.010"
"NSW","134","Mitchell","0","ABSENT","1","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","1299"
"NSW","134","Mitchell","0","ABSENT","1","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","39.080"
"NSW","134","Mitchell","0","ABSENT","1","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","32"
"NSW","134","Mitchell","0","ABSENT","1","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","26.020"
"NSW","134","Mitchell","0","ABSENT","1","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Count","292"
"NSW","134","Mitchell","0","ABSENT","1","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Percent","8.780"
"NSW","134","Mitchell","0","ABSENT","1","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Count","59"
"NSW","134","Mitchell","0","ABSENT","1","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Percent","47.970"
"NSW","134","Mitchell","0","ABSENT","1","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","1075"
"NSW","134","Mitchell","0","ABSENT","1","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","32.340"
"NSW","134","Mitchell","0","ABSENT","1","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","16"
"NSW","134","Mitchell","0","ABSENT","1","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","13.010"
"NSW","134","Mitchell","0","ABSENT","1","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","134","Mitchell","0","ABSENT","1","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","1","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Transfer Count","-123"
"NSW","134","Mitchell","0","ABSENT","1","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","134","Mitchell","0","ABSENT","2","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Count","696"
"NSW","134","Mitchell","0","ABSENT","2","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Percent","20.940"
"NSW","134","Mitchell","0","ABSENT","2","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Count","38"
"NSW","134","Mitchell","0","ABSENT","2","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Percent","13.010"
"NSW","134","Mitchell","0","ABSENT","2","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","1488"
"NSW","134","Mitchell","0","ABSENT","2","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","44.770"
"NSW","134","Mitchell","0","ABSENT","2","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","189"
"NSW","134","Mitchell","0","ABSENT","2","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","64.730"
"NSW","134","Mitchell","0","ABSENT","2","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","134","Mitchell","0","ABSENT","2","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","2","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Count","-292"
"NSW","134","Mitchell","0","ABSENT","2","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"NSW","134","Mitchell","0","ABSENT","2","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","1140"
"NSW","134","Mitchell","0","ABSENT","2","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","34.300"
"NSW","134","Mitchell","0","ABSENT","2","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","65"
"NSW","134","Mitchell","0","ABSENT","2","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","22.260"
"NSW","134","Mitchell","0","ABSENT","2","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","134","Mitchell","0","ABSENT","2","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","2","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","2","5","41699","CROCKER","Mark Alan","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","3","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Count","0"
"NSW","134","Mitchell","0","ABSENT","3","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Preference Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","3","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Count","-696"
"NSW","134","Mitchell","0","ABSENT","3","1","41609","SPEECHLY","Benjamin Mark","GRN","The Greens NSW","N","Transfer Percent","-100.000"
"NSW","134","Mitchell","0","ABSENT","3","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","1668"
"NSW","134","Mitchell","0","ABSENT","3","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","50.180"
"NSW","134","Mitchell","0","ABSENT","3","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","180"
"NSW","134","Mitchell","0","ABSENT","3","2","41487","HAWKE","Alexander George","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","25.860"
"NSW","134","Mitchell","0","ABSENT","3","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","134","Mitchell","0","ABSENT","3","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","3","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","134","Mitchell","0","ABSENT","3","3","41886","McCREANOR","Brendan Joseph","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","134","Mitchell","0","ABSENT","3","4","41420","BIRCAN","Dilvan","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","1656"
