2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","136","Newcastle","0","ABSENT","0","1","41695","STEFANAC","Jennifer","CYA","Trumpet of Patriots","N","Preference Count","193"
"NSW","136","Newcastle","0","ABSENT","0","1","41695","STEFANAC","Jennifer","CYA","Trumpet of Patriots","N","Preference Percent","5.810"
"NSW","136","Newcastle","0","ABSENT","0","1","41695","STEFANAC","Jennifer","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","136","Newcastle","0","ABSENT","0","1","41695","STEFANAC","Jennifer","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","136","Newcastle","0","ABSENT","0","2","42049","O'BRIEN","Stephen Mark","SAL","Socialist Alliance","N","Preference Count","65"
"NSW","136","Newcastle","0","ABSENT","0","2","42049","O'BRIEN","Stephen Mark","SAL","Socialist Alliance","N","Preference Percent","1.960"
"NSW","136","Newcastle","0","ABSENT","0","2","42049","O'BRIEN","Stephen Mark","SAL","Socialist Alliance","N","Transfer Count","0"
"NSW","136","Newcastle","0","ABSENT","0","2","42049","O'BRIEN","Stephen Mark","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"NSW","136","Newcastle","0","ABSENT","0","3","41620","McCABE","Charlotte Mary","GRN","The Greens NSW","N","Preference Count","865"
"NSW","136","Newcastle","0","ABSENT","0","3","41620","McCABE","Charlotte Mary","GRN","The Greens NSW","N","Preference Percent","26.040"
"NSW","136","Newcastle","0","ABSENT","0","3","41620","McCABE","Charlotte Mary","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","136","Newcastle","0","ABSENT","0","3","41620","McCABE","Charlotte Mary","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","136","Newcastle","0","ABSENT","0","4","41488","McPHEE","Asarri","LP","Liberal Party of Australia, NSW Division","N","Preference Count","544"
"NSW","136","Newcastle","0","ABSENT","0","4","41488","McPHEE","Asarri","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","16.380"
"NSW","136","Newcastle","0","ABSENT","0","4","41488","McPHEE","Asarri","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","136","Newcastle","0","ABSENT","0","4","41488","McPHEE","Asarri","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","136","Newcastle","0","ABSENT","0","5","41422","CLAYDON","Sharon Catherine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1248"
"NSW","136","Newcastle","0","ABSENT","0","5","41422","CLAYDON","Sharon Catherine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","37.570"
"NSW","136","Newcastle","0","ABSENT","0","5","41422","CLAYDON","Sharon Catherine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","136","Newcastle","0","ABSENT","0","5","41422","CLAYDON","Sharon Catherine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
