2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","140","Parramatta","0","ABSENT","0","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Count","186"
"NSW","140","Parramatta","0","ABSENT","0","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Percent","4.910"
"NSW","140","Parramatta","0","ABSENT","0","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Count","89"
"NSW","140","Parramatta","0","ABSENT","0","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Percent","2.350"
"NSW","140","Parramatta","0","ABSENT","0","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Count","657"
"NSW","140","Parramatta","0","ABSENT","0","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Percent","17.330"
"NSW","140","Parramatta","0","ABSENT","0","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Count","89"
"NSW","140","Parramatta","0","ABSENT","0","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Percent","2.350"
"NSW","140","Parramatta","0","ABSENT","0","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1534"
"NSW","140","Parramatta","0","ABSENT","0","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","40.460"
"NSW","140","Parramatta","0","ABSENT","0","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","6","40610","MALINI","Maa","IND","Independent","N","Preference Count","75"
"NSW","140","Parramatta","0","ABSENT","0","6","40610","MALINI","Maa","IND","Independent","N","Preference Percent","1.980"
"NSW","140","Parramatta","0","ABSENT","0","6","40610","MALINI","Maa","IND","Independent","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","6","40610","MALINI","Maa","IND","Independent","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Count","993"
"NSW","140","Parramatta","0","ABSENT","0","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.190"
"NSW","140","Parramatta","0","ABSENT","0","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","0","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Count","168"
"NSW","140","Parramatta","0","ABSENT","0","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Percent","4.430"
"NSW","140","Parramatta","0","ABSENT","0","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","0","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","1","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Count","190"
"NSW","140","Parramatta","0","ABSENT","1","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Percent","5.010"
"NSW","140","Parramatta","0","ABSENT","1","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Count","4"
"NSW","140","Parramatta","0","ABSENT","1","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Percent","5.330"
"NSW","140","Parramatta","0","ABSENT","1","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Count","92"
"NSW","140","Parramatta","0","ABSENT","1","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Percent","2.430"
"NSW","140","Parramatta","0","ABSENT","1","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Count","3"
"NSW","140","Parramatta","0","ABSENT","1","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Percent","4.000"
"NSW","140","Parramatta","0","ABSENT","1","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Count","670"
"NSW","140","Parramatta","0","ABSENT","1","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Percent","17.670"
"NSW","140","Parramatta","0","ABSENT","1","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Count","13"
"NSW","140","Parramatta","0","ABSENT","1","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Percent","17.330"
"NSW","140","Parramatta","0","ABSENT","1","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Count","118"
"NSW","140","Parramatta","0","ABSENT","1","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Percent","3.110"
"NSW","140","Parramatta","0","ABSENT","1","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Count","29"
"NSW","140","Parramatta","0","ABSENT","1","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Percent","38.670"
"NSW","140","Parramatta","0","ABSENT","1","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1547"
"NSW","140","Parramatta","0","ABSENT","1","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","40.810"
"NSW","140","Parramatta","0","ABSENT","1","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","13"
"NSW","140","Parramatta","0","ABSENT","1","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","17.330"
"NSW","140","Parramatta","0","ABSENT","1","6","40610","MALINI","Maa","IND","Independent","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","1","6","40610","MALINI","Maa","IND","Independent","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","1","6","40610","MALINI","Maa","IND","Independent","N","Transfer Count","-75"
"NSW","140","Parramatta","0","ABSENT","1","6","40610","MALINI","Maa","IND","Independent","N","Transfer Percent","-100.000"
"NSW","140","Parramatta","0","ABSENT","1","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1003"
"NSW","140","Parramatta","0","ABSENT","1","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.460"
"NSW","140","Parramatta","0","ABSENT","1","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","10"
"NSW","140","Parramatta","0","ABSENT","1","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","13.330"
"NSW","140","Parramatta","0","ABSENT","1","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Count","171"
"NSW","140","Parramatta","0","ABSENT","1","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Percent","4.510"
"NSW","140","Parramatta","0","ABSENT","1","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Count","3"
"NSW","140","Parramatta","0","ABSENT","1","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Percent","4.000"
"NSW","140","Parramatta","0","ABSENT","2","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Count","212"
"NSW","140","Parramatta","0","ABSENT","2","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Percent","5.590"
"NSW","140","Parramatta","0","ABSENT","2","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Count","22"
"NSW","140","Parramatta","0","ABSENT","2","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Percent","23.910"
"NSW","140","Parramatta","0","ABSENT","2","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","2","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","2","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Count","-92"
"NSW","140","Parramatta","0","ABSENT","2","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"NSW","140","Parramatta","0","ABSENT","2","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Count","681"
"NSW","140","Parramatta","0","ABSENT","2","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Percent","17.960"
"NSW","140","Parramatta","0","ABSENT","2","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Count","11"
"NSW","140","Parramatta","0","ABSENT","2","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Percent","11.960"
"NSW","140","Parramatta","0","ABSENT","2","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Count","134"
"NSW","140","Parramatta","0","ABSENT","2","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Percent","3.530"
"NSW","140","Parramatta","0","ABSENT","2","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Count","16"
"NSW","140","Parramatta","0","ABSENT","2","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Percent","17.390"
"NSW","140","Parramatta","0","ABSENT","2","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1555"
"NSW","140","Parramatta","0","ABSENT","2","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.020"
"NSW","140","Parramatta","0","ABSENT","2","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","8"
"NSW","140","Parramatta","0","ABSENT","2","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","8.700"
"NSW","140","Parramatta","0","ABSENT","2","6","40610","MALINI","Maa","IND","Independent","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","2","6","40610","MALINI","Maa","IND","Independent","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","2","6","40610","MALINI","Maa","IND","Independent","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","2","6","40610","MALINI","Maa","IND","Independent","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","2","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1016"
"NSW","140","Parramatta","0","ABSENT","2","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","26.800"
"NSW","140","Parramatta","0","ABSENT","2","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","13"
"NSW","140","Parramatta","0","ABSENT","2","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","14.130"
"NSW","140","Parramatta","0","ABSENT","2","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Count","193"
"NSW","140","Parramatta","0","ABSENT","2","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Percent","5.090"
"NSW","140","Parramatta","0","ABSENT","2","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Count","22"
"NSW","140","Parramatta","0","ABSENT","2","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Percent","23.910"
"NSW","140","Parramatta","0","ABSENT","3","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Count","227"
"NSW","140","Parramatta","0","ABSENT","3","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Percent","5.990"
"NSW","140","Parramatta","0","ABSENT","3","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Count","15"
"NSW","140","Parramatta","0","ABSENT","3","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Percent","11.190"
"NSW","140","Parramatta","0","ABSENT","3","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","3","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","3","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","3","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","3","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Count","723"
"NSW","140","Parramatta","0","ABSENT","3","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Percent","19.070"
"NSW","140","Parramatta","0","ABSENT","3","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Count","42"
"NSW","140","Parramatta","0","ABSENT","3","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Percent","31.340"
"NSW","140","Parramatta","0","ABSENT","3","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","3","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","3","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Count","-134"
"NSW","140","Parramatta","0","ABSENT","3","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Percent","-100.000"
"NSW","140","Parramatta","0","ABSENT","3","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1588"
"NSW","140","Parramatta","0","ABSENT","3","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.890"
"NSW","140","Parramatta","0","ABSENT","3","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","33"
"NSW","140","Parramatta","0","ABSENT","3","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","24.630"
"NSW","140","Parramatta","0","ABSENT","3","6","40610","MALINI","Maa","IND","Independent","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","3","6","40610","MALINI","Maa","IND","Independent","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","3","6","40610","MALINI","Maa","IND","Independent","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","3","6","40610","MALINI","Maa","IND","Independent","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","3","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1034"
"NSW","140","Parramatta","0","ABSENT","3","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","27.280"
"NSW","140","Parramatta","0","ABSENT","3","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","18"
"NSW","140","Parramatta","0","ABSENT","3","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","13.430"
"NSW","140","Parramatta","0","ABSENT","3","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Count","219"
"NSW","140","Parramatta","0","ABSENT","3","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Percent","5.780"
"NSW","140","Parramatta","0","ABSENT","3","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Count","26"
"NSW","140","Parramatta","0","ABSENT","3","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Percent","19.400"
"NSW","140","Parramatta","0","ABSENT","4","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","4","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Count","-227"
"NSW","140","Parramatta","0","ABSENT","4","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","140","Parramatta","0","ABSENT","4","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","4","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","4","2","41872","SOMERSON","Ben Adrian Hickson","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Count","827"
"NSW","140","Parramatta","0","ABSENT","4","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Preference Percent","21.810"
"NSW","140","Parramatta","0","ABSENT","4","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Count","104"
"NSW","140","Parramatta","0","ABSENT","4","3","41631","TILLY","Elizabeth Jean","GRN","The Greens NSW","N","Transfer Percent","45.810"
"NSW","140","Parramatta","0","ABSENT","4","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","4","4","42020","QUINN","Tanya-lee","IND","Independent","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","4","4","42020","QUINN","Tanya-lee","IND","Independent","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1618"
"NSW","140","Parramatta","0","ABSENT","4","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","42.680"
"NSW","140","Parramatta","0","ABSENT","4","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","30"
"NSW","140","Parramatta","0","ABSENT","4","5","41424","CHARLTON","Andrew","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","13.220"
"NSW","140","Parramatta","0","ABSENT","4","6","40610","MALINI","Maa","IND","Independent","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","4","6","40610","MALINI","Maa","IND","Independent","N","Preference Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","6","40610","MALINI","Maa","IND","Independent","N","Transfer Count","0"
"NSW","140","Parramatta","0","ABSENT","4","6","40610","MALINI","Maa","IND","Independent","N","Transfer Percent","0.000"
"NSW","140","Parramatta","0","ABSENT","4","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1066"
"NSW","140","Parramatta","0","ABSENT","4","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","28.120"
"NSW","140","Parramatta","0","ABSENT","4","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","32"
"NSW","140","Parramatta","0","ABSENT","4","7","41483","MULLENS","Katie Dee","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","14.100"
"NSW","140","Parramatta","0","ABSENT","4","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Count","280"
"NSW","140","Parramatta","0","ABSENT","4","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Preference Percent","7.390"
"NSW","140","Parramatta","0","ABSENT","4","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Count","61"
"NSW","140","Parramatta","0","ABSENT","4","8","41899","MATZEN","Nicholas John Albert","ON","Pauline Hanson's One Nation","N","Transfer Percent","26.870"
"NSW","140","Parramatta","0","ABSENT","5","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","140","Parramatta","0","ABSENT","5","1","41691","LOKE","Ganesh Sahadev","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
