2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","249","Paterson","0","ABSENT","0","1","42100","HOLDING","Rodney Edward","IND","Independent","N","Preference Count","85"
"NSW","249","Paterson","0","ABSENT","0","1","42100","HOLDING","Rodney Edward","IND","Independent","N","Preference Percent","3.090"
"NSW","249","Paterson","0","ABSENT","0","1","42100","HOLDING","Rodney Edward","IND","Independent","N","Transfer Count","0"
"NSW","249","Paterson","0","ABSENT","0","1","42100","HOLDING","Rodney Edward","IND","Independent","N","Transfer Percent","0.000"
"NSW","249","Paterson","0","ABSENT","0","2","41427","SWANSON","Meryl Jane","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","915"
"NSW","249","Paterson","0","ABSENT","0","2","41427","SWANSON","Meryl Jane","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","33.220"
"NSW","249","Paterson","0","ABSENT","0","2","41427","SWANSON","Meryl Jane","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","249","Paterson","0","ABSENT","0","2","41427","SWANSON","Meryl Jane","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","249","Paterson","0","ABSENT","0","3","42050","WITHER","Arnon Samuel John","ON","Pauline Hanson's One Nation","N","Preference Count","241"
"NSW","249","Paterson","0","ABSENT","0","3","42050","WITHER","Arnon Samuel John","ON","Pauline Hanson's One Nation","N","Preference Percent","8.750"
"NSW","249","Paterson","0","ABSENT","0","3","42050","WITHER","Arnon Samuel John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","249","Paterson","0","ABSENT","0","3","42050","WITHER","Arnon Samuel John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","249","Paterson","0","ABSENT","0","4","41752","PENFOLD","Philip Austin","IND","Independent","N","Preference Count","185"
"NSW","249","Paterson","0","ABSENT","0","4","41752","PENFOLD","Philip Austin","IND","Independent","N","Preference Percent","6.720"
"NSW","249","Paterson","0","ABSENT","0","4","41752","PENFOLD","Philip Austin","IND","Independent","N","Transfer Count","0"
