2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","144","Reid","0","ABSENT","0","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Preference Count","700"
"NSW","144","Reid","0","ABSENT","0","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Preference Percent","20.120"
"NSW","144","Reid","0","ABSENT","0","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","0","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Preference Count","883"
"NSW","144","Reid","0","ABSENT","0","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.380"
"NSW","144","Reid","0","ABSENT","0","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","0","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Preference Count","108"
"NSW","144","Reid","0","ABSENT","0","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Preference Percent","3.100"
"NSW","144","Reid","0","ABSENT","0","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","0","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Preference Count","129"
"NSW","144","Reid","0","ABSENT","0","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Preference Percent","3.710"
"NSW","144","Reid","0","ABSENT","0","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","0","5","41434","SITOU","Sally","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1459"
"NSW","144","Reid","0","ABSENT","0","5","41434","SITOU","Sally","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.940"
"NSW","144","Reid","0","ABSENT","0","5","41434","SITOU","Sally","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","5","41434","SITOU","Sally","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","0","6","41975","MEAD","Clinton","LTP","Libertarian Party","N","Preference Count","65"
"NSW","144","Reid","0","ABSENT","0","6","41975","MEAD","Clinton","LTP","Libertarian Party","N","Preference Percent","1.870"
"NSW","144","Reid","0","ABSENT","0","6","41975","MEAD","Clinton","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","6","41975","MEAD","Clinton","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","0","7","40614","COMMERFORD","Steven John","IND","Independent","N","Preference Count","135"
"NSW","144","Reid","0","ABSENT","0","7","40614","COMMERFORD","Steven John","IND","Independent","N","Preference Percent","3.880"
"NSW","144","Reid","0","ABSENT","0","7","40614","COMMERFORD","Steven John","IND","Independent","N","Transfer Count","0"
"NSW","144","Reid","0","ABSENT","0","7","40614","COMMERFORD","Steven John","IND","Independent","N","Transfer Percent","0.000"
"NSW","144","Reid","0","ABSENT","1","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Preference Count","706"
"NSW","144","Reid","0","ABSENT","1","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Preference Percent","20.290"
"NSW","144","Reid","0","ABSENT","1","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Transfer Count","6"
"NSW","144","Reid","0","ABSENT","1","1","41633","SOMERVILLE","Joanna Elizabeth","GRN","The Greens NSW","N","Transfer Percent","9.230"
"NSW","144","Reid","0","ABSENT","1","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Preference Count","895"
"NSW","144","Reid","0","ABSENT","1","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.730"
"NSW","144","Reid","0","ABSENT","1","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","12"
"NSW","144","Reid","0","ABSENT","1","2","41514","CHUNG","Grange Tai-Ming","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","18.460"
"NSW","144","Reid","0","ABSENT","1","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Preference Count","110"
"NSW","144","Reid","0","ABSENT","1","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Preference Percent","3.160"
"NSW","144","Reid","0","ABSENT","1","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Transfer Count","2"
"NSW","144","Reid","0","ABSENT","1","3","41693","SARIKAYA","David","CYA","Trumpet of Patriots","N","Transfer Percent","3.080"
"NSW","144","Reid","0","ABSENT","1","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Preference Count","157"
"NSW","144","Reid","0","ABSENT","1","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Preference Percent","4.510"
"NSW","144","Reid","0","ABSENT","1","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Transfer Count","28"
"NSW","144","Reid","0","ABSENT","1","4","41892","INGROUILLE","Gina Maree","ON","Pauline Hanson's One Nation","N","Transfer Percent","43.080"
