2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","146","Robertson","0","ABSENT","0","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Preference Count","300"
"NSW","146","Robertson","0","ABSENT","0","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Preference Percent","10.550"
"NSW","146","Robertson","0","ABSENT","0","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","0","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Preference Count","443"
"NSW","146","Robertson","0","ABSENT","0","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Preference Percent","15.580"
"NSW","146","Robertson","0","ABSENT","0","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","0","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Preference Count","682"
"NSW","146","Robertson","0","ABSENT","0","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.990"
"NSW","146","Robertson","0","ABSENT","0","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","0","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Preference Count","242"
"NSW","146","Robertson","0","ABSENT","0","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Preference Percent","8.510"
"NSW","146","Robertson","0","ABSENT","0","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","0","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Preference Count","118"
"NSW","146","Robertson","0","ABSENT","0","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Preference Percent","4.150"
"NSW","146","Robertson","0","ABSENT","0","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","0","6","41690","BORG","David","CYA","Trumpet of Patriots","N","Preference Count","95"
"NSW","146","Robertson","0","ABSENT","0","6","41690","BORG","David","CYA","Trumpet of Patriots","N","Preference Percent","3.340"
"NSW","146","Robertson","0","ABSENT","0","6","41690","BORG","David","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","6","41690","BORG","David","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","0","7","41417","REID","Gordon James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","963"
"NSW","146","Robertson","0","ABSENT","0","7","41417","REID","Gordon James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","33.870"
"NSW","146","Robertson","0","ABSENT","0","7","41417","REID","Gordon James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","146","Robertson","0","ABSENT","0","7","41417","REID","Gordon James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","146","Robertson","0","ABSENT","1","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Preference Count","331"
"NSW","146","Robertson","0","ABSENT","1","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Preference Percent","11.640"
"NSW","146","Robertson","0","ABSENT","1","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Transfer Count","31"
"NSW","146","Robertson","0","ABSENT","1","1","41903","LLOYD","Matthew Crispin","ON","Pauline Hanson's One Nation","N","Transfer Percent","32.630"
"NSW","146","Robertson","0","ABSENT","1","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Preference Count","447"
"NSW","146","Robertson","0","ABSENT","1","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Preference Percent","15.720"
"NSW","146","Robertson","0","ABSENT","1","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Transfer Count","4"
"NSW","146","Robertson","0","ABSENT","1","2","41635","WALLACE","Cheryl Maree","GRN","The Greens NSW","N","Transfer Percent","4.210"
"NSW","146","Robertson","0","ABSENT","1","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Preference Count","700"
"NSW","146","Robertson","0","ABSENT","1","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","24.620"
"NSW","146","Robertson","0","ABSENT","1","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","18"
"NSW","146","Robertson","0","ABSENT","1","3","41491","WICKS","Lucy Elizabeth","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","18.950"
"NSW","146","Robertson","0","ABSENT","1","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Preference Count","255"
"NSW","146","Robertson","0","ABSENT","1","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Preference Percent","8.970"
"NSW","146","Robertson","0","ABSENT","1","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Transfer Count","13"
"NSW","146","Robertson","0","ABSENT","1","4","41926","LILLICRAP","Thomas Patrick","HMP","Legalise Cannabis Australia","N","Transfer Percent","13.680"
"NSW","146","Robertson","0","ABSENT","1","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Preference Count","132"
"NSW","146","Robertson","0","ABSENT","1","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Preference Percent","4.640"
"NSW","146","Robertson","0","ABSENT","1","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Transfer Count","14"
"NSW","146","Robertson","0","ABSENT","1","5","40729","BELLAMY","Lisa Robyn","IND","Independent","N","Transfer Percent","14.740"
"NSW","146","Robertson","0","ABSENT","1","6","41690","BORG","David","CYA","Trumpet of Patriots","N","Preference Count","0"
