2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","149","Sydney","0","ABSENT","0","1","41342","PLIBERSEK","Tanya Joan","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","2764"
"NSW","149","Sydney","0","ABSENT","0","1","41342","PLIBERSEK","Tanya Joan","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","48.500"
"NSW","149","Sydney","0","ABSENT","0","1","41342","PLIBERSEK","Tanya Joan","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","149","Sydney","0","ABSENT","0","1","41342","PLIBERSEK","Tanya Joan","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","149","Sydney","0","ABSENT","0","2","41984","EVANS","Rachel Lorraine","SAL","Socialist Alliance","N","Preference Count","137"
"NSW","149","Sydney","0","ABSENT","0","2","41984","EVANS","Rachel Lorraine","SAL","Socialist Alliance","N","Preference Percent","2.400"
"NSW","149","Sydney","0","ABSENT","0","2","41984","EVANS","Rachel Lorraine","SAL","Socialist Alliance","N","Transfer Count","0"
"NSW","149","Sydney","0","ABSENT","0","2","41984","EVANS","Rachel Lorraine","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"NSW","149","Sydney","0","ABSENT","0","3","41561","XU","Ke","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1044"
"NSW","149","Sydney","0","ABSENT","0","3","41561","XU","Ke","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","18.320"
"NSW","149","Sydney","0","ABSENT","0","3","41561","XU","Ke","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","149","Sydney","0","ABSENT","0","3","41561","XU","Ke","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","149","Sydney","0","ABSENT","0","4","41910","TORBARAC","Vedran","ON","Pauline Hanson's One Nation","N","Preference Count","252"
"NSW","149","Sydney","0","ABSENT","0","4","41910","TORBARAC","Vedran","ON","Pauline Hanson's One Nation","N","Preference Percent","4.420"
"NSW","149","Sydney","0","ABSENT","0","4","41910","TORBARAC","Vedran","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","149","Sydney","0","ABSENT","0","4","41910","TORBARAC","Vedran","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","149","Sydney","0","ABSENT","0","5","41638","VELEZ","Luc Javier","GRN","The Greens NSW","N","Preference Count","1502"
"NSW","149","Sydney","0","ABSENT","0","5","41638","VELEZ","Luc Javier","GRN","The Greens NSW","N","Preference Percent","26.360"
"NSW","149","Sydney","0","ABSENT","0","5","41638","VELEZ","Luc Javier","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","149","Sydney","0","ABSENT","0","5","41638","VELEZ","Luc Javier","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","149","Sydney","0","ABSENT","1","1","41342","PLIBERSEK","Tanya Joan","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","2785"
