2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","153","Werriwa","0","ABSENT","0","1","41648","CASTLE","Janet Rebecca","GRN","The Greens NSW","N","Preference Count","396"
"NSW","153","Werriwa","0","ABSENT","0","1","41648","CASTLE","Janet Rebecca","GRN","The Greens NSW","N","Preference Percent","14.750"
"NSW","153","Werriwa","0","ABSENT","0","1","41648","CASTLE","Janet Rebecca","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","153","Werriwa","0","ABSENT","0","1","41648","CASTLE","Janet Rebecca","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","153","Werriwa","0","ABSENT","0","2","41328","STANLEY","Anne Maree","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","977"
"NSW","153","Werriwa","0","ABSENT","0","2","41328","STANLEY","Anne Maree","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","36.400"
"NSW","153","Werriwa","0","ABSENT","0","2","41328","STANLEY","Anne Maree","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","153","Werriwa","0","ABSENT","0","2","41328","STANLEY","Anne Maree","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","153","Werriwa","0","ABSENT","0","3","41827","BALESTRI","Jacob David","FFPA","Family First Party Australia","N","Preference Count","125"
"NSW","153","Werriwa","0","ABSENT","0","3","41827","BALESTRI","Jacob David","FFPA","Family First Party Australia","N","Preference Percent","4.660"
"NSW","153","Werriwa","0","ABSENT","0","3","41827","BALESTRI","Jacob David","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","153","Werriwa","0","ABSENT","0","3","41827","BALESTRI","Jacob David","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","153","Werriwa","0","ABSENT","0","4","41994","DAOUD","Jamal","IND","Independent","N","Preference Count","105"
"NSW","153","Werriwa","0","ABSENT","0","4","41994","DAOUD","Jamal","IND","Independent","N","Preference Percent","3.910"
"NSW","153","Werriwa","0","ABSENT","0","4","41994","DAOUD","Jamal","IND","Independent","N","Transfer Count","0"
"NSW","153","Werriwa","0","ABSENT","0","4","41994","DAOUD","Jamal","IND","Independent","N","Transfer Percent","0.000"
"NSW","153","Werriwa","0","ABSENT","0","5","41503","KAYAL","Wissam","LP","Liberal Party of Australia, NSW Division","N","Preference Count","601"
"NSW","153","Werriwa","0","ABSENT","0","5","41503","KAYAL","Wissam","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","22.390"
"NSW","153","Werriwa","0","ABSENT","0","5","41503","KAYAL","Wissam","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
