2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","150","Whitlam","0","ABSENT","0","1","41640","DIXON","Jamie Richard Chilcott","GRN","The Greens NSW","N","Preference Count","552"
"NSW","150","Whitlam","0","ABSENT","0","1","41640","DIXON","Jamie Richard Chilcott","GRN","The Greens NSW","N","Preference Percent","21.890"
"NSW","150","Whitlam","0","ABSENT","0","1","41640","DIXON","Jamie Richard Chilcott","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","150","Whitlam","0","ABSENT","0","1","41640","DIXON","Jamie Richard Chilcott","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","150","Whitlam","0","ABSENT","0","2","41535","SMITH","Nathaniel Gerard","LP","Liberal Party of Australia, NSW Division","N","Preference Count","567"
"NSW","150","Whitlam","0","ABSENT","0","2","41535","SMITH","Nathaniel Gerard","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","22.480"
"NSW","150","Whitlam","0","ABSENT","0","2","41535","SMITH","Nathaniel Gerard","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","150","Whitlam","0","ABSENT","0","2","41535","SMITH","Nathaniel Gerard","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","150","Whitlam","0","ABSENT","0","3","42083","BRITTON","Benjamin John","IND","Independent","N","Preference Count","67"
"NSW","150","Whitlam","0","ABSENT","0","3","42083","BRITTON","Benjamin John","IND","Independent","N","Preference Percent","2.660"
"NSW","150","Whitlam","0","ABSENT","0","3","42083","BRITTON","Benjamin John","IND","Independent","N","Transfer Count","0"
"NSW","150","Whitlam","0","ABSENT","0","3","42083","BRITTON","Benjamin John","IND","Independent","N","Transfer Percent","0.000"
"NSW","150","Whitlam","0","ABSENT","0","4","41677","CUDA","Angelo","CYA","Trumpet of Patriots","N","Preference Count","104"
