2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","155","Bowman","0","ABSENT","0","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","747"
"QLD","155","Bowman","0","ABSENT","0","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","31.090"
"QLD","155","Bowman","0","ABSENT","0","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Preference Count","109"
"QLD","155","Bowman","0","ABSENT","0","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Preference Percent","4.540"
"QLD","155","Bowman","0","ABSENT","0","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","3","40623","HOLLOWAY","Shaun Keith","IND","Independent","N","Preference Count","93"
"QLD","155","Bowman","0","ABSENT","0","3","40623","HOLLOWAY","Shaun Keith","IND","Independent","N","Preference Percent","3.870"
"QLD","155","Bowman","0","ABSENT","0","3","40623","HOLLOWAY","Shaun Keith","IND","Independent","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","3","40623","HOLLOWAY","Shaun Keith","IND","Independent","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","4","40930","KNIGHT","Matthew John","ON","Pauline Hanson's One Nation","N","Preference Count","232"
"QLD","155","Bowman","0","ABSENT","0","4","40930","KNIGHT","Matthew John","ON","Pauline Hanson's One Nation","N","Preference Percent","9.650"
"QLD","155","Bowman","0","ABSENT","0","4","40930","KNIGHT","Matthew John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","4","40930","KNIGHT","Matthew John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","5","41334","WILLIAMSON","Gary James","CYA","Trumpet of Patriots","N","Preference Count","158"
"QLD","155","Bowman","0","ABSENT","0","5","41334","WILLIAMSON","Gary James","CYA","Trumpet of Patriots","N","Preference Percent","6.580"
"QLD","155","Bowman","0","ABSENT","0","5","41334","WILLIAMSON","Gary James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","5","41334","WILLIAMSON","Gary James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","6","41212","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","659"
"QLD","155","Bowman","0","ABSENT","0","6","41212","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","27.420"
"QLD","155","Bowman","0","ABSENT","0","6","41212","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","6","41212","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","7","41259","LOCKHART","Kristie Amber","GRN","Queensland Greens","N","Preference Count","405"
"QLD","155","Bowman","0","ABSENT","0","7","41259","LOCKHART","Kristie Amber","GRN","Queensland Greens","N","Preference Percent","16.850"
"QLD","155","Bowman","0","ABSENT","0","7","41259","LOCKHART","Kristie Amber","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","7","41259","LOCKHART","Kristie Amber","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","1","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","762"
"QLD","155","Bowman","0","ABSENT","1","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","31.710"
"QLD","155","Bowman","0","ABSENT","1","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","15"
"QLD","155","Bowman","0","ABSENT","1","1","40730","BROWN","Darcy Jack","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","13.760"
"QLD","155","Bowman","0","ABSENT","1","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","1","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","1","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Transfer Count","-109"
"QLD","155","Bowman","0","ABSENT","1","2","40852","TODD","David Charles","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"QLD","155","Bowman","0","ABSENT","1","3","40623","HOLLOWAY","Shaun Keith","IND","Independent","N","Preference Count","111"
"QLD","155","Bowman","0","ABSENT","1","3","40623","HOLLOWAY","Shaun Keith","IND","Independent","N","Preference Percent","4.620"
