2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","157","Capricornia","0","ABSENT","0","1","40737","MAWSON","Emily Patricia","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","743"
"QLD","157","Capricornia","0","ABSENT","0","1","40737","MAWSON","Emily Patricia","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","28.360"
"QLD","157","Capricornia","0","ABSENT","0","1","40737","MAWSON","Emily Patricia","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","1","40737","MAWSON","Emily Patricia","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","2","41340","ANDREW","Stephen Seymour James","CYA","Trumpet of Patriots","N","Preference Count","259"
"QLD","157","Capricornia","0","ABSENT","0","2","41340","ANDREW","Stephen Seymour James","CYA","Trumpet of Patriots","N","Preference Percent","9.890"
"QLD","157","Capricornia","0","ABSENT","0","2","41340","ANDREW","Stephen Seymour James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","2","41340","ANDREW","Stephen Seymour James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","3","40936","KEMPTON","Cheryl Julie","ON","Pauline Hanson's One Nation","N","Preference Count","456"
"QLD","157","Capricornia","0","ABSENT","0","3","40936","KEMPTON","Cheryl Julie","ON","Pauline Hanson's One Nation","N","Preference Percent","17.400"
"QLD","157","Capricornia","0","ABSENT","0","3","40936","KEMPTON","Cheryl Julie","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","3","40936","KEMPTON","Cheryl Julie","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","4","40858","HISLOP","Kerri Janine","FFPA","Family First Party Australia","N","Preference Count","151"
"QLD","157","Capricornia","0","ABSENT","0","4","40858","HISLOP","Kerri Janine","FFPA","Family First Party Australia","N","Preference Percent","5.760"
"QLD","157","Capricornia","0","ABSENT","0","4","40858","HISLOP","Kerri Janine","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","4","40858","HISLOP","Kerri Janine","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","5","41222","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Preference Count","754"
"QLD","157","Capricornia","0","ABSENT","0","5","41222","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Preference Percent","28.780"
