2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","159","Fadden","0","ABSENT","0","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Preference Count","70"
"QLD","159","Fadden","0","ABSENT","0","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Preference Percent","2.090"
"QLD","159","Fadden","0","ABSENT","0","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","2","40746","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","941"
"QLD","159","Fadden","0","ABSENT","0","2","40746","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","28.110"
"QLD","159","Fadden","0","ABSENT","0","2","40746","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","2","40746","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","3","40943","MUIR","Nick Robert","ON","Pauline Hanson's One Nation","N","Preference Count","298"
"QLD","159","Fadden","0","ABSENT","0","3","40943","MUIR","Nick Robert","ON","Pauline Hanson's One Nation","N","Preference Percent","8.900"
"QLD","159","Fadden","0","ABSENT","0","3","40943","MUIR","Nick Robert","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","3","40943","MUIR","Nick Robert","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","4","41385","O'BRIEN","Nathan Grant","CYA","Trumpet of Patriots","N","Preference Count","199"
"QLD","159","Fadden","0","ABSENT","0","4","41385","O'BRIEN","Nathan Grant","CYA","Trumpet of Patriots","N","Preference Percent","5.940"
"QLD","159","Fadden","0","ABSENT","0","4","41385","O'BRIEN","Nathan Grant","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","4","41385","O'BRIEN","Nathan Grant","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","5","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Count","123"
"QLD","159","Fadden","0","ABSENT","0","5","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Percent","3.670"
"QLD","159","Fadden","0","ABSENT","0","5","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","5","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","6","41276","STIMSON","Andrew John","GRN","Queensland Greens","N","Preference Count","543"
"QLD","159","Fadden","0","ABSENT","0","6","41276","STIMSON","Andrew John","GRN","Queensland Greens","N","Preference Percent","16.220"
"QLD","159","Fadden","0","ABSENT","0","6","41276","STIMSON","Andrew John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","6","41276","STIMSON","Andrew John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","7","40886","MARTIN","Patricia May","FFPA","Family First Party Australia","N","Preference Count","122"
"QLD","159","Fadden","0","ABSENT","0","7","40886","MARTIN","Patricia May","FFPA","Family First Party Australia","N","Preference Percent","3.640"
"QLD","159","Fadden","0","ABSENT","0","7","40886","MARTIN","Patricia May","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","7","40886","MARTIN","Patricia May","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","8","41211","CALDWELL","Cameron Mackenzie","LNP","Liberal National Party of Queensland","Y","Preference Count","888"
"QLD","159","Fadden","0","ABSENT","0","8","41211","CALDWELL","Cameron Mackenzie","LNP","Liberal National Party of Queensland","Y","Preference Percent","26.520"
"QLD","159","Fadden","0","ABSENT","0","8","41211","CALDWELL","Cameron Mackenzie","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","8","41211","CALDWELL","Cameron Mackenzie","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","9","40968","ARMFIELD","John Henry","GRPF","Gerard Rennick People First","N","Preference Count","164"
"QLD","159","Fadden","0","ABSENT","0","9","40968","ARMFIELD","John Henry","GRPF","Gerard Rennick People First","N","Preference Percent","4.900"
"QLD","159","Fadden","0","ABSENT","0","9","40968","ARMFIELD","John Henry","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","9","40968","ARMFIELD","John Henry","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","1","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Preference Count","0"
"QLD","159","Fadden","0","ABSENT","1","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Preference Percent","0.000"
"QLD","159","Fadden","0","ABSENT","1","1","40645","PUKALLUS","Dennis Shane","CEC","Australian Citizens Party","N","Transfer Count","-70"
