2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","160","Fairfax","0","ABSENT","0","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Preference Count","355"
"QLD","160","Fairfax","0","ABSENT","0","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Preference Percent","11.350"
"QLD","160","Fairfax","0","ABSENT","0","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","2","40651","WIIG","Francine Clare","IND","Independent","N","Preference Count","245"
"QLD","160","Fairfax","0","ABSENT","0","2","40651","WIIG","Francine Clare","IND","Independent","N","Preference Percent","7.830"
"QLD","160","Fairfax","0","ABSENT","0","2","40651","WIIG","Francine Clare","IND","Independent","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","2","40651","WIIG","Francine Clare","IND","Independent","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","3","40875","SANDERSON","Rhys Paul","FFPA","Family First Party Australia","N","Preference Count","165"
"QLD","160","Fairfax","0","ABSENT","0","3","40875","SANDERSON","Rhys Paul","FFPA","Family First Party Australia","N","Preference Percent","5.280"
"QLD","160","Fairfax","0","ABSENT","0","3","40875","SANDERSON","Rhys Paul","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","3","40875","SANDERSON","Rhys Paul","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","4","41279","ETHERIDGE","Susan Edith","GRN","Queensland Greens","N","Preference Count","532"
"QLD","160","Fairfax","0","ABSENT","0","4","41279","ETHERIDGE","Susan Edith","GRN","Queensland Greens","N","Preference Percent","17.010"
"QLD","160","Fairfax","0","ABSENT","0","4","41279","ETHERIDGE","Susan Edith","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","4","41279","ETHERIDGE","Susan Edith","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","5","40749","McQUEEN","Naomi Sharyn","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","735"
"QLD","160","Fairfax","0","ABSENT","0","5","40749","McQUEEN","Naomi Sharyn","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","23.500"
"QLD","160","Fairfax","0","ABSENT","0","5","40749","McQUEEN","Naomi Sharyn","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","5","40749","McQUEEN","Naomi Sharyn","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","6","41447","McKEOWN","Paul John","IND","Independent","N","Preference Count","91"
"QLD","160","Fairfax","0","ABSENT","0","6","41447","McKEOWN","Paul John","IND","Independent","N","Preference Percent","2.910"
"QLD","160","Fairfax","0","ABSENT","0","6","41447","McKEOWN","Paul John","IND","Independent","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","6","41447","McKEOWN","Paul John","IND","Independent","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","7","41213","O'BRIEN","Edward Lynam","LNP","Liberal National Party of Queensland","Y","Preference Count","837"
"QLD","160","Fairfax","0","ABSENT","0","7","41213","O'BRIEN","Edward Lynam","LNP","Liberal National Party of Queensland","Y","Preference Percent","26.770"
"QLD","160","Fairfax","0","ABSENT","0","7","41213","O'BRIEN","Edward Lynam","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","7","41213","O'BRIEN","Edward Lynam","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","0","8","41395","RYZY","Gregory Danny","CYA","Trumpet of Patriots","N","Preference Count","167"
"QLD","160","Fairfax","0","ABSENT","0","8","41395","RYZY","Gregory Danny","CYA","Trumpet of Patriots","N","Preference Percent","5.340"
"QLD","160","Fairfax","0","ABSENT","0","8","41395","RYZY","Gregory Danny","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","160","Fairfax","0","ABSENT","0","8","41395","RYZY","Gregory Danny","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","160","Fairfax","0","ABSENT","1","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Preference Count","360"
"QLD","160","Fairfax","0","ABSENT","1","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Preference Percent","11.510"
"QLD","160","Fairfax","0","ABSENT","1","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Transfer Count","5"
"QLD","160","Fairfax","0","ABSENT","1","1","40946","MARSH","Beatrice Josephine","ON","Pauline Hanson's One Nation","N","Transfer Percent","5.490"
"QLD","160","Fairfax","0","ABSENT","1","2","40651","WIIG","Francine Clare","IND","Independent","N","Preference Count","284"
"QLD","160","Fairfax","0","ABSENT","1","2","40651","WIIG","Francine Clare","IND","Independent","N","Preference Percent","9.080"
"QLD","160","Fairfax","0","ABSENT","1","2","40651","WIIG","Francine Clare","IND","Independent","N","Transfer Count","39"
"QLD","160","Fairfax","0","ABSENT","1","2","40651","WIIG","Francine Clare","IND","Independent","N","Transfer Percent","42.860"
