2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","161","Fisher","0","ABSENT","0","1","40706","JONES","Keryn Louise","IND","Independent","N","Preference Count","362"
"QLD","161","Fisher","0","ABSENT","0","1","40706","JONES","Keryn Louise","IND","Independent","N","Preference Percent","11.420"
"QLD","161","Fisher","0","ABSENT","0","1","40706","JONES","Keryn Louise","IND","Independent","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","1","40706","JONES","Keryn Louise","IND","Independent","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","2","41282","WELLS","Renay Amy","GRN","Queensland Greens","N","Preference Count","575"
"QLD","161","Fisher","0","ABSENT","0","2","41282","WELLS","Renay Amy","GRN","Queensland Greens","N","Preference Percent","18.130"
"QLD","161","Fisher","0","ABSENT","0","2","41282","WELLS","Renay Amy","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","2","41282","WELLS","Renay Amy","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","3","41219","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Preference Count","867"
"QLD","161","Fisher","0","ABSENT","0","3","41219","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Preference Percent","27.340"
"QLD","161","Fisher","0","ABSENT","0","3","41219","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","3","41219","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","4","41413","FRICOT","Denis Michel Patrice","CYA","Trumpet of Patriots","N","Preference Count","137"
"QLD","161","Fisher","0","ABSENT","0","4","41413","FRICOT","Denis Michel Patrice","CYA","Trumpet of Patriots","N","Preference Percent","4.320"
"QLD","161","Fisher","0","ABSENT","0","4","41413","FRICOT","Denis Michel Patrice","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","4","41413","FRICOT","Denis Michel Patrice","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","5","40761","LAKEY","Morrison Lawrence Poulton","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","698"
"QLD","161","Fisher","0","ABSENT","0","5","40761","LAKEY","Morrison Lawrence Poulton","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","22.010"
"QLD","161","Fisher","0","ABSENT","0","5","40761","LAKEY","Morrison Lawrence Poulton","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","5","40761","LAKEY","Morrison Lawrence Poulton","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","6","40970","PIDGEON","James","GRPF","Gerard Rennick People First","N","Preference Count","173"
"QLD","161","Fisher","0","ABSENT","0","6","40970","PIDGEON","James","GRPF","Gerard Rennick People First","N","Preference Percent","5.460"
"QLD","161","Fisher","0","ABSENT","0","6","40970","PIDGEON","James","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","6","40970","PIDGEON","James","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","7","40880","BOLITHO","Bronwen Elizabeth","FFPA","Family First Party Australia","N","Preference Count","102"
"QLD","161","Fisher","0","ABSENT","0","7","40880","BOLITHO","Bronwen Elizabeth","FFPA","Family First Party Australia","N","Preference Percent","3.220"
