2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","162","Forde","0","ABSENT","0","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Preference Count","307"
"QLD","162","Forde","0","ABSENT","0","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Preference Percent","7.200"
"QLD","162","Forde","0","ABSENT","0","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Preference Count","905"
"QLD","162","Forde","0","ABSENT","0","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Preference Percent","21.220"
"QLD","162","Forde","0","ABSENT","0","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","3","41234","PETERSEN","Kirsty","GRN","Queensland Greens","N","Preference Count","735"
"QLD","162","Forde","0","ABSENT","0","3","41234","PETERSEN","Kirsty","GRN","Queensland Greens","N","Preference Percent","17.240"
"QLD","162","Forde","0","ABSENT","0","3","41234","PETERSEN","Kirsty","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","3","41234","PETERSEN","Kirsty","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","4","41344","HISCOCK","Jacob James","CYA","Trumpet of Patriots","N","Preference Count","255"
"QLD","162","Forde","0","ABSENT","0","4","41344","HISCOCK","Jacob James","CYA","Trumpet of Patriots","N","Preference Percent","5.980"
"QLD","162","Forde","0","ABSENT","0","4","41344","HISCOCK","Jacob James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","4","41344","HISCOCK","Jacob James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","5","40732","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1379"
"QLD","162","Forde","0","ABSENT","0","5","40732","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","32.340"
"QLD","162","Forde","0","ABSENT","0","5","40732","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","5","40732","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","6","40646","de HOMBRE","Alfonso","CEC","Australian Citizens Party","N","Preference Count","45"
"QLD","162","Forde","0","ABSENT","0","6","40646","de HOMBRE","Alfonso","CEC","Australian Citizens Party","N","Preference Percent","1.060"
"QLD","162","Forde","0","ABSENT","0","6","40646","de HOMBRE","Alfonso","CEC","Australian Citizens Party","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","6","40646","de HOMBRE","Alfonso","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","7","37414","GREAVES","Christopher","IND","Independent","N","Preference Count","154"
"QLD","162","Forde","0","ABSENT","0","7","37414","GREAVES","Christopher","IND","Independent","N","Preference Percent","3.610"
"QLD","162","Forde","0","ABSENT","0","7","37414","GREAVES","Christopher","IND","Independent","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","7","37414","GREAVES","Christopher","IND","Independent","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","8","40937","LAMBERT","Matthew Leonard","ON","Pauline Hanson's One Nation","N","Preference Count","484"
"QLD","162","Forde","0","ABSENT","0","8","40937","LAMBERT","Matthew Leonard","ON","Pauline Hanson's One Nation","N","Preference Percent","11.350"
"QLD","162","Forde","0","ABSENT","0","8","40937","LAMBERT","Matthew Leonard","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","8","40937","LAMBERT","Matthew Leonard","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","1","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Preference Count","319"
"QLD","162","Forde","0","ABSENT","1","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Preference Percent","7.480"
"QLD","162","Forde","0","ABSENT","1","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Transfer Count","12"
"QLD","162","Forde","0","ABSENT","1","1","40891","POP","Corneliu","FFPA","Family First Party Australia","N","Transfer Percent","26.670"
"QLD","162","Forde","0","ABSENT","1","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Preference Count","906"
"QLD","162","Forde","0","ABSENT","1","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Preference Percent","21.250"
"QLD","162","Forde","0","ABSENT","1","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Transfer Count","1"
"QLD","162","Forde","0","ABSENT","1","2","41163","Van MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","N","Transfer Percent","2.220"
"QLD","162","Forde","0","ABSENT","1","3","41234","PETERSEN","Kirsty","GRN","Queensland Greens","N","Preference Count","738"
"QLD","162","Forde","0","ABSENT","1","3","41234","PETERSEN","Kirsty","GRN","Queensland Greens","N","Preference Percent","17.310"
