2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","163","Griffith","0","ABSENT","0","1","41238","CHANDLER-MATHER","Max","GRN","Queensland Greens","N","Preference Count","1552"
"QLD","163","Griffith","0","ABSENT","0","1","41238","CHANDLER-MATHER","Max","GRN","Queensland Greens","N","Preference Percent","33.820"
"QLD","163","Griffith","0","ABSENT","0","1","41238","CHANDLER-MATHER","Max","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","1","41238","CHANDLER-MATHER","Max","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","2","40940","BELL","Lindsay Thomas","ON","Pauline Hanson's One Nation","N","Preference Count","177"
"QLD","163","Griffith","0","ABSENT","0","2","40940","BELL","Lindsay Thomas","ON","Pauline Hanson's One Nation","N","Preference Percent","3.860"
"QLD","163","Griffith","0","ABSENT","0","2","40940","BELL","Lindsay Thomas","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","2","40940","BELL","Lindsay Thomas","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","3","40739","COFFEY","Renee Kay","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1476"
"QLD","163","Griffith","0","ABSENT","0","3","40739","COFFEY","Renee Kay","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","32.160"
"QLD","163","Griffith","0","ABSENT","0","3","40739","COFFEY","Renee Kay","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","3","40739","COFFEY","Renee Kay","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","4","40969","HUNT","Dion John","GRPF","Gerard Rennick People First","N","Preference Count","149"
"QLD","163","Griffith","0","ABSENT","0","4","40969","HUNT","Dion John","GRPF","Gerard Rennick People First","N","Preference Percent","3.250"
"QLD","163","Griffith","0","ABSENT","0","4","40969","HUNT","Dion John","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","4","40969","HUNT","Dion John","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","5","41038","CAMPBELL","Andrea Elizabeth","FFPA","Family First Party Australia","N","Preference Count","75"
