2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","164","Groom","0","ABSENT","0","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Count","282"
"QLD","164","Groom","0","ABSENT","0","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Percent","14.080"
"QLD","164","Groom","0","ABSENT","0","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Preference Count","268"
"QLD","164","Groom","0","ABSENT","0","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Preference Percent","13.380"
"QLD","164","Groom","0","ABSENT","0","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Preference Count","97"
"QLD","164","Groom","0","ABSENT","0","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Preference Percent","4.840"
"QLD","164","Groom","0","ABSENT","0","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Preference Count","216"
"QLD","164","Groom","0","ABSENT","0","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Preference Percent","10.780"
"QLD","164","Groom","0","ABSENT","0","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Preference Count","615"
"QLD","164","Groom","0","ABSENT","0","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Preference Percent","30.700"
"QLD","164","Groom","0","ABSENT","0","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Preference Count","58"
"QLD","164","Groom","0","ABSENT","0","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Preference Percent","2.900"
"QLD","164","Groom","0","ABSENT","0","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Preference Count","88"
"QLD","164","Groom","0","ABSENT","0","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Preference Percent","4.390"
"QLD","164","Groom","0","ABSENT","0","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","379"
"QLD","164","Groom","0","ABSENT","0","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","18.920"
"QLD","164","Groom","0","ABSENT","0","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","1","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Count","290"
"QLD","164","Groom","0","ABSENT","1","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Percent","14.480"
"QLD","164","Groom","0","ABSENT","1","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Count","8"
"QLD","164","Groom","0","ABSENT","1","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Percent","9.090"
"QLD","164","Groom","0","ABSENT","1","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Preference Count","304"
"QLD","164","Groom","0","ABSENT","1","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Preference Percent","15.180"
"QLD","164","Groom","0","ABSENT","1","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Transfer Count","36"
"QLD","164","Groom","0","ABSENT","1","2","40942","KONZ","Rebecca Nicole","ON","Pauline Hanson's One Nation","N","Transfer Percent","40.910"
"QLD","164","Groom","0","ABSENT","1","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Preference Count","104"
"QLD","164","Groom","0","ABSENT","1","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Preference Percent","5.190"
"QLD","164","Groom","0","ABSENT","1","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Transfer Count","7"
"QLD","164","Groom","0","ABSENT","1","3","40896","TODD","Alexandra Joy","FFPA","Family First Party Australia","N","Transfer Percent","7.950"
"QLD","164","Groom","0","ABSENT","1","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Preference Count","221"
"QLD","164","Groom","0","ABSENT","1","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Preference Percent","11.030"
"QLD","164","Groom","0","ABSENT","1","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Transfer Count","5"
"QLD","164","Groom","0","ABSENT","1","4","41242","NELLIGAN","Alyce Johanna","GRN","Queensland Greens","N","Transfer Percent","5.680"
"QLD","164","Groom","0","ABSENT","1","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Preference Count","627"
"QLD","164","Groom","0","ABSENT","1","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.300"
"QLD","164","Groom","0","ABSENT","1","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Transfer Count","12"
"QLD","164","Groom","0","ABSENT","1","5","41173","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Transfer Percent","13.640"
"QLD","164","Groom","0","ABSENT","1","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Preference Count","67"
"QLD","164","Groom","0","ABSENT","1","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Preference Percent","3.340"
"QLD","164","Groom","0","ABSENT","1","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Transfer Count","9"
"QLD","164","Groom","0","ABSENT","1","6","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Transfer Percent","10.230"
"QLD","164","Groom","0","ABSENT","1","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Preference Count","0"
"QLD","164","Groom","0","ABSENT","1","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"QLD","164","Groom","0","ABSENT","1","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Transfer Count","-88"
"QLD","164","Groom","0","ABSENT","1","7","41349","MARR","Jamie","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"QLD","164","Groom","0","ABSENT","1","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","390"
"QLD","164","Groom","0","ABSENT","1","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","19.470"
"QLD","164","Groom","0","ABSENT","1","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","11"
"QLD","164","Groom","0","ABSENT","1","8","40741","EDWARDS","Richard William","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","12.500"
"QLD","164","Groom","0","ABSENT","2","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Count","321"
"QLD","164","Groom","0","ABSENT","2","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Percent","16.030"
"QLD","164","Groom","0","ABSENT","2","1","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Count","31"
