2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","165","Herbert","0","ABSENT","0","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Preference Count","696"
"QLD","165","Herbert","0","ABSENT","0","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Preference Percent","35.770"
"QLD","165","Herbert","0","ABSENT","0","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","2","41354","BREWSTER","Martin David","CYA","Trumpet of Patriots","N","Preference Count","71"
"QLD","165","Herbert","0","ABSENT","0","2","41354","BREWSTER","Martin David","CYA","Trumpet of Patriots","N","Preference Percent","3.650"
"QLD","165","Herbert","0","ABSENT","0","2","41354","BREWSTER","Martin David","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","2","41354","BREWSTER","Martin David","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","3","40973","COLE","Felicity Jane","GRPF","Gerard Rennick People First","N","Preference Count","71"
"QLD","165","Herbert","0","ABSENT","0","3","40973","COLE","Felicity Jane","GRPF","Gerard Rennick People First","N","Preference Percent","3.650"
"QLD","165","Herbert","0","ABSENT","0","3","40973","COLE","Felicity Jane","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","3","40973","COLE","Felicity Jane","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","4","40745","ANDREW","Edwina Louise","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","419"
"QLD","165","Herbert","0","ABSENT","0","4","40745","ANDREW","Edwina Louise","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","21.530"
"QLD","165","Herbert","0","ABSENT","0","4","40745","ANDREW","Edwina Louise","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","4","40745","ANDREW","Edwina Louise","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","5","41245","EVANS","Christopher Mark","GRN","Queensland Greens","N","Preference Count","240"
"QLD","165","Herbert","0","ABSENT","0","5","41245","EVANS","Christopher Mark","GRN","Queensland Greens","N","Preference Percent","12.330"
"QLD","165","Herbert","0","ABSENT","0","5","41245","EVANS","Christopher Mark","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","5","41245","EVANS","Christopher Mark","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","6","40900","ROSER","Felicity Anne","FFPA","Family First Party Australia","N","Preference Count","59"
"QLD","165","Herbert","0","ABSENT","0","6","40900","ROSER","Felicity Anne","FFPA","Family First Party Australia","N","Preference Percent","3.030"
"QLD","165","Herbert","0","ABSENT","0","6","40900","ROSER","Felicity Anne","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","6","40900","ROSER","Felicity Anne","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","7","40945","MacDONALD","Ross Stuart","ON","Pauline Hanson's One Nation","N","Preference Count","171"
"QLD","165","Herbert","0","ABSENT","0","7","40945","MacDONALD","Ross Stuart","ON","Pauline Hanson's One Nation","N","Preference Percent","8.790"
"QLD","165","Herbert","0","ABSENT","0","7","40945","MacDONALD","Ross Stuart","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","7","40945","MacDONALD","Ross Stuart","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","8","42011","CASSON","Darryn David","KAP","Katter's Australian Party (KAP)","N","Preference Count","219"
"QLD","165","Herbert","0","ABSENT","0","8","42011","CASSON","Darryn David","KAP","Katter's Australian Party (KAP)","N","Preference Percent","11.250"
"QLD","165","Herbert","0","ABSENT","0","8","42011","CASSON","Darryn David","KAP","Katter's Australian Party (KAP)","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","8","42011","CASSON","Darryn David","KAP","Katter's Australian Party (KAP)","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","1","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Preference Count","705"
"QLD","165","Herbert","0","ABSENT","1","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Preference Percent","36.230"
"QLD","165","Herbert","0","ABSENT","1","1","41178","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Transfer Count","9"
