2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","166","Hinkler","0","ABSENT","0","1","41249","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Count","219"
"QLD","166","Hinkler","0","ABSENT","0","1","41249","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Percent","12.840"
"QLD","166","Hinkler","0","ABSENT","0","1","41249","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","1","41249","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","2","41182","BATT","David John","LNP","Liberal National Party of Queensland","Y","Preference Count","468"
"QLD","166","Hinkler","0","ABSENT","0","2","41182","BATT","David John","LNP","Liberal National Party of Queensland","Y","Preference Percent","27.430"
"QLD","166","Hinkler","0","ABSENT","0","2","41182","BATT","David John","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","2","41182","BATT","David John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","3","41667","O'BRIEN","Michael Richard","IND","Independent","N","Preference Count","85"
"QLD","166","Hinkler","0","ABSENT","0","3","41667","O'BRIEN","Michael Richard","IND","Independent","N","Preference Percent","4.980"
"QLD","166","Hinkler","0","ABSENT","0","3","41667","O'BRIEN","Michael Richard","IND","Independent","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","3","41667","O'BRIEN","Michael Richard","IND","Independent","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","4","40751","MEARS","Patricia Frances","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","416"
