2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","167","Kennedy","0","ABSENT","0","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Preference Count","483"
"QLD","167","Kennedy","0","ABSENT","0","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Preference Percent","19.620"
"QLD","167","Kennedy","0","ABSENT","0","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","2","40636","CLARE","Steven Joseph","IND","Independent","N","Preference Count","66"
"QLD","167","Kennedy","0","ABSENT","0","2","40636","CLARE","Steven Joseph","IND","Independent","N","Preference Percent","2.680"
"QLD","167","Kennedy","0","ABSENT","0","2","40636","CLARE","Steven Joseph","IND","Independent","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","2","40636","CLARE","Steven Joseph","IND","Independent","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Preference Count","219"
"QLD","167","Kennedy","0","ABSENT","0","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Preference Percent","8.900"
"QLD","167","Kennedy","0","ABSENT","0","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","4","40899","LUSH","Douglas James","FFPA","Family First Party Australia","N","Preference Count","71"
"QLD","167","Kennedy","0","ABSENT","0","4","40899","LUSH","Douglas James","FFPA","Family First Party Australia","N","Preference Percent","2.880"
"QLD","167","Kennedy","0","ABSENT","0","4","40899","LUSH","Douglas James","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","4","40899","LUSH","Douglas James","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","5","40950","HARRIS","Kate Lily","ON","Pauline Hanson's One Nation","N","Preference Count","212"
"QLD","167","Kennedy","0","ABSENT","0","5","40950","HARRIS","Kate Lily","ON","Pauline Hanson's One Nation","N","Preference Percent","8.610"
"QLD","167","Kennedy","0","ABSENT","0","5","40950","HARRIS","Kate Lily","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","5","40950","HARRIS","Kate Lily","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","6","40760","WINN","Sharon Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","467"
"QLD","167","Kennedy","0","ABSENT","0","6","40760","WINN","Sharon Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","18.970"
"QLD","167","Kennedy","0","ABSENT","0","6","40760","WINN","Sharon Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","6","40760","WINN","Sharon Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","7","41364","WESTCOTT","Mark Ellis","CYA","Trumpet of Patriots","N","Preference Count","73"
"QLD","167","Kennedy","0","ABSENT","0","7","41364","WESTCOTT","Mark Ellis","CYA","Trumpet of Patriots","N","Preference Percent","2.970"
"QLD","167","Kennedy","0","ABSENT","0","7","41364","WESTCOTT","Mark Ellis","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","7","41364","WESTCOTT","Mark Ellis","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","8","40650","KATTER","Robert Carl B","KAP","Katter's Australian Party (KAP)","Y","Preference Count","871"
"QLD","167","Kennedy","0","ABSENT","0","8","40650","KATTER","Robert Carl B","KAP","Katter's Australian Party (KAP)","Y","Preference Percent","35.380"
"QLD","167","Kennedy","0","ABSENT","0","8","40650","KATTER","Robert Carl B","KAP","Katter's Australian Party (KAP)","Y","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","8","40650","KATTER","Robert Carl B","KAP","Katter's Australian Party (KAP)","Y","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","1","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Preference Count","492"
"QLD","167","Kennedy","0","ABSENT","1","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Preference Percent","19.980"
"QLD","167","Kennedy","0","ABSENT","1","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Transfer Count","9"
"QLD","167","Kennedy","0","ABSENT","1","1","41184","SWAINE","Annette Denise","LNP","Liberal National Party of Queensland","N","Transfer Percent","13.640"
"QLD","167","Kennedy","0","ABSENT","1","2","40636","CLARE","Steven Joseph","IND","Independent","N","Preference Count","0"
"QLD","167","Kennedy","0","ABSENT","1","2","40636","CLARE","Steven Joseph","IND","Independent","N","Preference Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","1","2","40636","CLARE","Steven Joseph","IND","Independent","N","Transfer Count","-66"
"QLD","167","Kennedy","0","ABSENT","1","2","40636","CLARE","Steven Joseph","IND","Independent","N","Transfer Percent","-100.000"
"QLD","167","Kennedy","0","ABSENT","1","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Preference Count","233"
"QLD","167","Kennedy","0","ABSENT","1","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Preference Percent","9.460"
"QLD","167","Kennedy","0","ABSENT","1","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Transfer Count","14"
"QLD","167","Kennedy","0","ABSENT","1","3","41255","STANFORD","Carole Denise","GRN","Queensland Greens","N","Transfer Percent","21.210"
