2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","302","Longman","0","ABSENT","0","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Preference Count","885"
"QLD","302","Longman","0","ABSENT","0","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Preference Percent","26.970"
"QLD","302","Longman","0","ABSENT","0","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","302","Longman","0","ABSENT","0","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","302","Longman","0","ABSENT","0","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Preference Count","246"
"QLD","302","Longman","0","ABSENT","0","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Preference Percent","7.500"
"QLD","302","Longman","0","ABSENT","0","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","302","Longman","0","ABSENT","0","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","302","Longman","0","ABSENT","0","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","963"
"QLD","302","Longman","0","ABSENT","0","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","29.340"
"QLD","302","Longman","0","ABSENT","0","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","302","Longman","0","ABSENT","0","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","302","Longman","0","ABSENT","0","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Preference Count","236"
"QLD","302","Longman","0","ABSENT","0","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Preference Percent","7.190"
"QLD","302","Longman","0","ABSENT","0","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","302","Longman","0","ABSENT","0","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","302","Longman","0","ABSENT","0","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Preference Count","390"
"QLD","302","Longman","0","ABSENT","0","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Preference Percent","11.880"
"QLD","302","Longman","0","ABSENT","0","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","302","Longman","0","ABSENT","0","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","302","Longman","0","ABSENT","0","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Preference Count","562"
"QLD","302","Longman","0","ABSENT","0","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Preference Percent","17.120"
"QLD","302","Longman","0","ABSENT","0","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","302","Longman","0","ABSENT","0","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","302","Longman","0","ABSENT","1","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Preference Count","928"
"QLD","302","Longman","0","ABSENT","1","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Preference Percent","28.280"
"QLD","302","Longman","0","ABSENT","1","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Transfer Count","43"
"QLD","302","Longman","0","ABSENT","1","1","41194","YOUNG","Terry James","LNP","Liberal National Party of Queensland","Y","Transfer Percent","17.480"
"QLD","302","Longman","0","ABSENT","1","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Preference Count","0"
"QLD","302","Longman","0","ABSENT","1","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"QLD","302","Longman","0","ABSENT","1","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Transfer Count","-246"
"QLD","302","Longman","0","ABSENT","1","2","40910","HEARNE","Malachi Brogden","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"QLD","302","Longman","0","ABSENT","1","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1001"
"QLD","302","Longman","0","ABSENT","1","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","30.500"
"QLD","302","Longman","0","ABSENT","1","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","38"
"QLD","302","Longman","0","ABSENT","1","3","40780","DOUGLAS","Rhiannyn Rosemarie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","15.450"
"QLD","302","Longman","0","ABSENT","1","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Preference Count","274"
"QLD","302","Longman","0","ABSENT","1","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Preference Percent","8.350"
"QLD","302","Longman","0","ABSENT","1","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Transfer Count","38"
"QLD","302","Longman","0","ABSENT","1","4","41382","WOOD","Benjamin","CYA","Trumpet of Patriots","N","Transfer Percent","15.450"
"QLD","302","Longman","0","ABSENT","1","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Preference Count","467"
"QLD","302","Longman","0","ABSENT","1","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Preference Percent","14.230"
"QLD","302","Longman","0","ABSENT","1","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Transfer Count","77"
"QLD","302","Longman","0","ABSENT","1","5","40959","McCASKER","Peter John","ON","Pauline Hanson's One Nation","N","Transfer Percent","31.300"
"QLD","302","Longman","0","ABSENT","1","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Preference Count","612"
"QLD","302","Longman","0","ABSENT","1","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Preference Percent","18.650"
"QLD","302","Longman","0","ABSENT","1","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Transfer Count","50"
"QLD","302","Longman","0","ABSENT","1","6","41263","UNVERZAGT","Gabrielle Louise","GRN","Queensland Greens","N","Transfer Percent","20.330"
