2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","171","McPherson","0","ABSENT","0","1","40680","MURRAY-BARTLETT","Erchana","IND","Independent","N","Preference Count","212"
"QLD","171","McPherson","0","ABSENT","0","1","40680","MURRAY-BARTLETT","Erchana","IND","Independent","N","Preference Percent","9.790"
"QLD","171","McPherson","0","ABSENT","0","1","40680","MURRAY-BARTLETT","Erchana","IND","Independent","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","1","40680","MURRAY-BARTLETT","Erchana","IND","Independent","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","2","41166","REBELLO","Leon Stefan","LNP","Liberal National Party of Queensland","Y","Preference Count","555"
"QLD","171","McPherson","0","ABSENT","0","2","41166","REBELLO","Leon Stefan","LNP","Liberal National Party of Queensland","Y","Preference Percent","25.640"
"QLD","171","McPherson","0","ABSENT","0","2","41166","REBELLO","Leon Stefan","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","2","41166","REBELLO","Leon Stefan","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","3","41885","FAYE","Michelle","IND","Independent","N","Preference Count","30"
"QLD","171","McPherson","0","ABSENT","0","3","41885","FAYE","Michelle","IND","Independent","N","Preference Percent","1.390"
"QLD","171","McPherson","0","ABSENT","0","3","41885","FAYE","Michelle","IND","Independent","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","3","41885","FAYE","Michelle","IND","Independent","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","4","41356","CRESWICK","Maximillian Charles","CYA","Trumpet of Patriots","N","Preference Count","84"
"QLD","171","McPherson","0","ABSENT","0","4","41356","CRESWICK","Maximillian Charles","CYA","Trumpet of Patriots","N","Preference Percent","3.880"
"QLD","171","McPherson","0","ABSENT","0","4","41356","CRESWICK","Maximillian Charles","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","4","41356","CRESWICK","Maximillian Charles","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","5","41526","HORSBURGH","Jennifer Anne","AJP","Animal Justice Party","N","Preference Count","39"
"QLD","171","McPherson","0","ABSENT","0","5","41526","HORSBURGH","Jennifer Anne","AJP","Animal Justice Party","N","Preference Percent","1.800"
"QLD","171","McPherson","0","ABSENT","0","5","41526","HORSBURGH","Jennifer Anne","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","5","41526","HORSBURGH","Jennifer Anne","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","6","41277","KENNEALY","Amanda Jane","GRN","Queensland Greens","N","Preference Count","306"
"QLD","171","McPherson","0","ABSENT","0","6","41277","KENNEALY","Amanda Jane","GRN","Queensland Greens","N","Preference Percent","14.130"
"QLD","171","McPherson","0","ABSENT","0","6","41277","KENNEALY","Amanda Jane","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","6","41277","KENNEALY","Amanda Jane","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","7","40944","ATTIIG","Zyion","ON","Pauline Hanson's One Nation","N","Preference Count","127"
"QLD","171","McPherson","0","ABSENT","0","7","40944","ATTIIG","Zyion","ON","Pauline Hanson's One Nation","N","Preference Percent","5.870"
"QLD","171","McPherson","0","ABSENT","0","7","40944","ATTIIG","Zyion","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","7","40944","ATTIIG","Zyion","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","8","40688","BIGGS","Gary Norman","LTP","Libertarian Party","N","Preference Count","44"
"QLD","171","McPherson","0","ABSENT","0","8","40688","BIGGS","Gary Norman","LTP","Libertarian Party","N","Preference Percent","2.030"
"QLD","171","McPherson","0","ABSENT","0","8","40688","BIGGS","Gary Norman","LTP","Libertarian Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","8","40688","BIGGS","Gary Norman","LTP","Libertarian Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","9","40939","KNIPE","Jeffrey William","HMP","Legalise Cannabis Australia","N","Preference Count","144"
"QLD","171","McPherson","0","ABSENT","0","9","40939","KNIPE","Jeffrey William","HMP","Legalise Cannabis Australia","N","Preference Percent","6.650"
"QLD","171","McPherson","0","ABSENT","0","9","40939","KNIPE","Jeffrey William","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","9","40939","KNIPE","Jeffrey William","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
