2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","175","Petrie","0","ABSENT","0","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Preference Count","255"
"QLD","175","Petrie","0","ABSENT","0","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Preference Percent","6.520"
"QLD","175","Petrie","0","ABSENT","0","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","2","40955","SHIRES","Nicole Mary Alyce","ON","Pauline Hanson's One Nation","N","Preference Count","334"
"QLD","175","Petrie","0","ABSENT","0","2","40955","SHIRES","Nicole Mary Alyce","ON","Pauline Hanson's One Nation","N","Preference Percent","8.540"
"QLD","175","Petrie","0","ABSENT","0","2","40955","SHIRES","Nicole Mary Alyce","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","2","40955","SHIRES","Nicole Mary Alyce","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","3","40801","COMER","Emma Louise","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1292"
"QLD","175","Petrie","0","ABSENT","0","3","40801","COMER","Emma Louise","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","33.040"
"QLD","175","Petrie","0","ABSENT","0","3","40801","COMER","Emma Louise","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","3","40801","COMER","Emma Louise","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","4","41185","HOWARTH","Luke Ronald","LNP","Liberal National Party of Queensland","N","Preference Count","1040"
"QLD","175","Petrie","0","ABSENT","0","4","41185","HOWARTH","Luke Ronald","LNP","Liberal National Party of Queensland","N","Preference Percent","26.590"
"QLD","175","Petrie","0","ABSENT","0","4","41185","HOWARTH","Luke Ronald","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","4","41185","HOWARTH","Luke Ronald","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","5","41288","PAUL","Nikil James","GRN","Queensland Greens","N","Preference Count","793"
"QLD","175","Petrie","0","ABSENT","0","5","41288","PAUL","Nikil James","GRN","Queensland Greens","N","Preference Percent","20.280"
"QLD","175","Petrie","0","ABSENT","0","5","41288","PAUL","Nikil James","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","5","41288","PAUL","Nikil James","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","6","40894","HALL","Sharan Joy","FFPA","Family First Party Australia","N","Preference Count","197"
"QLD","175","Petrie","0","ABSENT","0","6","40894","HALL","Sharan Joy","FFPA","Family First Party Australia","N","Preference Percent","5.040"
"QLD","175","Petrie","0","ABSENT","0","6","40894","HALL","Sharan Joy","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","6","40894","HALL","Sharan Joy","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","1","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Preference Count","289"
"QLD","175","Petrie","0","ABSENT","1","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Preference Percent","7.390"
"QLD","175","Petrie","0","ABSENT","1","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Transfer Count","34"
"QLD","175","Petrie","0","ABSENT","1","1","41403","MENSINK","Ryan","CYA","Trumpet of Patriots","N","Transfer Percent","17.260"
"QLD","175","Petrie","0","ABSENT","1","2","40955","SHIRES","Nicole Mary Alyce","ON","Pauline Hanson's One Nation","N","Preference Count","396"
