2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","177","Ryan","0","ABSENT","0","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Preference Count","70"
"QLD","177","Ryan","0","ABSENT","0","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Preference Percent","1.910"
"QLD","177","Ryan","0","ABSENT","0","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1120"
"QLD","177","Ryan","0","ABSENT","0","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","30.610"
"QLD","177","Ryan","0","ABSENT","0","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","45"
"QLD","177","Ryan","0","ABSENT","0","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.230"
"QLD","177","Ryan","0","ABSENT","0","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Preference Count","1197"
"QLD","177","Ryan","0","ABSENT","0","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Preference Percent","32.710"
"QLD","177","Ryan","0","ABSENT","0","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","5","41192","FORREST","Margaret Jean","LNP","Liberal National Party of Queensland","N","Preference Count","908"
"QLD","177","Ryan","0","ABSENT","0","5","41192","FORREST","Margaret Jean","LNP","Liberal National Party of Queensland","N","Preference Percent","24.820"
"QLD","177","Ryan","0","ABSENT","0","5","41192","FORREST","Margaret Jean","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","5","41192","FORREST","Margaret Jean","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","6","40974","DE LAPP","Nicole Maria","GRPF","Gerard Rennick People First","N","Preference Count","114"
"QLD","177","Ryan","0","ABSENT","0","6","40974","DE LAPP","Nicole Maria","GRPF","Gerard Rennick People First","N","Preference Percent","3.120"
"QLD","177","Ryan","0","ABSENT","0","6","40974","DE LAPP","Nicole Maria","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","6","40974","DE LAPP","Nicole Maria","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","7","41415","HUNT","Ryan","CYA","Trumpet of Patriots","N","Preference Count","93"
"QLD","177","Ryan","0","ABSENT","0","7","41415","HUNT","Ryan","CYA","Trumpet of Patriots","N","Preference Percent","2.540"
"QLD","177","Ryan","0","ABSENT","0","7","41415","HUNT","Ryan","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","7","41415","HUNT","Ryan","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","0","8","40960","ELSOM","Robbie","ON","Pauline Hanson's One Nation","N","Preference Count","112"
"QLD","177","Ryan","0","ABSENT","0","8","40960","ELSOM","Robbie","ON","Pauline Hanson's One Nation","N","Preference Percent","3.060"
"QLD","177","Ryan","0","ABSENT","0","8","40960","ELSOM","Robbie","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","0","8","40960","ELSOM","Robbie","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","1","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Preference Count","76"
"QLD","177","Ryan","0","ABSENT","1","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Preference Percent","2.080"
"QLD","177","Ryan","0","ABSENT","1","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Transfer Count","6"
"QLD","177","Ryan","0","ABSENT","1","1","40905","GALLEHAWK","Donna Maree","FFPA","Family First Party Australia","N","Transfer Percent","13.330"
"QLD","177","Ryan","0","ABSENT","1","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1132"
"QLD","177","Ryan","0","ABSENT","1","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","30.940"
"QLD","177","Ryan","0","ABSENT","1","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","12"
"QLD","177","Ryan","0","ABSENT","1","2","40807","HACK","Rebecca Jane","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","26.670"
"QLD","177","Ryan","0","ABSENT","1","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","0"
"QLD","177","Ryan","0","ABSENT","1","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","0.000"
"QLD","177","Ryan","0","ABSENT","1","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","-45"
"QLD","177","Ryan","0","ABSENT","1","3","40687","MASTERTON","Gina Hope","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","-100.000"
"QLD","177","Ryan","0","ABSENT","1","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Preference Count","1216"
"QLD","177","Ryan","0","ABSENT","1","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Preference Percent","33.230"
"QLD","177","Ryan","0","ABSENT","1","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Transfer Count","19"
"QLD","177","Ryan","0","ABSENT","1","4","41285","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Transfer Percent","42.220"
"QLD","177","Ryan","0","ABSENT","1","5","41192","FORREST","Margaret Jean","LNP","Liberal National Party of Queensland","N","Preference Count","911"
