2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","316","Wright","0","ABSENT","0","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Preference Count","720"
"QLD","316","Wright","0","ABSENT","0","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Preference Percent","14.780"
"QLD","316","Wright","0","ABSENT","0","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Count","772"
"QLD","316","Wright","0","ABSENT","0","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Percent","15.850"
"QLD","316","Wright","0","ABSENT","0","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Preference Count","201"
"QLD","316","Wright","0","ABSENT","0","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Preference Percent","4.130"
"QLD","316","Wright","0","ABSENT","0","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Preference Count","317"
"QLD","316","Wright","0","ABSENT","0","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Preference Percent","6.510"
"QLD","316","Wright","0","ABSENT","0","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Count","1181"
"QLD","316","Wright","0","ABSENT","0","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Percent","24.250"
"QLD","316","Wright","0","ABSENT","0","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","6","40798","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1261"
"QLD","316","Wright","0","ABSENT","0","6","40798","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","25.890"
"QLD","316","Wright","0","ABSENT","0","6","40798","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","6","40798","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","7","41516","SNYMAN","Chloe Leeanne","AJP","Animal Justice Party","N","Preference Count","138"
"QLD","316","Wright","0","ABSENT","0","7","41516","SNYMAN","Chloe Leeanne","AJP","Animal Justice Party","N","Preference Percent","2.830"
"QLD","316","Wright","0","ABSENT","0","7","41516","SNYMAN","Chloe Leeanne","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","7","41516","SNYMAN","Chloe Leeanne","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","8","40976","McGUINESS","Justin Neil","GRPF","Gerard Rennick People First","N","Preference Count","280"
"QLD","316","Wright","0","ABSENT","0","8","40976","McGUINESS","Justin Neil","GRPF","Gerard Rennick People First","N","Preference Percent","5.750"
"QLD","316","Wright","0","ABSENT","0","8","40976","McGUINESS","Justin Neil","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","8","40976","McGUINESS","Justin Neil","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","1","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Preference Count","734"
"QLD","316","Wright","0","ABSENT","1","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Preference Percent","15.070"
"QLD","316","Wright","0","ABSENT","1","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Transfer Count","14"
"QLD","316","Wright","0","ABSENT","1","1","40962","DAVIS","Natalie Eve","ON","Pauline Hanson's One Nation","N","Transfer Percent","10.140"
"QLD","316","Wright","0","ABSENT","1","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Count","807"
"QLD","316","Wright","0","ABSENT","1","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Percent","16.570"
"QLD","316","Wright","0","ABSENT","1","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Count","35"
"QLD","316","Wright","0","ABSENT","1","2","41289","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Percent","25.360"
"QLD","316","Wright","0","ABSENT","1","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Preference Count","234"
"QLD","316","Wright","0","ABSENT","1","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Preference Percent","4.800"
"QLD","316","Wright","0","ABSENT","1","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Transfer Count","33"
"QLD","316","Wright","0","ABSENT","1","3","40915","ROSE","Julie-Anne","FFPA","Family First Party Australia","N","Transfer Percent","23.910"
"QLD","316","Wright","0","ABSENT","1","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Preference Count","320"
"QLD","316","Wright","0","ABSENT","1","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Preference Percent","6.570"
"QLD","316","Wright","0","ABSENT","1","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Transfer Count","3"
"QLD","316","Wright","0","ABSENT","1","4","41433","THOMPSON","Scott William","CYA","Trumpet of Patriots","N","Transfer Percent","2.170"
"QLD","316","Wright","0","ABSENT","1","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Count","1194"
"QLD","316","Wright","0","ABSENT","1","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Percent","24.520"
"QLD","316","Wright","0","ABSENT","1","5","41199","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Count","13"
