2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","179","Adelaide","0","ABSENT","0","1","41809","PENGILLEY","Lionel","AJP","Animal Justice Party","N","Preference Count","210"
"SA","179","Adelaide","0","ABSENT","0","1","41809","PENGILLEY","Lionel","AJP","Animal Justice Party","N","Preference Percent","3.680"
"SA","179","Adelaide","0","ABSENT","0","1","41809","PENGILLEY","Lionel","AJP","Animal Justice Party","N","Transfer Count","0"
"SA","179","Adelaide","0","ABSENT","0","1","41809","PENGILLEY","Lionel","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"SA","179","Adelaide","0","ABSENT","0","2","41210","GEORGANAS","Steven","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","2285"
"SA","179","Adelaide","0","ABSENT","0","2","41210","GEORGANAS","Steven","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","40.080"
"SA","179","Adelaide","0","ABSENT","0","2","41210","GEORGANAS","Steven","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","0"
"SA","179","Adelaide","0","ABSENT","0","2","41210","GEORGANAS","Steven","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","0.000"
"SA","179","Adelaide","0","ABSENT","0","3","41039","MARKS","Stephen Lindsay Gordon","CYA","Trumpet of Patriots","N","Preference Count","217"
"SA","179","Adelaide","0","ABSENT","0","3","41039","MARKS","Stephen Lindsay Gordon","CYA","Trumpet of Patriots","N","Preference Percent","3.810"
"SA","179","Adelaide","0","ABSENT","0","3","41039","MARKS","Stephen Lindsay Gordon","CYA","Trumpet of Patriots","N","Transfer Count","0"
"SA","179","Adelaide","0","ABSENT","0","3","41039","MARKS","Stephen Lindsay Gordon","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"SA","179","Adelaide","0","ABSENT","0","4","41013","MONTI","Matthew Lawrence","GRN","Australian Greens","N","Preference Count","1376"
"SA","179","Adelaide","0","ABSENT","0","4","41013","MONTI","Matthew Lawrence","GRN","Australian Greens","N","Preference Percent","24.140"
"SA","179","Adelaide","0","ABSENT","0","4","41013","MONTI","Matthew Lawrence","GRN","Australian Greens","N","Transfer Count","0"
"SA","179","Adelaide","0","ABSENT","0","4","41013","MONTI","Matthew Lawrence","GRN","Australian Greens","N","Transfer Percent","0.000"
"SA","179","Adelaide","0","ABSENT","0","5","41060","McMILLAN","Matthew Philip","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","75"
"SA","179","Adelaide","0","ABSENT","0","5","41060","McMILLAN","Matthew Philip","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.320"
"SA","179","Adelaide","0","ABSENT","0","5","41060","McMILLAN","Matthew Philip","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"SA","179","Adelaide","0","ABSENT","0","5","41060","McMILLAN","Matthew Philip","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"SA","179","Adelaide","0","ABSENT","0","6","42034","SIZE","Riley Patrick","ON","Pauline Hanson's One Nation","N","Preference Count","272"
"SA","179","Adelaide","0","ABSENT","0","6","42034","SIZE","Riley Patrick","ON","Pauline Hanson's One Nation","N","Preference Percent","4.770"
"SA","179","Adelaide","0","ABSENT","0","6","42034","SIZE","Riley Patrick","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"SA","179","Adelaide","0","ABSENT","0","6","42034","SIZE","Riley Patrick","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
