2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","186","Kingston","0","ABSENT","0","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1648"
"SA","186","Kingston","0","ABSENT","0","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","44.530"
"SA","186","Kingston","0","ABSENT","0","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","0","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Preference Count","273"
"SA","186","Kingston","0","ABSENT","0","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Preference Percent","7.380"
"SA","186","Kingston","0","ABSENT","0","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","0","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Preference Count","742"
"SA","186","Kingston","0","ABSENT","0","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Preference Percent","20.050"
"SA","186","Kingston","0","ABSENT","0","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","0","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","622"
"SA","186","Kingston","0","ABSENT","0","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Preference Percent","16.810"
"SA","186","Kingston","0","ABSENT","0","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","0","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Preference Count","155"
"SA","186","Kingston","0","ABSENT","0","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Preference Percent","4.190"
"SA","186","Kingston","0","ABSENT","0","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","0","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Preference Count","178"
"SA","186","Kingston","0","ABSENT","0","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Preference Percent","4.810"
"SA","186","Kingston","0","ABSENT","0","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","0","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Preference Count","83"
"SA","186","Kingston","0","ABSENT","0","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Preference Percent","2.240"
"SA","186","Kingston","0","ABSENT","0","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Transfer Count","0"
"SA","186","Kingston","0","ABSENT","0","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"SA","186","Kingston","0","ABSENT","1","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1666"
"SA","186","Kingston","0","ABSENT","1","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","45.010"
"SA","186","Kingston","0","ABSENT","1","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","18"
"SA","186","Kingston","0","ABSENT","1","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","21.690"
"SA","186","Kingston","0","ABSENT","1","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Preference Count","279"
"SA","186","Kingston","0","ABSENT","1","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Preference Percent","7.540"
"SA","186","Kingston","0","ABSENT","1","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Transfer Count","6"
"SA","186","Kingston","0","ABSENT","1","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Transfer Percent","7.230"
"SA","186","Kingston","0","ABSENT","1","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Preference Count","777"
"SA","186","Kingston","0","ABSENT","1","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Preference Percent","20.990"
"SA","186","Kingston","0","ABSENT","1","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Transfer Count","35"
"SA","186","Kingston","0","ABSENT","1","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Transfer Percent","42.170"
"SA","186","Kingston","0","ABSENT","1","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","625"
"SA","186","Kingston","0","ABSENT","1","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Preference Percent","16.890"
"SA","186","Kingston","0","ABSENT","1","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Count","3"
"SA","186","Kingston","0","ABSENT","1","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Percent","3.610"
"SA","186","Kingston","0","ABSENT","1","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Preference Count","164"
"SA","186","Kingston","0","ABSENT","1","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Preference Percent","4.430"
"SA","186","Kingston","0","ABSENT","1","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Transfer Count","9"
"SA","186","Kingston","0","ABSENT","1","5","41054","PRICE","Steven John","FFPA","Family First Party Australia","N","Transfer Percent","10.840"
"SA","186","Kingston","0","ABSENT","1","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Preference Count","190"
"SA","186","Kingston","0","ABSENT","1","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Preference Percent","5.130"
"SA","186","Kingston","0","ABSENT","1","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Transfer Count","12"
"SA","186","Kingston","0","ABSENT","1","6","41046","JACKSON","Russell Patrick","CYA","Trumpet of Patriots","N","Transfer Percent","14.460"
"SA","186","Kingston","0","ABSENT","1","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Preference Count","0"
"SA","186","Kingston","0","ABSENT","1","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Preference Percent","0.000"
"SA","186","Kingston","0","ABSENT","1","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Transfer Count","-83"
"SA","186","Kingston","0","ABSENT","1","7","41797","LIU","Bin","AJP","Animal Justice Party","N","Transfer Percent","-100.000"
"SA","186","Kingston","0","ABSENT","2","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1692"
"SA","186","Kingston","0","ABSENT","2","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","45.720"
"SA","186","Kingston","0","ABSENT","2","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","26"
"SA","186","Kingston","0","ABSENT","2","1","41201","RISHWORTH","Amanda Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","15.850"
"SA","186","Kingston","0","ABSENT","2","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Preference Count","321"
"SA","186","Kingston","0","ABSENT","2","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Preference Percent","8.670"
"SA","186","Kingston","0","ABSENT","2","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Transfer Count","42"
"SA","186","Kingston","0","ABSENT","2","2","42042","SKRLJ","Nathan Louis","ON","Pauline Hanson's One Nation","N","Transfer Percent","25.610"
"SA","186","Kingston","0","ABSENT","2","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Preference Count","806"
"SA","186","Kingston","0","ABSENT","2","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Preference Percent","21.780"
"SA","186","Kingston","0","ABSENT","2","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Transfer Count","29"
"SA","186","Kingston","0","ABSENT","2","3","41026","PHOTAKIS","John Alexander","GRN","Australian Greens","N","Transfer Percent","17.680"
"SA","186","Kingston","0","ABSENT","2","4","41030","RISHWORTH","James Philip","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","659"
