2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","325","Spence","0","ABSENT","0","1","41031","SKINNER","Luke Jeremy","GRN","Australian Greens","N","Preference Count","937"
"SA","325","Spence","0","ABSENT","0","1","41031","SKINNER","Luke Jeremy","GRN","Australian Greens","N","Preference Percent","21.580"
"SA","325","Spence","0","ABSENT","0","1","41031","SKINNER","Luke Jeremy","GRN","Australian Greens","N","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","1","41031","SKINNER","Luke Jeremy","GRN","Australian Greens","N","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","2","41040","WILD","Daniel Francis","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","706"
"SA","325","Spence","0","ABSENT","0","2","41040","WILD","Daniel Francis","LP","Liberal Party of Australia (S.A. Division)","N","Preference Percent","16.260"
"SA","325","Spence","0","ABSENT","0","2","41040","WILD","Daniel Francis","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","2","41040","WILD","Daniel Francis","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","3","41817","SMITH","Miranda Joyce","AJP","Animal Justice Party","N","Preference Count","132"
"SA","325","Spence","0","ABSENT","0","3","41817","SMITH","Miranda Joyce","AJP","Animal Justice Party","N","Preference Percent","3.040"
"SA","325","Spence","0","ABSENT","0","3","41817","SMITH","Miranda Joyce","AJP","Animal Justice Party","N","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","3","41817","SMITH","Miranda Joyce","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","4","40652","HANTON","Kym Thomas Scott","IND","Independent","N","Preference Count","121"
"SA","325","Spence","0","ABSENT","0","4","40652","HANTON","Kym Thomas Scott","IND","Independent","N","Preference Percent","2.790"
"SA","325","Spence","0","ABSENT","0","4","40652","HANTON","Kym Thomas Scott","IND","Independent","N","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","4","40652","HANTON","Kym Thomas Scott","IND","Independent","N","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","5","41198","BURNELL","Matthew Paul","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1519"
"SA","325","Spence","0","ABSENT","0","5","41198","BURNELL","Matthew Paul","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","34.990"
"SA","325","Spence","0","ABSENT","0","5","41198","BURNELL","Matthew Paul","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","5","41198","BURNELL","Matthew Paul","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","6","42039","BOTHE","Darryl Craig","ON","Pauline Hanson's One Nation","N","Preference Count","474"
"SA","325","Spence","0","ABSENT","0","6","42039","BOTHE","Darryl Craig","ON","Pauline Hanson's One Nation","N","Preference Percent","10.920"
"SA","325","Spence","0","ABSENT","0","6","42039","BOTHE","Darryl Craig","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","6","42039","BOTHE","Darryl Craig","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","7","41050","MORRELL","Paul Michael","CYA","Trumpet of Patriots","N","Preference Count","211"
"SA","325","Spence","0","ABSENT","0","7","41050","MORRELL","Paul Michael","CYA","Trumpet of Patriots","N","Preference Percent","4.860"
"SA","325","Spence","0","ABSENT","0","7","41050","MORRELL","Paul Michael","CYA","Trumpet of Patriots","N","Transfer Count","0"
"SA","325","Spence","0","ABSENT","0","7","41050","MORRELL","Paul Michael","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"SA","325","Spence","0","ABSENT","0","8","41059","BENNETT","John William","FFPA","Family First Party Australia","N","Preference Count","241"
"SA","325","Spence","0","ABSENT","0","8","41059","BENNETT","John William","FFPA","Family First Party Australia","N","Preference Percent","5.550"
"SA","325","Spence","0","ABSENT","0","8","41059","BENNETT","John William","FFPA","Family First Party Australia","N","Transfer Count","0"
