2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"TAS","192","Bass","0","ABSENT","0","1","41546","TEESDALE","Jessica Ann","ALP","Australian Labor Party (Tasmanian Branch)","Y","Preference Count","536"
"TAS","192","Bass","0","ABSENT","0","1","41546","TEESDALE","Jessica Ann","ALP","Australian Labor Party (Tasmanian Branch)","Y","Preference Percent","34.080"
"TAS","192","Bass","0","ABSENT","0","1","41546","TEESDALE","Jessica Ann","ALP","Australian Labor Party (Tasmanian Branch)","Y","Transfer Count","0"
"TAS","192","Bass","0","ABSENT","0","1","41546","TEESDALE","Jessica Ann","ALP","Australian Labor Party (Tasmanian Branch)","Y","Transfer Percent","0.000"
"TAS","192","Bass","0","ABSENT","0","2","40738","LARNER","Caroline Anne","CEC","Australian Citizens Party","N","Preference Count","15"
"TAS","192","Bass","0","ABSENT","0","2","40738","LARNER","Caroline Anne","CEC","Australian Citizens Party","N","Preference Percent","0.950"
"TAS","192","Bass","0","ABSENT","0","2","40738","LARNER","Caroline Anne","CEC","Australian Citizens Party","N","Transfer Count","0"
"TAS","192","Bass","0","ABSENT","0","2","40738","LARNER","Caroline Anne","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"TAS","192","Bass","0","ABSENT","0","3","40756","ARCHER","Bridget Kathleen","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Count","456"
"TAS","192","Bass","0","ABSENT","0","3","40756","ARCHER","Bridget Kathleen","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Percent","28.990"
"TAS","192","Bass","0","ABSENT","0","3","40756","ARCHER","Bridget Kathleen","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Count","0"
"TAS","192","Bass","0","ABSENT","0","3","40756","ARCHER","Bridget Kathleen","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Percent","0.000"
"TAS","192","Bass","0","ABSENT","0","4","42067","POTTER","Jordan Richard Lawrence","ON","Pauline Hanson's One Nation","N","Preference Count","134"
"TAS","192","Bass","0","ABSENT","0","4","42067","POTTER","Jordan Richard Lawrence","ON","Pauline Hanson's One Nation","N","Preference Percent","8.520"
"TAS","192","Bass","0","ABSENT","0","4","42067","POTTER","Jordan Richard Lawrence","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"TAS","192","Bass","0","ABSENT","0","4","42067","POTTER","Jordan Richard Lawrence","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"TAS","192","Bass","0","ABSENT","0","5","41322","McLENNAN","Charlene Ann","GRN","Australian Greens","N","Preference Count","279"
"TAS","192","Bass","0","ABSENT","0","5","41322","McLENNAN","Charlene Ann","GRN","Australian Greens","N","Preference Percent","17.740"
"TAS","192","Bass","0","ABSENT","0","5","41322","McLENNAN","Charlene Ann","GRN","Australian Greens","N","Transfer Count","0"
"TAS","192","Bass","0","ABSENT","0","5","41322","McLENNAN","Charlene Ann","GRN","Australian Greens","N","Transfer Percent","0.000"
"TAS","192","Bass","0","ABSENT","0","6","36070","RAZAY","George","IND","Independent","N","Preference Count","96"
"TAS","192","Bass","0","ABSENT","0","6","36070","RAZAY","George","IND","Independent","N","Preference Percent","6.100"
"TAS","192","Bass","0","ABSENT","0","6","36070","RAZAY","George","IND","Independent","N","Transfer Count","0"
"TAS","192","Bass","0","ABSENT","0","6","36070","RAZAY","George","IND","Independent","N","Transfer Percent","0.000"
"TAS","192","Bass","0","ABSENT","0","7","42108","BROOMHALL","Raymond John","CYA","Trumpet of Patriots","N","Preference Count","57"
