2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"TAS","195","Franklin","0","ABSENT","0","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Count","468"
"TAS","195","Franklin","0","ABSENT","0","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Percent","18.730"
"TAS","195","Franklin","0","ABSENT","0","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Count","0"
"TAS","195","Franklin","0","ABSENT","0","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Percent","0.000"
"TAS","195","Franklin","0","ABSENT","0","2","40655","GEORGE","Peter Antony","IND","Independent","N","Preference Count","439"
"TAS","195","Franklin","0","ABSENT","0","2","40655","GEORGE","Peter Antony","IND","Independent","N","Preference Percent","17.570"
"TAS","195","Franklin","0","ABSENT","0","2","40655","GEORGE","Peter Antony","IND","Independent","N","Transfer Count","0"
"TAS","195","Franklin","0","ABSENT","0","2","40655","GEORGE","Peter Antony","IND","Independent","N","Transfer Percent","0.000"
"TAS","195","Franklin","0","ABSENT","0","3","40733","BLOMELEY","Brendan Adrian","IND","Independent","N","Preference Count","103"
"TAS","195","Franklin","0","ABSENT","0","3","40733","BLOMELEY","Brendan Adrian","IND","Independent","N","Preference Percent","4.120"
"TAS","195","Franklin","0","ABSENT","0","3","40733","BLOMELEY","Brendan Adrian","IND","Independent","N","Transfer Count","0"
"TAS","195","Franklin","0","ABSENT","0","3","40733","BLOMELEY","Brendan Adrian","IND","Independent","N","Transfer Percent","0.000"
"TAS","195","Franklin","0","ABSENT","0","4","42053","POPESCU","Stefan","ON","Pauline Hanson's One Nation","N","Preference Count","159"
"TAS","195","Franklin","0","ABSENT","0","4","42053","POPESCU","Stefan","ON","Pauline Hanson's One Nation","N","Preference Percent","6.370"
"TAS","195","Franklin","0","ABSENT","0","4","42053","POPESCU","Stefan","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"TAS","195","Franklin","0","ABSENT","0","4","42053","POPESCU","Stefan","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"TAS","195","Franklin","0","ABSENT","0","5","41159","FITZGERALD","Owen Rupert","GRN","Australian Greens","N","Preference Count","421"
"TAS","195","Franklin","0","ABSENT","0","5","41159","FITZGERALD","Owen Rupert","GRN","Australian Greens","N","Preference Percent","16.850"
"TAS","195","Franklin","0","ABSENT","0","5","41159","FITZGERALD","Owen Rupert","GRN","Australian Greens","N","Transfer Count","0"
"TAS","195","Franklin","0","ABSENT","0","5","41159","FITZGERALD","Owen Rupert","GRN","Australian Greens","N","Transfer Percent","0.000"
"TAS","195","Franklin","0","ABSENT","0","6","41533","COLLINS","Julie Maree","ALP","Australian Labor Party (Tasmanian Branch)","Y","Preference Count","908"
"TAS","195","Franklin","0","ABSENT","0","6","41533","COLLINS","Julie Maree","ALP","Australian Labor Party (Tasmanian Branch)","Y","Preference Percent","36.350"
"TAS","195","Franklin","0","ABSENT","0","6","41533","COLLINS","Julie Maree","ALP","Australian Labor Party (Tasmanian Branch)","Y","Transfer Count","0"
"TAS","195","Franklin","0","ABSENT","0","6","41533","COLLINS","Julie Maree","ALP","Australian Labor Party (Tasmanian Branch)","Y","Transfer Percent","0.000"
"TAS","195","Franklin","0","ABSENT","1","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Count","516"
"TAS","195","Franklin","0","ABSENT","1","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Percent","20.660"
"TAS","195","Franklin","0","ABSENT","1","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Count","48"
"TAS","195","Franklin","0","ABSENT","1","1","40776","GARVIN","Joshua Matthew","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Percent","30.190"
"TAS","195","Franklin","0","ABSENT","1","2","40655","GEORGE","Peter Antony","IND","Independent","N","Preference Count","472"
"TAS","195","Franklin","0","ABSENT","1","2","40655","GEORGE","Peter Antony","IND","Independent","N","Preference Percent","18.900"
"TAS","195","Franklin","0","ABSENT","1","2","40655","GEORGE","Peter Antony","IND","Independent","N","Transfer Count","33"
"TAS","195","Franklin","0","ABSENT","1","2","40655","GEORGE","Peter Antony","IND","Independent","N","Transfer Percent","20.750"
