2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","197","Aston","0","ABSENT","0","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","850"
"VIC","197","Aston","0","ABSENT","0","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","27.450"
"VIC","197","Aston","0","ABSENT","0","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1058"
"VIC","197","Aston","0","ABSENT","0","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.170"
"VIC","197","Aston","0","ABSENT","0","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Preference Count","118"
"VIC","197","Aston","0","ABSENT","0","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Preference Percent","3.810"
"VIC","197","Aston","0","ABSENT","0","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Preference Count","71"
"VIC","197","Aston","0","ABSENT","0","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Preference Percent","2.290"
"VIC","197","Aston","0","ABSENT","0","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Preference Count","38"
"VIC","197","Aston","0","ABSENT","0","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Preference Percent","1.230"
"VIC","197","Aston","0","ABSENT","0","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","6","42063","GRONDMAN","Mark David","IND","Independent","N","Preference Count","73"
"VIC","197","Aston","0","ABSENT","0","6","42063","GRONDMAN","Mark David","IND","Independent","N","Preference Percent","2.360"
"VIC","197","Aston","0","ABSENT","0","6","42063","GRONDMAN","Mark David","IND","Independent","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","6","42063","GRONDMAN","Mark David","IND","Independent","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Preference Count","617"
"VIC","197","Aston","0","ABSENT","0","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.930"
"VIC","197","Aston","0","ABSENT","0","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Preference Count","144"
"VIC","197","Aston","0","ABSENT","0","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Preference Percent","4.650"
"VIC","197","Aston","0","ABSENT","0","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Preference Count","127"
"VIC","197","Aston","0","ABSENT","0","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Preference Percent","4.100"
"VIC","197","Aston","0","ABSENT","0","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","1","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","859"
"VIC","197","Aston","0","ABSENT","1","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","27.750"
"VIC","197","Aston","0","ABSENT","1","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","9"
"VIC","197","Aston","0","ABSENT","1","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","23.680"
"VIC","197","Aston","0","ABSENT","1","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1059"
"VIC","197","Aston","0","ABSENT","1","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.210"
"VIC","197","Aston","0","ABSENT","1","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","1"
"VIC","197","Aston","0","ABSENT","1","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","2.630"
"VIC","197","Aston","0","ABSENT","1","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Preference Count","123"
"VIC","197","Aston","0","ABSENT","1","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Preference Percent","3.970"
"VIC","197","Aston","0","ABSENT","1","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Transfer Count","5"
"VIC","197","Aston","0","ABSENT","1","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Transfer Percent","13.160"
"VIC","197","Aston","0","ABSENT","1","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Preference Count","76"
"VIC","197","Aston","0","ABSENT","1","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Preference Percent","2.450"
"VIC","197","Aston","0","ABSENT","1","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Transfer Count","5"
"VIC","197","Aston","0","ABSENT","1","4","41147","WILLIAMS","Andrew Colin","IND","Independent","N","Transfer Percent","13.160"
"VIC","197","Aston","0","ABSENT","1","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Preference Count","0"
"VIC","197","Aston","0","ABSENT","1","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","197","Aston","0","ABSENT","1","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Transfer Count","-38"
"VIC","197","Aston","0","ABSENT","1","5","41307","FAWCETT","David Michael","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"VIC","197","Aston","0","ABSENT","1","6","42063","GRONDMAN","Mark David","IND","Independent","N","Preference Count","76"
"VIC","197","Aston","0","ABSENT","1","6","42063","GRONDMAN","Mark David","IND","Independent","N","Preference Percent","2.450"
"VIC","197","Aston","0","ABSENT","1","6","42063","GRONDMAN","Mark David","IND","Independent","N","Transfer Count","3"
"VIC","197","Aston","0","ABSENT","1","6","42063","GRONDMAN","Mark David","IND","Independent","N","Transfer Percent","7.890"
"VIC","197","Aston","0","ABSENT","1","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Preference Count","621"
"VIC","197","Aston","0","ABSENT","1","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Preference Percent","20.060"
"VIC","197","Aston","0","ABSENT","1","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Transfer Count","4"
"VIC","197","Aston","0","ABSENT","1","7","41080","STEEN","Reuben Asher","GVIC","The Australian Greens - Victoria","N","Transfer Percent","10.530"
"VIC","197","Aston","0","ABSENT","1","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Preference Count","152"
"VIC","197","Aston","0","ABSENT","1","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Preference Percent","4.910"
"VIC","197","Aston","0","ABSENT","1","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Transfer Count","8"
"VIC","197","Aston","0","ABSENT","1","8","41505","De WACHT","John Raymond","ON","Pauline Hanson's One Nation","N","Transfer Percent","21.050"
"VIC","197","Aston","0","ABSENT","1","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Preference Count","130"
"VIC","197","Aston","0","ABSENT","1","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Preference Percent","4.200"
"VIC","197","Aston","0","ABSENT","1","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Transfer Count","3"
"VIC","197","Aston","0","ABSENT","1","9","41355","DESVEAUX","Jacques Steve","CYA","Trumpet of Patriots","N","Transfer Percent","7.890"
"VIC","197","Aston","0","ABSENT","2","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","866"
"VIC","197","Aston","0","ABSENT","2","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","27.970"
"VIC","197","Aston","0","ABSENT","2","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","7"
"VIC","197","Aston","0","ABSENT","2","1","40786","CICCHIELLO","Manny","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","9.210"
"VIC","197","Aston","0","ABSENT","2","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1070"
"VIC","197","Aston","0","ABSENT","2","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.560"
"VIC","197","Aston","0","ABSENT","2","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","11"
"VIC","197","Aston","0","ABSENT","2","2","40809","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","14.470"
"VIC","197","Aston","0","ABSENT","2","3","41529","MANNERS","Craig William","FFPA","Family First Party Australia","N","Preference Count","132"
