2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","200","Bendigo","0","ABSENT","0","1","41569","KEETELAAR","Evelyn Ada","FFPA","Family First Party Australia","N","Preference Count","102"
"VIC","200","Bendigo","0","ABSENT","0","1","41569","KEETELAAR","Evelyn Ada","FFPA","Family First Party Australia","N","Preference Percent","4.660"
"VIC","200","Bendigo","0","ABSENT","0","1","41569","KEETELAAR","Evelyn Ada","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","1","41569","KEETELAAR","Evelyn Ada","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","2","41090","BARNETT-DACEY","Avery","GVIC","The Australian Greens - Victoria","N","Preference Count","360"
"VIC","200","Bendigo","0","ABSENT","0","2","41090","BARNETT-DACEY","Avery","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.460"
"VIC","200","Bendigo","0","ABSENT","0","2","41090","BARNETT-DACEY","Avery","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","2","41090","BARNETT-DACEY","Avery","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","3","41520","FREEMAN","Heather Meridith","ON","Pauline Hanson's One Nation","N","Preference Count","174"
"VIC","200","Bendigo","0","ABSENT","0","3","41520","FREEMAN","Heather Meridith","ON","Pauline Hanson's One Nation","N","Preference Percent","7.960"
"VIC","200","Bendigo","0","ABSENT","0","3","41520","FREEMAN","Heather Meridith","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","3","41520","FREEMAN","Heather Meridith","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","4","40869","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","637"
"VIC","200","Bendigo","0","ABSENT","0","4","40869","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","29.130"
"VIC","200","Bendigo","0","ABSENT","0","4","40869","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","4","40869","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","5","41141","LETHLEAN","Andrew Maurice","NP","National Party of Australia - Victoria","N","Preference Count","366"
"VIC","200","Bendigo","0","ABSENT","0","5","41141","LETHLEAN","Andrew Maurice","NP","National Party of Australia - Victoria","N","Preference Percent","16.740"
"VIC","200","Bendigo","0","ABSENT","0","5","41141","LETHLEAN","Andrew Maurice","NP","National Party of Australia - Victoria","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","5","41141","LETHLEAN","Andrew Maurice","NP","National Party of Australia - Victoria","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","6","41618","BANSEMER","Matthew Joseph","LTP","Libertarian Party","N","Preference Count","24"
"VIC","200","Bendigo","0","ABSENT","0","6","41618","BANSEMER","Matthew Joseph","LTP","Libertarian Party","N","Preference Percent","1.100"
"VIC","200","Bendigo","0","ABSENT","0","6","41618","BANSEMER","Matthew Joseph","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","6","41618","BANSEMER","Matthew Joseph","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","7","41000","TYLER","Rohan Gregory","VNS","Victorian Socialists","N","Preference Count","45"
"VIC","200","Bendigo","0","ABSENT","0","7","41000","TYLER","Rohan Gregory","VNS","Victorian Socialists","N","Preference Percent","2.060"
"VIC","200","Bendigo","0","ABSENT","0","7","41000","TYLER","Rohan Gregory","VNS","Victorian Socialists","N","Transfer Count","0"
