2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","204","Casey","0","ABSENT","0","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Preference Count","194"
"VIC","204","Casey","0","ABSENT","0","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Preference Percent","5.020"
"VIC","204","Casey","0","ABSENT","0","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Preference Count","281"
"VIC","204","Casey","0","ABSENT","0","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Preference Percent","7.270"
"VIC","204","Casey","0","ABSENT","0","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Preference Count","137"
"VIC","204","Casey","0","ABSENT","0","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Preference Percent","3.550"
"VIC","204","Casey","0","ABSENT","0","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Preference Count","125"
"VIC","204","Casey","0","ABSENT","0","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Preference Percent","3.230"
"VIC","204","Casey","0","ABSENT","0","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Count","731"
"VIC","204","Casey","0","ABSENT","0","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Percent","18.920"
"VIC","204","Casey","0","ABSENT","0","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","971"
"VIC","204","Casey","0","ABSENT","0","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","25.130"
"VIC","204","Casey","0","ABSENT","0","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Preference Count","302"
"VIC","204","Casey","0","ABSENT","0","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Preference Percent","7.820"
"VIC","204","Casey","0","ABSENT","0","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","0","8","40757","VIOLI","Aaron Anthony","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","1123"
"VIC","204","Casey","0","ABSENT","0","8","40757","VIOLI","Aaron Anthony","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","29.060"
"VIC","204","Casey","0","ABSENT","0","8","40757","VIOLI","Aaron Anthony","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","204","Casey","0","ABSENT","0","8","40757","VIOLI","Aaron Anthony","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","204","Casey","0","ABSENT","1","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Preference Count","201"
"VIC","204","Casey","0","ABSENT","1","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Preference Percent","5.200"
"VIC","204","Casey","0","ABSENT","1","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Transfer Count","7"
"VIC","204","Casey","0","ABSENT","1","1","41389","COURTIS","Phillip","CYA","Trumpet of Patriots","N","Transfer Percent","5.110"
"VIC","204","Casey","0","ABSENT","1","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Preference Count","287"
"VIC","204","Casey","0","ABSENT","1","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Preference Percent","7.430"
"VIC","204","Casey","0","ABSENT","1","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Transfer Count","6"
"VIC","204","Casey","0","ABSENT","1","2","41507","LIVORI","Ambere Jayne","ON","Pauline Hanson's One Nation","N","Transfer Percent","4.380"
"VIC","204","Casey","0","ABSENT","1","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Preference Count","0"
"VIC","204","Casey","0","ABSENT","1","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Preference Percent","0.000"
"VIC","204","Casey","0","ABSENT","1","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Transfer Count","-137"
"VIC","204","Casey","0","ABSENT","1","3","41319","BOND","Chloe","AJP","Animal Justice Party","N","Transfer Percent","-100.000"
"VIC","204","Casey","0","ABSENT","1","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Preference Count","151"
"VIC","204","Casey","0","ABSENT","1","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Preference Percent","3.910"
"VIC","204","Casey","0","ABSENT","1","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Transfer Count","26"
"VIC","204","Casey","0","ABSENT","1","4","41576","NEBAUER","John Daniel","FFPA","Family First Party Australia","N","Transfer Percent","18.980"
"VIC","204","Casey","0","ABSENT","1","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Count","781"
"VIC","204","Casey","0","ABSENT","1","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Percent","20.210"
"VIC","204","Casey","0","ABSENT","1","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Count","50"
"VIC","204","Casey","0","ABSENT","1","5","41083","BLAIR","Merran Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Percent","36.500"
"VIC","204","Casey","0","ABSENT","1","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","987"
"VIC","204","Casey","0","ABSENT","1","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","25.540"
"VIC","204","Casey","0","ABSENT","1","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","16"
"VIC","204","Casey","0","ABSENT","1","6","40857","OAKLEY","Naomi Maree","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","11.680"
"VIC","204","Casey","0","ABSENT","1","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Preference Count","325"
"VIC","204","Casey","0","ABSENT","1","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Preference Percent","8.410"
"VIC","204","Casey","0","ABSENT","1","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Transfer Count","23"
"VIC","204","Casey","0","ABSENT","1","7","36746","FERRES MILES","Claire Jennifer","IND","Independent","N","Transfer Percent","16.790"
"VIC","204","Casey","0","ABSENT","1","8","40757","VIOLI","Aaron Anthony","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","1132"
"VIC","204","Casey","0","ABSENT","1","8","40757","VIOLI","Aaron Anthony","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","29.300"
