2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","320","Cooper","0","ABSENT","0","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Preference Count","326"
"VIC","320","Cooper","0","ABSENT","0","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Preference Percent","6.460"
"VIC","320","Cooper","0","ABSENT","0","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","320","Cooper","0","ABSENT","0","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","320","Cooper","0","ABSENT","0","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1658"
"VIC","320","Cooper","0","ABSENT","0","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","32.840"
"VIC","320","Cooper","0","ABSENT","0","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","320","Cooper","0","ABSENT","0","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","320","Cooper","0","ABSENT","0","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Preference Count","1629"
"VIC","320","Cooper","0","ABSENT","0","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Preference Percent","32.270"
"VIC","320","Cooper","0","ABSENT","0","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","320","Cooper","0","ABSENT","0","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","320","Cooper","0","ABSENT","0","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","711"
"VIC","320","Cooper","0","ABSENT","0","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","14.080"
"VIC","320","Cooper","0","ABSENT","0","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","320","Cooper","0","ABSENT","0","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","320","Cooper","0","ABSENT","0","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Preference Count","384"
"VIC","320","Cooper","0","ABSENT","0","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Preference Percent","7.610"
"VIC","320","Cooper","0","ABSENT","0","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","320","Cooper","0","ABSENT","0","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","320","Cooper","0","ABSENT","0","6","41206","STOLZENBERG","Donna Lee","HMP","Legalise Cannabis Australia","N","Preference Count","340"
"VIC","320","Cooper","0","ABSENT","0","6","41206","STOLZENBERG","Donna Lee","HMP","Legalise Cannabis Australia","N","Preference Percent","6.740"
"VIC","320","Cooper","0","ABSENT","0","6","41206","STOLZENBERG","Donna Lee","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"VIC","320","Cooper","0","ABSENT","0","6","41206","STOLZENBERG","Donna Lee","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"VIC","320","Cooper","0","ABSENT","1","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Preference Count","374"
"VIC","320","Cooper","0","ABSENT","1","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Preference Percent","7.410"
"VIC","320","Cooper","0","ABSENT","1","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Transfer Count","48"
"VIC","320","Cooper","0","ABSENT","1","1","41564","TURNER","William Tristan","ON","Pauline Hanson's One Nation","N","Transfer Percent","14.120"
"VIC","320","Cooper","0","ABSENT","1","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1739"
"VIC","320","Cooper","0","ABSENT","1","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.450"
"VIC","320","Cooper","0","ABSENT","1","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","81"
"VIC","320","Cooper","0","ABSENT","1","2","40856","KEARNEY","Gerardine Mary","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","23.820"
"VIC","320","Cooper","0","ABSENT","1","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Preference Count","1733"
"VIC","320","Cooper","0","ABSENT","1","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Preference Percent","34.330"
"VIC","320","Cooper","0","ABSENT","1","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Transfer Count","104"
"VIC","320","Cooper","0","ABSENT","1","3","41089","BURNETT","Tara","GVIC","The Australian Greens - Victoria","N","Transfer Percent","30.590"
"VIC","320","Cooper","0","ABSENT","1","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","749"
"VIC","320","Cooper","0","ABSENT","1","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","14.840"
"VIC","320","Cooper","0","ABSENT","1","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","38"
"VIC","320","Cooper","0","ABSENT","1","4","40767","TODHUNTER","Stewart","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","11.180"
"VIC","320","Cooper","0","ABSENT","1","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Preference Count","453"
"VIC","320","Cooper","0","ABSENT","1","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Preference Percent","8.970"
"VIC","320","Cooper","0","ABSENT","1","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Transfer Count","69"
"VIC","320","Cooper","0","ABSENT","1","5","41002","LARKIN","Kathleen Patricia","VNS","Victorian Socialists","N","Transfer Percent","20.290"
"VIC","320","Cooper","0","ABSENT","1","6","41206","STOLZENBERG","Donna Lee","HMP","Legalise Cannabis Australia","N","Preference Count","0"
