2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","208","Corio","0","ABSENT","0","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Preference Count","410"
"VIC","208","Corio","0","ABSENT","0","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","11.030"
"VIC","208","Corio","0","ABSENT","0","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","208","Corio","0","ABSENT","0","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","208","Corio","0","ABSENT","0","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Preference Count","113"
"VIC","208","Corio","0","ABSENT","0","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Preference Percent","3.040"
"VIC","208","Corio","0","ABSENT","0","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Transfer Count","0"
"VIC","208","Corio","0","ABSENT","0","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"VIC","208","Corio","0","ABSENT","0","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Preference Count","127"
"VIC","208","Corio","0","ABSENT","0","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Preference Percent","3.420"
"VIC","208","Corio","0","ABSENT","0","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Transfer Count","0"
"VIC","208","Corio","0","ABSENT","0","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Transfer Percent","0.000"
"VIC","208","Corio","0","ABSENT","0","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Preference Count","949"
"VIC","208","Corio","0","ABSENT","0","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Preference Percent","25.520"
"VIC","208","Corio","0","ABSENT","0","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","208","Corio","0","ABSENT","0","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","208","Corio","0","ABSENT","0","5","40759","BULLER","Darren Arthur","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","825"
"VIC","208","Corio","0","ABSENT","0","5","40759","BULLER","Darren Arthur","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.190"
"VIC","208","Corio","0","ABSENT","0","5","40759","BULLER","Darren Arthur","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","208","Corio","0","ABSENT","0","5","40759","BULLER","Darren Arthur","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","208","Corio","0","ABSENT","0","6","40854","MARLES","Richard Donald","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1294"
"VIC","208","Corio","0","ABSENT","0","6","40854","MARLES","Richard Donald","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.800"
"VIC","208","Corio","0","ABSENT","0","6","40854","MARLES","Richard Donald","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","208","Corio","0","ABSENT","0","6","40854","MARLES","Richard Donald","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","208","Corio","0","ABSENT","1","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Preference Count","424"
"VIC","208","Corio","0","ABSENT","1","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","11.400"
"VIC","208","Corio","0","ABSENT","1","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","14"
"VIC","208","Corio","0","ABSENT","1","1","41515","HELMAN","Adam Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","12.390"
"VIC","208","Corio","0","ABSENT","1","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Preference Count","0"
"VIC","208","Corio","0","ABSENT","1","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Preference Percent","0.000"
"VIC","208","Corio","0","ABSENT","1","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Transfer Count","-113"
"VIC","208","Corio","0","ABSENT","1","2","41251","HATHWAY","Sarah","SAL","Socialist Alliance","N","Transfer Percent","-100.000"
"VIC","208","Corio","0","ABSENT","1","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Preference Count","147"
"VIC","208","Corio","0","ABSENT","1","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Preference Percent","3.950"
"VIC","208","Corio","0","ABSENT","1","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Transfer Count","20"
"VIC","208","Corio","0","ABSENT","1","3","41567","DE LORENZO","John Joseph","IND","Independent","N","Transfer Percent","17.700"
"VIC","208","Corio","0","ABSENT","1","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Preference Count","1018"
"VIC","208","Corio","0","ABSENT","1","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Preference Percent","27.380"
"VIC","208","Corio","0","ABSENT","1","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Transfer Count","69"
"VIC","208","Corio","0","ABSENT","1","4","41142","FLYNN","Emilie Rachel","GVIC","The Australian Greens - Victoria","N","Transfer Percent","61.060"
