2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","209","Deakin","0","ABSENT","0","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1532"
"VIC","209","Deakin","0","ABSENT","0","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.820"
"VIC","209","Deakin","0","ABSENT","0","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1347"
"VIC","209","Deakin","0","ABSENT","0","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","30.610"
"VIC","209","Deakin","0","ABSENT","0","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Preference Count","246"
"VIC","209","Deakin","0","ABSENT","0","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Preference Percent","5.590"
"VIC","209","Deakin","0","ABSENT","0","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Preference Count","187"
"VIC","209","Deakin","0","ABSENT","0","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Preference Percent","4.250"
"VIC","209","Deakin","0","ABSENT","0","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Preference Count","125"
"VIC","209","Deakin","0","ABSENT","0","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Preference Percent","2.840"
"VIC","209","Deakin","0","ABSENT","0","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","777"
"VIC","209","Deakin","0","ABSENT","0","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.660"
"VIC","209","Deakin","0","ABSENT","0","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Preference Count","106"
"VIC","209","Deakin","0","ABSENT","0","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Preference Percent","2.410"
"VIC","209","Deakin","0","ABSENT","0","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","0","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Preference Count","80"
"VIC","209","Deakin","0","ABSENT","0","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Preference Percent","1.820"
"VIC","209","Deakin","0","ABSENT","0","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","0","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","1","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1539"
"VIC","209","Deakin","0","ABSENT","1","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.980"
"VIC","209","Deakin","0","ABSENT","1","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","7"
"VIC","209","Deakin","0","ABSENT","1","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","8.750"
"VIC","209","Deakin","0","ABSENT","1","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1355"
"VIC","209","Deakin","0","ABSENT","1","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","30.800"
"VIC","209","Deakin","0","ABSENT","1","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","8"
"VIC","209","Deakin","0","ABSENT","1","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","10.000"
"VIC","209","Deakin","0","ABSENT","1","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Preference Count","249"
"VIC","209","Deakin","0","ABSENT","1","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Preference Percent","5.660"
"VIC","209","Deakin","0","ABSENT","1","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Transfer Count","3"
"VIC","209","Deakin","0","ABSENT","1","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Transfer Percent","3.750"
"VIC","209","Deakin","0","ABSENT","1","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Preference Count","211"
"VIC","209","Deakin","0","ABSENT","1","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Preference Percent","4.800"
"VIC","209","Deakin","0","ABSENT","1","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Transfer Count","24"
"VIC","209","Deakin","0","ABSENT","1","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Transfer Percent","30.000"
"VIC","209","Deakin","0","ABSENT","1","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Preference Count","139"
"VIC","209","Deakin","0","ABSENT","1","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Preference Percent","3.160"
"VIC","209","Deakin","0","ABSENT","1","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Transfer Count","14"
"VIC","209","Deakin","0","ABSENT","1","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Transfer Percent","17.500"
"VIC","209","Deakin","0","ABSENT","1","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","786"
"VIC","209","Deakin","0","ABSENT","1","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.860"
"VIC","209","Deakin","0","ABSENT","1","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","9"
"VIC","209","Deakin","0","ABSENT","1","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","11.250"
"VIC","209","Deakin","0","ABSENT","1","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Preference Count","121"
"VIC","209","Deakin","0","ABSENT","1","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Preference Percent","2.750"
"VIC","209","Deakin","0","ABSENT","1","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Transfer Count","15"
"VIC","209","Deakin","0","ABSENT","1","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Transfer Percent","18.750"
"VIC","209","Deakin","0","ABSENT","1","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Preference Count","0"
"VIC","209","Deakin","0","ABSENT","1","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","209","Deakin","0","ABSENT","1","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Transfer Count","-80"
"VIC","209","Deakin","0","ABSENT","1","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"VIC","209","Deakin","0","ABSENT","2","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1546"
"VIC","209","Deakin","0","ABSENT","2","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","35.140"
"VIC","209","Deakin","0","ABSENT","2","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","7"
"VIC","209","Deakin","0","ABSENT","2","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","5.790"
"VIC","209","Deakin","0","ABSENT","2","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1377"
"VIC","209","Deakin","0","ABSENT","2","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","31.300"
"VIC","209","Deakin","0","ABSENT","2","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","22"
"VIC","209","Deakin","0","ABSENT","2","2","40795","SUKKAR","Michael","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","18.180"
"VIC","209","Deakin","0","ABSENT","2","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Preference Count","267"
"VIC","209","Deakin","0","ABSENT","2","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Preference Percent","6.070"
"VIC","209","Deakin","0","ABSENT","2","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Transfer Count","18"
"VIC","209","Deakin","0","ABSENT","2","3","40868","NESS","Jessica Helen Jane","IND","Independent","N","Transfer Percent","14.880"
"VIC","209","Deakin","0","ABSENT","2","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Preference Count","253"
"VIC","209","Deakin","0","ABSENT","2","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Preference Percent","5.750"
"VIC","209","Deakin","0","ABSENT","2","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Transfer Count","42"
"VIC","209","Deakin","0","ABSENT","2","4","41512","COOKE","Anne Christine","ON","Pauline Hanson's One Nation","N","Transfer Percent","34.710"
"VIC","209","Deakin","0","ABSENT","2","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Preference Count","155"
"VIC","209","Deakin","0","ABSENT","2","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Preference Percent","3.520"
"VIC","209","Deakin","0","ABSENT","2","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Transfer Count","16"
"VIC","209","Deakin","0","ABSENT","2","5","41547","GRIFFITH-JONES","Richard","FFPA","Family First Party Australia","N","Transfer Percent","13.220"
"VIC","209","Deakin","0","ABSENT","2","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","802"
"VIC","209","Deakin","0","ABSENT","2","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","18.230"
"VIC","209","Deakin","0","ABSENT","2","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","16"
"VIC","209","Deakin","0","ABSENT","2","6","41128","MILLS","Amy Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","13.220"
"VIC","209","Deakin","0","ABSENT","2","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Preference Count","0"
"VIC","209","Deakin","0","ABSENT","2","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"VIC","209","Deakin","0","ABSENT","2","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Transfer Count","-121"
"VIC","209","Deakin","0","ABSENT","2","7","41387","WILDE","Milton","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"VIC","209","Deakin","0","ABSENT","2","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Preference Count","0"
"VIC","209","Deakin","0","ABSENT","2","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","209","Deakin","0","ABSENT","2","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","209","Deakin","0","ABSENT","2","8","41746","VANDERMEER","Will Johannes","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","209","Deakin","0","ABSENT","3","1","40861","GREGG","Matthew John","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1562"
