2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","210","Dunkley","0","ABSENT","0","1","40803","CONROY","Nathan Gerard","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","978"
"VIC","210","Dunkley","0","ABSENT","0","1","40803","CONROY","Nathan Gerard","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","27.830"
"VIC","210","Dunkley","0","ABSENT","0","1","40803","CONROY","Nathan Gerard","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","210","Dunkley","0","ABSENT","0","1","40803","CONROY","Nathan Gerard","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","210","Dunkley","0","ABSENT","0","2","41683","THURLEY","Robert Nelson","IND","Independent","N","Preference Count","106"
"VIC","210","Dunkley","0","ABSENT","0","2","41683","THURLEY","Robert Nelson","IND","Independent","N","Preference Percent","3.020"
"VIC","210","Dunkley","0","ABSENT","0","2","41683","THURLEY","Robert Nelson","IND","Independent","N","Transfer Count","0"
"VIC","210","Dunkley","0","ABSENT","0","2","41683","THURLEY","Robert Nelson","IND","Independent","N","Transfer Percent","0.000"
"VIC","210","Dunkley","0","ABSENT","0","3","41555","DAVIS","Jessica Maree","ON","Pauline Hanson's One Nation","N","Preference Count","275"
"VIC","210","Dunkley","0","ABSENT","0","3","41555","DAVIS","Jessica Maree","ON","Pauline Hanson's One Nation","N","Preference Percent","7.830"
"VIC","210","Dunkley","0","ABSENT","0","3","41555","DAVIS","Jessica Maree","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","210","Dunkley","0","ABSENT","0","3","41555","DAVIS","Jessica Maree","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","210","Dunkley","0","ABSENT","0","4","41560","NICHOLES","Peter Robert","FFPA","Family First Party Australia","N","Preference Count","105"
"VIC","210","Dunkley","0","ABSENT","0","4","41560","NICHOLES","Peter Robert","FFPA","Family First Party Australia","N","Preference Percent","2.990"
"VIC","210","Dunkley","0","ABSENT","0","4","41560","NICHOLES","Peter Robert","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","210","Dunkley","0","ABSENT","0","4","41560","NICHOLES","Peter Robert","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","210","Dunkley","0","ABSENT","0","5","41129","MABER","Matthew John","GVIC","The Australian Greens - Victoria","N","Preference Count","568"
