2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","211","Flinders","0","ABSENT","0","1","41371","SMART","Jason Scott","CYA","Trumpet of Patriots","N","Preference Count","181"
"VIC","211","Flinders","0","ABSENT","0","1","41371","SMART","Jason Scott","CYA","Trumpet of Patriots","N","Preference Percent","5.880"
"VIC","211","Flinders","0","ABSENT","0","1","41371","SMART","Jason Scott","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","211","Flinders","0","ABSENT","0","1","41371","SMART","Jason Scott","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","211","Flinders","0","ABSENT","0","2","40838","SMITH","Benjamin John","IND","Independent","N","Preference Count","432"
"VIC","211","Flinders","0","ABSENT","0","2","40838","SMITH","Benjamin John","IND","Independent","N","Preference Percent","14.040"
"VIC","211","Flinders","0","ABSENT","0","2","40838","SMITH","Benjamin John","IND","Independent","N","Transfer Count","0"
"VIC","211","Flinders","0","ABSENT","0","2","40838","SMITH","Benjamin John","IND","Independent","N","Transfer Percent","0.000"
"VIC","211","Flinders","0","ABSENT","0","3","40748","McKENZIE","Zoe Anne","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","1033"
"VIC","211","Flinders","0","ABSENT","0","3","40748","McKENZIE","Zoe Anne","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","33.570"
"VIC","211","Flinders","0","ABSENT","0","3","40748","McKENZIE","Zoe Anne","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","211","Flinders","0","ABSENT","0","3","40748","McKENZIE","Zoe Anne","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","211","Flinders","0","ABSENT","0","4","41509","BROWN","Michael Charles","ON","Pauline Hanson's One Nation","N","Preference Count","196"
