2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","321","Fraser","0","ABSENT","0","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Preference Count","289"
"VIC","321","Fraser","0","ABSENT","0","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Preference Percent","6.730"
"VIC","321","Fraser","0","ABSENT","0","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","0","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","321","Fraser","0","ABSENT","0","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Preference Count","1257"
"VIC","321","Fraser","0","ABSENT","0","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Preference Percent","29.290"
"VIC","321","Fraser","0","ABSENT","0","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","0","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","321","Fraser","0","ABSENT","0","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Preference Count","268"
"VIC","321","Fraser","0","ABSENT","0","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Preference Percent","6.240"
"VIC","321","Fraser","0","ABSENT","0","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","0","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","321","Fraser","0","ABSENT","0","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","685"
"VIC","321","Fraser","0","ABSENT","0","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","15.960"
"VIC","321","Fraser","0","ABSENT","0","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","0","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","321","Fraser","0","ABSENT","0","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Preference Count","239"
"VIC","321","Fraser","0","ABSENT","0","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Preference Percent","5.570"
"VIC","321","Fraser","0","ABSENT","0","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","0","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","321","Fraser","0","ABSENT","0","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1554"
"VIC","321","Fraser","0","ABSENT","0","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","36.210"
"VIC","321","Fraser","0","ABSENT","0","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","0","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","321","Fraser","0","ABSENT","1","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Preference Count","0"
"VIC","321","Fraser","0","ABSENT","1","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"VIC","321","Fraser","0","ABSENT","1","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Transfer Count","-289"
"VIC","321","Fraser","0","ABSENT","1","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"VIC","321","Fraser","0","ABSENT","1","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Preference Count","1363"
"VIC","321","Fraser","0","ABSENT","1","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Preference Percent","31.760"
"VIC","321","Fraser","0","ABSENT","1","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Transfer Count","106"
"VIC","321","Fraser","0","ABSENT","1","2","41133","TRUONG","Thi Viet Huong","GVIC","The Australian Greens - Victoria","N","Transfer Percent","36.680"
"VIC","321","Fraser","0","ABSENT","1","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Preference Count","340"
"VIC","321","Fraser","0","ABSENT","1","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Preference Percent","7.920"
"VIC","321","Fraser","0","ABSENT","1","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Transfer Count","72"
"VIC","321","Fraser","0","ABSENT","1","3","41517","ROZARIO","George D","ON","Pauline Hanson's One Nation","N","Transfer Percent","24.910"
"VIC","321","Fraser","0","ABSENT","1","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","723"
"VIC","321","Fraser","0","ABSENT","1","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","16.850"
"VIC","321","Fraser","0","ABSENT","1","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","38"
"VIC","321","Fraser","0","ABSENT","1","4","40783","PATEL","Satishkumar Ambalal","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","13.150"
"VIC","321","Fraser","0","ABSENT","1","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Preference Count","271"
"VIC","321","Fraser","0","ABSENT","1","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Preference Percent","6.310"
"VIC","321","Fraser","0","ABSENT","1","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Transfer Count","32"
"VIC","321","Fraser","0","ABSENT","1","5","41004","DUFF","Jasmine Dugdale","VNS","Victorian Socialists","N","Transfer Percent","11.070"
"VIC","321","Fraser","0","ABSENT","1","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1595"
"VIC","321","Fraser","0","ABSENT","1","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.160"
"VIC","321","Fraser","0","ABSENT","1","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","41"
"VIC","321","Fraser","0","ABSENT","1","6","40859","MULINO","Daniel","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","14.190"
"VIC","321","Fraser","0","ABSENT","2","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Preference Count","0"
"VIC","321","Fraser","0","ABSENT","2","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"VIC","321","Fraser","0","ABSENT","2","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","321","Fraser","0","ABSENT","2","1","41562","RANCIE","Robert Clyde","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
