2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","326","Hawke","0","ABSENT","0","1","41600","MILUTINOVIC","Melanie Joy","FFPA","Family First Party Australia","N","Preference Count","214"
"VIC","326","Hawke","0","ABSENT","0","1","41600","MILUTINOVIC","Melanie Joy","FFPA","Family First Party Australia","N","Preference Percent","6.890"
"VIC","326","Hawke","0","ABSENT","0","1","41600","MILUTINOVIC","Melanie Joy","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","326","Hawke","0","ABSENT","0","1","41600","MILUTINOVIC","Melanie Joy","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","326","Hawke","0","ABSENT","0","2","41240","STARBUCK","Devon Charles","HMP","Legalise Cannabis Australia","N","Preference Count","318"
"VIC","326","Hawke","0","ABSENT","0","2","41240","STARBUCK","Devon Charles","HMP","Legalise Cannabis Australia","N","Preference Percent","10.240"
"VIC","326","Hawke","0","ABSENT","0","2","41240","STARBUCK","Devon Charles","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"VIC","326","Hawke","0","ABSENT","0","2","41240","STARBUCK","Devon Charles","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"VIC","326","Hawke","0","ABSENT","0","3","41101","NEWMAN","Sarah Jane","GVIC","The Australian Greens - Victoria","N","Preference Count","431"
"VIC","326","Hawke","0","ABSENT","0","3","41101","NEWMAN","Sarah Jane","GVIC","The Australian Greens - Victoria","N","Preference Percent","13.880"
"VIC","326","Hawke","0","ABSENT","0","3","41101","NEWMAN","Sarah Jane","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","326","Hawke","0","ABSENT","0","3","41101","NEWMAN","Sarah Jane","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","326","Hawke","0","ABSENT","0","4","41320","ADIN-JAMES","Fiona","AJP","Animal Justice Party","N","Preference Count","62"
"VIC","326","Hawke","0","ABSENT","0","4","41320","ADIN-JAMES","Fiona","AJP","Animal Justice Party","N","Preference Percent","2.000"
