2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","216","Holt","0","ABSENT","0","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Preference Count","336"
"VIC","216","Holt","0","ABSENT","0","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Preference Percent","8.070"
"VIC","216","Holt","0","ABSENT","0","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","216","Holt","0","ABSENT","0","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","216","Holt","0","ABSENT","0","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Preference Count","610"
"VIC","216","Holt","0","ABSENT","0","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Preference Percent","14.640"
"VIC","216","Holt","0","ABSENT","0","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","216","Holt","0","ABSENT","0","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","216","Holt","0","ABSENT","0","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Preference Count","399"
"VIC","216","Holt","0","ABSENT","0","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Preference Percent","9.580"
"VIC","216","Holt","0","ABSENT","0","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","216","Holt","0","ABSENT","0","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","216","Holt","0","ABSENT","0","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Preference Count","357"
"VIC","216","Holt","0","ABSENT","0","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Preference Percent","8.570"
"VIC","216","Holt","0","ABSENT","0","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"VIC","216","Holt","0","ABSENT","0","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"VIC","216","Holt","0","ABSENT","0","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1572"
"VIC","216","Holt","0","ABSENT","0","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.730"
"VIC","216","Holt","0","ABSENT","0","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","216","Holt","0","ABSENT","0","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","216","Holt","0","ABSENT","0","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","892"
"VIC","216","Holt","0","ABSENT","0","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","21.410"
"VIC","216","Holt","0","ABSENT","0","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","216","Holt","0","ABSENT","0","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","216","Holt","0","ABSENT","1","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Preference Count","421"
"VIC","216","Holt","0","ABSENT","1","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Preference Percent","10.110"
"VIC","216","Holt","0","ABSENT","1","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Transfer Count","85"
"VIC","216","Holt","0","ABSENT","1","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Transfer Percent","23.810"
"VIC","216","Holt","0","ABSENT","1","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Preference Count","700"
"VIC","216","Holt","0","ABSENT","1","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.800"
"VIC","216","Holt","0","ABSENT","1","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Transfer Count","90"
"VIC","216","Holt","0","ABSENT","1","2","41111","TIWARI","Payal","GVIC","The Australian Greens - Victoria","N","Transfer Percent","25.210"
"VIC","216","Holt","0","ABSENT","1","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Preference Count","458"
"VIC","216","Holt","0","ABSENT","1","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Preference Percent","10.990"
"VIC","216","Holt","0","ABSENT","1","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Transfer Count","59"
"VIC","216","Holt","0","ABSENT","1","3","41624","HAMMOND","Trevor Ian","ON","Pauline Hanson's One Nation","N","Transfer Percent","16.530"
"VIC","216","Holt","0","ABSENT","1","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"VIC","216","Holt","0","ABSENT","1","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
"VIC","216","Holt","0","ABSENT","1","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Transfer Count","-357"
"VIC","216","Holt","0","ABSENT","1","4","41221","AICKIN","Riley Jordon","HMP","Legalise Cannabis Australia","N","Transfer Percent","-100.000"
"VIC","216","Holt","0","ABSENT","1","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1658"
"VIC","216","Holt","0","ABSENT","1","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","39.800"
"VIC","216","Holt","0","ABSENT","1","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","86"
"VIC","216","Holt","0","ABSENT","1","5","40850","FERNANDO","Cassandra Juanita","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","24.090"
"VIC","216","Holt","0","ABSENT","1","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","929"
"VIC","216","Holt","0","ABSENT","1","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.300"
"VIC","216","Holt","0","ABSENT","1","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","37"
"VIC","216","Holt","0","ABSENT","1","6","40855","SAMUEL","Annette Maria","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","10.360"
"VIC","216","Holt","0","ABSENT","2","1","41574","FOREMAN","Shane Ronald","FFPA","Family First Party Australia","N","Preference Count","0"
