2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","219","Isaacs","0","ABSENT","0","1","40811","DREYFUS","Mark Alfred","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1853"
"VIC","219","Isaacs","0","ABSENT","0","1","40811","DREYFUS","Mark Alfred","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","43.710"
"VIC","219","Isaacs","0","ABSENT","0","1","40811","DREYFUS","Mark Alfred","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","219","Isaacs","0","ABSENT","0","1","40811","DREYFUS","Mark Alfred","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","219","Isaacs","0","ABSENT","0","2","41127","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Preference Count","836"
"VIC","219","Isaacs","0","ABSENT","0","2","41127","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.720"
"VIC","219","Isaacs","0","ABSENT","0","2","41127","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","219","Isaacs","0","ABSENT","0","2","41127","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","219","Isaacs","0","ABSENT","0","3","41543","HARMSE","Audrey","FFPA","Family First Party Australia","N","Preference Count","222"
"VIC","219","Isaacs","0","ABSENT","0","3","41543","HARMSE","Audrey","FFPA","Family First Party Australia","N","Preference Percent","5.240"
"VIC","219","Isaacs","0","ABSENT","0","3","41543","HARMSE","Audrey","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","219","Isaacs","0","ABSENT","0","3","41543","HARMSE","Audrey","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","219","Isaacs","0","ABSENT","0","4","40753","OTTEY","Fiona Inger","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1037"
"VIC","219","Isaacs","0","ABSENT","0","4","40753","OTTEY","Fiona Inger","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","24.460"
"VIC","219","Isaacs","0","ABSENT","0","4","40753","OTTEY","Fiona Inger","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","219","Isaacs","0","ABSENT","0","4","40753","OTTEY","Fiona Inger","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","219","Isaacs","0","ABSENT","0","5","41619","McMAHON","Geoffrey Bernard","ON","Pauline Hanson's One Nation","N","Preference Count","291"
"VIC","219","Isaacs","0","ABSENT","0","5","41619","McMAHON","Geoffrey Bernard","ON","Pauline Hanson's One Nation","N","Preference Percent","6.860"
"VIC","219","Isaacs","0","ABSENT","0","5","41619","McMAHON","Geoffrey Bernard","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","219","Isaacs","0","ABSENT","0","5","41619","McMAHON","Geoffrey Bernard","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","219","Isaacs","0","ABSENT","1","1","40811","DREYFUS","Mark Alfred","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1898"
"VIC","219","Isaacs","0","ABSENT","1","1","40811","DREYFUS","Mark Alfred","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","44.770"
