2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","220","Jagajaga","0","ABSENT","0","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Preference Count","107"
"VIC","220","Jagajaga","0","ABSENT","0","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Preference Percent","2.470"
"VIC","220","Jagajaga","0","ABSENT","0","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","0","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Preference Count","158"
"VIC","220","Jagajaga","0","ABSENT","0","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Preference Percent","3.640"
"VIC","220","Jagajaga","0","ABSENT","0","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","0","3","40764","PARR","Chris Robert","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1091"
"VIC","220","Jagajaga","0","ABSENT","0","3","40764","PARR","Chris Robert","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","25.150"
"VIC","220","Jagajaga","0","ABSENT","0","3","40764","PARR","Chris Robert","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","3","40764","PARR","Chris Robert","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","0","4","41095","SANDFORD","Jy Thomas","GVIC","The Australian Greens - Victoria","N","Preference Count","1014"
"VIC","220","Jagajaga","0","ABSENT","0","4","41095","SANDFORD","Jy Thomas","GVIC","The Australian Greens - Victoria","N","Preference Percent","23.370"
"VIC","220","Jagajaga","0","ABSENT","0","4","41095","SANDFORD","Jy Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","4","41095","SANDFORD","Jy Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","0","5","41542","KEARNEY","Christopher","IND","Independent","N","Preference Count","187"
"VIC","220","Jagajaga","0","ABSENT","0","5","41542","KEARNEY","Christopher","IND","Independent","N","Preference Percent","4.310"
"VIC","220","Jagajaga","0","ABSENT","0","5","41542","KEARNEY","Christopher","IND","Independent","N","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","5","41542","KEARNEY","Christopher","IND","Independent","N","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","0","6","41617","RALPH","Leslie Charles","ON","Pauline Hanson's One Nation","N","Preference Count","247"
"VIC","220","Jagajaga","0","ABSENT","0","6","41617","RALPH","Leslie Charles","ON","Pauline Hanson's One Nation","N","Preference Percent","5.690"
"VIC","220","Jagajaga","0","ABSENT","0","6","41617","RALPH","Leslie Charles","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","6","41617","RALPH","Leslie Charles","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","0","7","40833","THWAITES","Kate Lynne","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1534"
"VIC","220","Jagajaga","0","ABSENT","0","7","40833","THWAITES","Kate Lynne","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","35.360"
"VIC","220","Jagajaga","0","ABSENT","0","7","40833","THWAITES","Kate Lynne","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","220","Jagajaga","0","ABSENT","0","7","40833","THWAITES","Kate Lynne","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","1","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Preference Count","0"
"VIC","220","Jagajaga","0","ABSENT","1","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Preference Percent","0.000"
"VIC","220","Jagajaga","0","ABSENT","1","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Transfer Count","-107"
"VIC","220","Jagajaga","0","ABSENT","1","1","42080","MOHAMED","Abdirizak","IND","Independent","N","Transfer Percent","-100.000"
"VIC","220","Jagajaga","0","ABSENT","1","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Preference Count","195"
"VIC","220","Jagajaga","0","ABSENT","1","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Preference Percent","4.500"
"VIC","220","Jagajaga","0","ABSENT","1","2","41536","RANCIE","Raelene Anne","FFPA","Family First Party Australia","N","Transfer Count","37"
