2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","228","Melbourne","0","ABSENT","0","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Preference Count","257"
"VIC","228","Melbourne","0","ABSENT","0","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Preference Percent","3.530"
"VIC","228","Melbourne","0","ABSENT","0","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","0","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","2137"
"VIC","228","Melbourne","0","ABSENT","0","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","29.350"
"VIC","228","Melbourne","0","ABSENT","0","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","0","3","42101","SMITH","Timothy Peter","IND","Independent","N","Preference Count","135"
"VIC","228","Melbourne","0","ABSENT","0","3","42101","SMITH","Timothy Peter","IND","Independent","N","Preference Percent","1.850"
"VIC","228","Melbourne","0","ABSENT","0","3","42101","SMITH","Timothy Peter","IND","Independent","N","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","3","42101","SMITH","Timothy Peter","IND","Independent","N","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","0","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Preference Count","270"
"VIC","228","Melbourne","0","ABSENT","0","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Preference Percent","3.710"
"VIC","228","Melbourne","0","ABSENT","0","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","0","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Preference Count","2869"
"VIC","228","Melbourne","0","ABSENT","0","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Preference Percent","39.400"
"VIC","228","Melbourne","0","ABSENT","0","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","0","6","41381","HUANG","Helen Zhi Fang","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","137"
"VIC","228","Melbourne","0","ABSENT","0","6","41381","HUANG","Helen Zhi Fang","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.880"
"VIC","228","Melbourne","0","ABSENT","0","6","41381","HUANG","Helen Zhi Fang","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","6","41381","HUANG","Helen Zhi Fang","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","0","7","40765","HUNT","Stephanie","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1476"
"VIC","228","Melbourne","0","ABSENT","0","7","40765","HUNT","Stephanie","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","20.270"
"VIC","228","Melbourne","0","ABSENT","0","7","40765","HUNT","Stephanie","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","228","Melbourne","0","ABSENT","0","7","40765","HUNT","Stephanie","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","1","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Preference Count","267"
"VIC","228","Melbourne","0","ABSENT","1","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Preference Percent","3.670"
"VIC","228","Melbourne","0","ABSENT","1","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Transfer Count","10"
"VIC","228","Melbourne","0","ABSENT","1","1","41607","CASEY","Melanie","ON","Pauline Hanson's One Nation","N","Transfer Percent","7.410"
"VIC","228","Melbourne","0","ABSENT","1","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","2155"
"VIC","228","Melbourne","0","ABSENT","1","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","29.600"
"VIC","228","Melbourne","0","ABSENT","1","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","18"
"VIC","228","Melbourne","0","ABSENT","1","2","40817","WITTY","Sarah Jane","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","13.330"
"VIC","228","Melbourne","0","ABSENT","1","3","42101","SMITH","Timothy Peter","IND","Independent","N","Preference Count","0"
"VIC","228","Melbourne","0","ABSENT","1","3","42101","SMITH","Timothy Peter","IND","Independent","N","Preference Percent","0.000"
"VIC","228","Melbourne","0","ABSENT","1","3","42101","SMITH","Timothy Peter","IND","Independent","N","Transfer Count","-135"
"VIC","228","Melbourne","0","ABSENT","1","3","42101","SMITH","Timothy Peter","IND","Independent","N","Transfer Percent","-100.000"
"VIC","228","Melbourne","0","ABSENT","1","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Preference Count","341"
"VIC","228","Melbourne","0","ABSENT","1","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Preference Percent","4.680"
"VIC","228","Melbourne","0","ABSENT","1","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Transfer Count","71"
"VIC","228","Melbourne","0","ABSENT","1","4","42099","KOUTOUFIDES","Anthony","IND","Independent","N","Transfer Percent","52.590"
"VIC","228","Melbourne","0","ABSENT","1","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Preference Count","2887"
"VIC","228","Melbourne","0","ABSENT","1","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Preference Percent","39.650"
"VIC","228","Melbourne","0","ABSENT","1","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Transfer Count","18"
"VIC","228","Melbourne","0","ABSENT","1","5","41119","BANDT","Adam Paul","GVIC","The Australian Greens - Victoria","N","Transfer Percent","13.330"
"VIC","228","Melbourne","0","ABSENT","1","6","41381","HUANG","Helen Zhi Fang","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","145"
