2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","229","Menzies","0","ABSENT","0","1","41438","PALIOURAS","Amanda","CYA","Trumpet of Patriots","N","Preference Count","168"
"VIC","229","Menzies","0","ABSENT","0","1","41438","PALIOURAS","Amanda","CYA","Trumpet of Patriots","N","Preference Percent","4.070"
"VIC","229","Menzies","0","ABSENT","0","1","41438","PALIOURAS","Amanda","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","229","Menzies","0","ABSENT","0","1","41438","PALIOURAS","Amanda","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","229","Menzies","0","ABSENT","0","2","41123","PHEASANT","William Peter Douglas","GVIC","The Australian Greens - Victoria","N","Preference Count","767"
"VIC","229","Menzies","0","ABSENT","0","2","41123","PHEASANT","William Peter Douglas","GVIC","The Australian Greens - Victoria","N","Preference Percent","18.600"
"VIC","229","Menzies","0","ABSENT","0","2","41123","PHEASANT","William Peter Douglas","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","229","Menzies","0","ABSENT","0","2","41123","PHEASANT","William Peter Douglas","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","229","Menzies","0","ABSENT","0","3","40778","WOLAHAN","Keith","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1285"
"VIC","229","Menzies","0","ABSENT","0","3","40778","WOLAHAN","Keith","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","31.170"
"VIC","229","Menzies","0","ABSENT","0","3","40778","WOLAHAN","Keith","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","229","Menzies","0","ABSENT","0","3","40778","WOLAHAN","Keith","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
