2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","323","Monash","0","ABSENT","0","1","41598","ROBINSON","Kuljeet Kaur","ON","Pauline Hanson's One Nation","N","Preference Count","254"
"VIC","323","Monash","0","ABSENT","0","1","41598","ROBINSON","Kuljeet Kaur","ON","Pauline Hanson's One Nation","N","Preference Percent","9.940"
"VIC","323","Monash","0","ABSENT","0","1","41598","ROBINSON","Kuljeet Kaur","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","1","41598","ROBINSON","Kuljeet Kaur","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","2","40818","FLETCHER","Tully William Reginald","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","584"
"VIC","323","Monash","0","ABSENT","0","2","40818","FLETCHER","Tully William Reginald","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","22.850"
"VIC","323","Monash","0","ABSENT","0","2","40818","FLETCHER","Tully William Reginald","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","2","40818","FLETCHER","Tully William Reginald","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","3","36737","BROADBENT","Russell Evan","IND","Independent","N","Preference Count","199"
"VIC","323","Monash","0","ABSENT","0","3","36737","BROADBENT","Russell Evan","IND","Independent","N","Preference Percent","7.790"
"VIC","323","Monash","0","ABSENT","0","3","36737","BROADBENT","Russell Evan","IND","Independent","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","3","36737","BROADBENT","Russell Evan","IND","Independent","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","4","40769","ALDRED","Mary Rose","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","514"
"VIC","323","Monash","0","ABSENT","0","4","40769","ALDRED","Mary Rose","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","20.110"
"VIC","323","Monash","0","ABSENT","0","4","40769","ALDRED","Mary Rose","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","4","40769","ALDRED","Mary Rose","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","5","36065","LEONARD","Deborah Louise","IND","Independent","N","Preference Count","317"
"VIC","323","Monash","0","ABSENT","0","5","36065","LEONARD","Deborah Louise","IND","Independent","N","Preference Percent","12.400"
"VIC","323","Monash","0","ABSENT","0","5","36065","LEONARD","Deborah Louise","IND","Independent","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","5","36065","LEONARD","Deborah Louise","IND","Independent","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","6","41534","DETHLEFS","Geoffrey William John","FFPA","Family First Party Australia","N","Preference Count","64"
