2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","234","Wills","0","ABSENT","0","1","41589","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Preference Count","461"
"VIC","234","Wills","0","ABSENT","0","1","41589","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Preference Percent","7.750"
"VIC","234","Wills","0","ABSENT","0","1","41589","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","1","41589","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","2","40810","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1883"
"VIC","234","Wills","0","ABSENT","0","2","40810","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","31.640"
"VIC","234","Wills","0","ABSENT","0","2","40810","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","2","40810","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","3","40775","KIDNEY","Jeffrey Peter","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","672"
"VIC","234","Wills","0","ABSENT","0","3","40775","KIDNEY","Jeffrey Peter","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","11.290"
"VIC","234","Wills","0","ABSENT","0","3","40775","KIDNEY","Jeffrey Peter","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","3","40775","KIDNEY","Jeffrey Peter","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","4","41220","GLOVER","Margaret Isabel","HMP","Legalise Cannabis Australia","N","Preference Count","258"
"VIC","234","Wills","0","ABSENT","0","4","41220","GLOVER","Margaret Isabel","HMP","Legalise Cannabis Australia","N","Preference Percent","4.330"
"VIC","234","Wills","0","ABSENT","0","4","41220","GLOVER","Margaret Isabel","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","4","41220","GLOVER","Margaret Isabel","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","5","41378","MILLER","Owen Francis","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","76"
"VIC","234","Wills","0","ABSENT","0","5","41378","MILLER","Owen Francis","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.280"
"VIC","234","Wills","0","ABSENT","0","5","41378","MILLER","Owen Francis","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","5","41378","MILLER","Owen Francis","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","6","41108","RATNAM","Samantha Shantini","GVIC","The Australian Greens - Victoria","N","Preference Count","2360"
"VIC","234","Wills","0","ABSENT","0","6","41108","RATNAM","Samantha Shantini","GVIC","The Australian Greens - Victoria","N","Preference Percent","39.650"
"VIC","234","Wills","0","ABSENT","0","6","41108","RATNAM","Samantha Shantini","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","6","41108","RATNAM","Samantha Shantini","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","7","41315","VERSTEEGEN","Rachel Elaine Kathleen","LTP","Libertarian Party","N","Preference Count","65"
"VIC","234","Wills","0","ABSENT","0","7","41315","VERSTEEGEN","Rachel Elaine Kathleen","LTP","Libertarian Party","N","Preference Percent","1.090"
"VIC","234","Wills","0","ABSENT","0","7","41315","VERSTEEGEN","Rachel Elaine Kathleen","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","7","41315","VERSTEEGEN","Rachel Elaine Kathleen","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","8","41593","STEVENS","Bruce Malcolm","ON","Pauline Hanson's One Nation","N","Preference Count","177"
"VIC","234","Wills","0","ABSENT","0","8","41593","STEVENS","Bruce Malcolm","ON","Pauline Hanson's One Nation","N","Preference Percent","2.970"
"VIC","234","Wills","0","ABSENT","0","8","41593","STEVENS","Bruce Malcolm","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
