2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","329","Bullwinkel","0","ABSENT","0","1","41647","MAYES","Trevor Mark","ON","Pauline Hanson's One Nation","N","Preference Count","615"
"WA","329","Bullwinkel","0","ABSENT","0","1","41647","MAYES","Trevor Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","11.870"
"WA","329","Bullwinkel","0","ABSENT","0","1","41647","MAYES","Trevor Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","1","41647","MAYES","Trevor Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","0","2","41078","HOLTEN","Leslie Roy","AUC","Australian Christians","N","Preference Count","198"
"WA","329","Bullwinkel","0","ABSENT","0","2","41078","HOLTEN","Leslie Roy","AUC","Australian Christians","N","Preference Percent","3.820"
"WA","329","Bullwinkel","0","ABSENT","0","2","41078","HOLTEN","Leslie Roy","AUC","Australian Christians","N","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","2","41078","HOLTEN","Leslie Roy","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","0","3","41720","YOUNG","Penelope Rose","HMP","Legalise Cannabis Australia","N","Preference Count","552"
"WA","329","Bullwinkel","0","ABSENT","0","3","41720","YOUNG","Penelope Rose","HMP","Legalise Cannabis Australia","N","Preference Percent","10.660"
"WA","329","Bullwinkel","0","ABSENT","0","3","41720","YOUNG","Penelope Rose","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","3","41720","YOUNG","Penelope Rose","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","0","4","41223","MORAN","Matthew James","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1044"
"WA","329","Bullwinkel","0","ABSENT","0","4","41223","MORAN","Matthew James","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","20.150"
"WA","329","Bullwinkel","0","ABSENT","0","4","41223","MORAN","Matthew James","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","4","41223","MORAN","Matthew James","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","0","5","41248","COOK","Patricia Ann","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1429"
"WA","329","Bullwinkel","0","ABSENT","0","5","41248","COOK","Patricia Ann","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","27.590"
"WA","329","Bullwinkel","0","ABSENT","0","5","41248","COOK","Patricia Ann","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","5","41248","COOK","Patricia Ann","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","0","6","41756","DAVIES","Mia Jane","NP","National Party of Australia (WA) Inc","N","Preference Count","504"
"WA","329","Bullwinkel","0","ABSENT","0","6","41756","DAVIES","Mia Jane","NP","National Party of Australia (WA) Inc","N","Preference Percent","9.730"
"WA","329","Bullwinkel","0","ABSENT","0","6","41756","DAVIES","Mia Jane","NP","National Party of Australia (WA) Inc","N","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","6","41756","DAVIES","Mia Jane","NP","National Party of Australia (WA) Inc","N","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","0","7","41719","BISHOP","Abbey Grace","GRN","The Greens (WA) Inc","N","Preference Count","838"
"WA","329","Bullwinkel","0","ABSENT","0","7","41719","BISHOP","Abbey Grace","GRN","The Greens (WA) Inc","N","Preference Percent","16.180"
"WA","329","Bullwinkel","0","ABSENT","0","7","41719","BISHOP","Abbey Grace","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","329","Bullwinkel","0","ABSENT","0","7","41719","BISHOP","Abbey Grace","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","329","Bullwinkel","0","ABSENT","1","1","41647","MAYES","Trevor Mark","ON","Pauline Hanson's One Nation","N","Preference Count","704"
"WA","329","Bullwinkel","0","ABSENT","1","1","41647","MAYES","Trevor Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","13.590"
