2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","237","Cowan","0","ABSENT","0","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1075"
"WA","237","Cowan","0","ABSENT","0","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","21.100"
"WA","237","Cowan","0","ABSENT","0","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Preference Count","154"
"WA","237","Cowan","0","ABSENT","0","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Preference Percent","3.020"
"WA","237","Cowan","0","ABSENT","0","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Preference Count","467"
"WA","237","Cowan","0","ABSENT","0","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Preference Percent","9.170"
"WA","237","Cowan","0","ABSENT","0","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Preference Count","871"
"WA","237","Cowan","0","ABSENT","0","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Preference Percent","17.100"
"WA","237","Cowan","0","ABSENT","0","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Preference Count","322"
"WA","237","Cowan","0","ABSENT","0","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Preference Percent","6.320"
"WA","237","Cowan","0","ABSENT","0","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","6","40667","McDONALD","Wade Christian","IND","Independent","N","Preference Count","164"
"WA","237","Cowan","0","ABSENT","0","6","40667","McDONALD","Wade Christian","IND","Independent","N","Preference Percent","3.220"
"WA","237","Cowan","0","ABSENT","0","6","40667","McDONALD","Wade Christian","IND","Independent","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","6","40667","McDONALD","Wade Christian","IND","Independent","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Preference Count","172"
"WA","237","Cowan","0","ABSENT","0","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Preference Percent","3.380"
"WA","237","Cowan","0","ABSENT","0","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","0","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1869"
"WA","237","Cowan","0","ABSENT","0","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","36.690"
"WA","237","Cowan","0","ABSENT","0","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","0","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","237","Cowan","0","ABSENT","1","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1115"
"WA","237","Cowan","0","ABSENT","1","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","21.890"
"WA","237","Cowan","0","ABSENT","1","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","40"
"WA","237","Cowan","0","ABSENT","1","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","25.970"
"WA","237","Cowan","0","ABSENT","1","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Preference Count","0"
"WA","237","Cowan","0","ABSENT","1","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"WA","237","Cowan","0","ABSENT","1","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Transfer Count","-154"
"WA","237","Cowan","0","ABSENT","1","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"WA","237","Cowan","0","ABSENT","1","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Preference Count","491"
"WA","237","Cowan","0","ABSENT","1","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Preference Percent","9.640"
"WA","237","Cowan","0","ABSENT","1","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Transfer Count","24"
"WA","237","Cowan","0","ABSENT","1","3","41740","BELL","John Alexander","HMP","Legalise Cannabis Australia","N","Transfer Percent","15.580"
"WA","237","Cowan","0","ABSENT","1","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Preference Count","883"
"WA","237","Cowan","0","ABSENT","1","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Preference Percent","17.330"
"WA","237","Cowan","0","ABSENT","1","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Transfer Count","12"
"WA","237","Cowan","0","ABSENT","1","4","41898","COUNT","Matthew Alwynne Benjamin","GRN","The Greens (WA) Inc","N","Transfer Percent","7.790"
"WA","237","Cowan","0","ABSENT","1","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Preference Count","366"
"WA","237","Cowan","0","ABSENT","1","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Preference Percent","7.180"
"WA","237","Cowan","0","ABSENT","1","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Transfer Count","44"
"WA","237","Cowan","0","ABSENT","1","5","41655","YATES","Bradley John","ON","Pauline Hanson's One Nation","N","Transfer Percent","28.570"
"WA","237","Cowan","0","ABSENT","1","6","40667","McDONALD","Wade Christian","IND","Independent","N","Preference Count","172"
"WA","237","Cowan","0","ABSENT","1","6","40667","McDONALD","Wade Christian","IND","Independent","N","Preference Percent","3.380"
"WA","237","Cowan","0","ABSENT","1","6","40667","McDONALD","Wade Christian","IND","Independent","N","Transfer Count","8"
"WA","237","Cowan","0","ABSENT","1","6","40667","McDONALD","Wade Christian","IND","Independent","N","Transfer Percent","5.190"
"WA","237","Cowan","0","ABSENT","1","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Preference Count","189"
"WA","237","Cowan","0","ABSENT","1","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Preference Percent","3.710"
"WA","237","Cowan","0","ABSENT","1","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Transfer Count","17"
"WA","237","Cowan","0","ABSENT","1","7","41087","D'COSTA","Wesley Marcos","AUC","Australian Christians","N","Transfer Percent","11.040"
"WA","237","Cowan","0","ABSENT","1","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1878"
"WA","237","Cowan","0","ABSENT","1","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","36.870"
"WA","237","Cowan","0","ABSENT","1","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","9"
"WA","237","Cowan","0","ABSENT","1","8","41353","ALY","Anne Azza","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","5.840"
"WA","237","Cowan","0","ABSENT","2","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1172"
"WA","237","Cowan","0","ABSENT","2","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","23.010"
"WA","237","Cowan","0","ABSENT","2","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","57"
"WA","237","Cowan","0","ABSENT","2","1","41241","ADENIYI","Felicia Opeyemi","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","30.160"
"WA","237","Cowan","0","ABSENT","2","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Preference Count","0"
"WA","237","Cowan","0","ABSENT","2","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"WA","237","Cowan","0","ABSENT","2","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Transfer Count","0"
"WA","237","Cowan","0","ABSENT","2","2","41636","SMITH","Charles Leonard","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
